negatives
"('Q9NRY4', 'P41182')"
"('O60641', 'Q9NYJ8')"
"('Q8WXH5', 'P42229')"
"('Q92633', 'P08754')"
"('P20963', 'P26045')"
"('P32121', 'A6NL26')"
"('P49841', 'Q9Y3F4')"
"('P62136', 'Q70SY1')"
"('Q15287', 'O43290')"
"('P01106', 'Q86U86')"
"('P01111', 'Q01201')"
"('P12956', 'O15264')"
"('P56537', 'P20290')"
"('Q5VWG9', 'P84243')"
"('Q15653', 'P19838')"
"('Q7Z460', 'P61981')"
"('P30542', 'P63096')"
"('P62714', 'P01243')"
"('Q8TEL6', 'Q16531')"
"('Q9Y2U5', 'P46734')"
"('P29460', 'P16871')"
"('P23508', 'P22234')"
"('Q6SZW1', 'P46977')"
"('O43924', 'P36405')"
"('Q14566', 'Q9UBH0')"
"('Q9H0R8', 'O95210')"
"('Q99731', 'Q13568')"
"('P41220', 'Q9P2H0')"
"('P30559', 'Q06432')"
"('P33076', 'Q02556')"
"('P01574', 'Q9HBE5')"
"('Q9GZY0', 'P78406')"
"('O94856', 'P55157')"
"('Q9UK08', 'Q00975')"
"('P00505', 'Q9Y478')"
"('Q14185', 'Q92730')"
"('Q8NFF5', 'Q14451')"
"('P22626', 'Q13247')"
"('O95696', 'P08670')"
"('Q8IWX8', 'P63244')"
"('Q05209', 'P46379')"
"('P27540', 'Q01201')"
"('Q00987', 'P00533')"
"('P27635', 'O95819')"
"('Q13557', 'Q92736')"
"('Q9NZ52', 'P84077')"
"('O94762', 'Q9BTT4')"
"('Q9Y2J4', 'P51116')"
"('P05106', 'Q00722')"
"('Q9HB90', 'P42345')"
"('Q9Y286', 'Q9H788')"
"('P43681', 'P62760')"
"('Q9H267', 'Q13573')"
"('P55795', 'P22626')"
"('Q8NCA5', 'P55854')"
"('P35250', 'P12004')"
"('O43676', 'O96000')"
"('O75925', 'Q14526')"
"('Q05086', 'Q16611')"
"('Q14498', 'O15541')"
"('P07477', 'Q8TEW0')"
"('P04406', 'Q99459')"
"('Q7Z3G6', 'O14640')"
"('P35222', 'O15111')"
"('Q92630', 'P18146')"
"('Q9H6X2', 'P38398')"
"('Q6PEY2', 'O43237')"
"('P51817', 'P09471')"
"('Q96JH8', 'O75771')"
"('P51681', 'P33552')"
"('P42858', 'O75376')"
"('O15516', 'P68431')"
"('P62330', 'P30480')"
"('P35626', 'Q8NGE3')"
"('P00533', 'P49757')"
"('P28221', 'P62873')"
"('O95425', 'Q9Y383')"
"('O75438', 'P03901')"
"('Q9ULJ8', 'P41220')"
"('P62750', 'P61254')"
"('Q8NFH3', 'Q99567')"
"('P62891', 'P46778')"
"('O43526', 'P62158')"
"('Q92731', 'Q14686')"
"('P10828', 'P27986')"
"('O43524', 'P41182')"
"('P34897', 'Q9UBN6')"
"('Q9UGJ0', 'Q86TI0')"
"('P62241', 'P60866')"
"('P39023', 'P46778')"
"('P23396', 'Q15628')"
"('O15131', 'Q9HAN9')"
"('P16070', 'P13611')"
"('P38159', 'P55795')"
"('Q00653', 'P46783')"
"('Q13158', 'Q15750')"
"('Q12840', 'P42261')"
"('Q13769', 'Q9H1B4')"
"('Q8IWE5', 'Q6P597')"
"('P14923', 'O00182')"
"('O15258', 'P54257')"
"('Q14831', 'P04899')"
"('O76094', 'Q13573')"
"('Q15714', 'Q9ULC4')"
"('Q86UR1', 'Q8NFA2')"
"('Q96B18', 'Q16512')"
"('P30153', 'Q96Q15')"
"('Q96GM8', 'Q13123')"
"('Q13216', 'Q92759')"
"('P62993', 'P02749')"
"('P46109', 'Q9UQC2')"
"('Q8WVM8', 'Q9H9E3')"
"('O75469', 'P19793')"
"('O75365', 'Q5VWQ8')"
"('Q96JP2', 'P14136')"
"('P33176', 'O75815')"
"('O60477', 'P10275')"
"('Q6ZNE5', 'Q99570')"
"('P09871', 'P02746')"
"('P13010', 'O00505')"
"('Q15653', 'P19338')"
"('P35916', 'Q6S5L8')"
"('Q9BYD3', 'Q9GZR7')"
"('Q14197', 'Q8N5N7')"
"('O00308', 'Q9BTC0')"
"('P20810', 'P62993')"
"('Q96HF1', 'Q9ULW2')"
"('P38159', 'O95400')"
"('Q9UBI6', 'P08172')"
"('O95750', 'P07333')"
"('Q13557', 'Q9UKV0')"
"('P04626', 'Q96RT1')"
"('Q12851', 'Q16584')"
"('P10275', 'P63244')"
"('O75554', 'Q8WXF1')"
"('Q16890', 'Q99683')"
"('P51116', 'Q5T5P2')"
"('O96014', 'Q9ULW2')"
"('Q9UPX8', 'Q15788')"
"('Q14164', 'P60510')"
"('Q9UMX1', 'Q9Y297')"
"('P10145', 'P01833')"
"('Q99519', 'O15455')"
"('Q8N488', 'Q06587')"
"('Q7Z6M2', 'P08238')"
"('Q9NR33', 'Q8IYH5')"
"('Q15365', 'P11940')"
"('O14980', 'Q13158')"
"('P98170', 'P05455')"
"('P35626', 'Q6IEV9')"
"('Q9Y243', 'P49840')"
"('P63104', 'P23526')"
"('P26373', 'P62910')"
"('O00204', 'P49888')"
"('Q9UJX3', 'Q9UM13')"
"('Q96RT1', 'Q12979')"
"('Q15834', 'P05783')"
"('Q9NVI7', 'P62993')"
"('Q9Y6D9', 'Q9Y2I6')"
"('Q66LE6', 'P41743')"
"('O75038', 'Q16512')"
"('Q07325', 'P46092')"
"('P18621', 'P63173')"
"('O00755', 'Q9NRL3')"
"('Q12873', 'Q86YP4')"
"('Q14192', 'P19544')"
"('Q16539', 'Q92905')"
"('P27361', 'Q13480')"
"('Q9BRV8', 'Q9Y228')"
"('P11802', 'Q08999')"
"('P01620', 'P01876')"
"('Q9BT92', 'P08670')"
"('P55055', 'Q9Y600')"
"('Q5TA89', 'P56645')"
"('Q13368', 'Q502X0')"
"('Q9NPF7', 'P15260')"
"('Q969D9', 'Q9UHF4')"
"('Q9UKV8', 'P82251')"
"('P09529', 'P01137')"
"('Q9UKN8', 'Q9Y5Q8')"
"('Q9NZ08', 'P19438')"
"('P62899', 'P63173')"
"('Q9Y5J5', 'P78318')"
"('P98095', 'P35555')"
"('P46527', 'P38936')"
"('O76039', 'P63000')"
"('Q16637', 'Q14974')"
"('P23284', 'Q9Y4K3')"
"('P04637', 'Q53FA7')"
"('P63104', 'Q9P270')"
"('P28072', 'P01889')"
"('Q96ST3', 'Q01201')"
"('P07359', 'P43405')"
"('Q8TAF3', 'P30480')"
"('Q07020', 'P62750')"
"('P62136', 'Q9HCH5')"
"('O75197', 'O15198')"
"('Q13683', 'Q05397')"
"('Q9Y5S8', 'P14780')"
"('Q15717', 'P04637')"
"('Q6PD62', 'P62487')"
"('Q9H9F9', 'Q6P4R8')"
"('O14777', 'Q9Y2J4')"
"('P42345', 'Q6R327')"
"('Q92851', 'O15111')"
"('Q99880', 'P16104')"
"('P67812', 'P01889')"
"('P98170', 'P05067')"
"('Q9H4L4', 'Q99459')"
"('Q96E35', 'P13805')"
"('P49715', 'P17480')"
"('P60709', 'Q2M3G4')"
"('P62805', 'P35226')"
"('Q5VVX9', 'P36406')"
"('Q5VVX9', 'Q8NG27')"
"('P55157', 'O60721')"
"('O95931', 'Q14781')"
"('P49023', 'P17301')"
"('P18146', 'P01210')"
"('P28221', 'Q9UK08')"
"('P16671', 'O00206')"
"('Q9Y265', 'Q9BRX2')"
"('P01100', 'P60568')"
"('O95347', 'Q15021')"
"('P00519', 'P26992')"
"('Q92979', 'Q96DW6')"
"('P01033', 'O94762')"
"('P01889', 'P00491')"
"('Q99623', 'P23508')"
"('Q9HCC8', 'Q8WVB3')"
"('Q70Z53', 'Q9HCC8')"
"('Q13255', 'P52294')"
"('Q13191', 'Q99665')"
"('O43242', 'Q99460')"
"('Q14197', 'Q4U2R6')"
"('P63104', 'Q13671')"
"('Q86W42', 'Q96FV9')"
"('P35544', 'P62273')"
"('Q99460', 'O00232')"
"('Q16637', 'Q13107')"
"('P20618', 'P49720')"
"('O15105', 'Q7LFL8')"
"('P16949', 'P52594')"
"('P10644', 'Q8TBE0')"
"('Q99750', 'Q5T681')"
"('P14416', 'P30153')"
"('P49427', 'Q8ND25')"
"('Q8IY92', 'P01602')"
"('O95990', 'Q8TCG1')"
"('P16070', 'P14780')"
"('P35222', 'Q9UI47')"
"('O75689', 'P41743')"
"('Q92538', 'P31946')"
"('P04085', 'P35968')"
"('O95786', 'Q15366')"
"('P12931', 'P14317')"
"('P19438', 'Q9BXW9')"
"('Q8IXH7', 'P62263')"
"('O95155', 'P10144')"
"('P35222', 'P42166')"
"('O15379', 'Q93079')"
"('O75365', 'Q29RF7')"
"('P30101', 'P27824')"
"('P52272', 'Q9BQA1')"
"('Q8IWY9', 'P24522')"
"('Q13573', 'P46459')"
"('Q07817', 'P13693')"
"('P21926', 'P18827')"
"('O75334', 'Q9Y2X7')"
"('O15162', 'Q9NRY6')"
"('O43347', 'Q8ND90')"
"('Q9Y248', 'Q14691')"
"('Q9UJF2', 'P23508')"
"('P16471', 'P63104')"
"('O95402', 'P60842')"
"('Q96BK5', 'P04745')"
"('P11234', 'Q96D71')"
"('Q96B18', 'Q9NRD5')"
"('Q13315', 'Q9UKG1')"
"('P53396', 'Q9UBN6')"
"('Q14416', 'P09471')"
"('Q05193', 'Q8IVI9')"
"('Q07889', 'P13612')"
"('Q9BTM1', 'Q9UKV0')"
"('Q9Y2I6', 'Q9UJ04')"
"('P49916', 'Q8IW19')"
"('Q13573', 'Q96A65')"
"('Q9Y261', 'Q07021')"
"('P06753', 'Q92729')"
"('O15524', 'Q8N6P7')"
"('Q07889', 'P61586')"
"('Q70EL1', 'Q9Y3E7')"
"('P68363', 'P07437')"
"('P16870', 'P01275')"
"('O60739', 'Q86UE4')"
"('P14867', 'O95166')"
"('O43688', 'Q13432')"
"('P68366', 'Q9Y3M8')"
"('Q13315', 'Q8TAD8')"
"('Q9ULG1', 'Q53TQ3')"
"('P05771', 'P11168')"
"('Q5RL73', 'P15927')"
"('P30530', 'P29353')"
"('Q9H4A3', 'P03928')"
"('P31749', 'Q16584')"
"('Q16659', 'Q5VX71')"
"('O00141', 'P60900')"
"('Q5JVS0', 'P63173')"
"('P41235', 'Q9BTT4')"
"('O14717', 'P51681')"
"('Q9HAU0', 'Q9Y496')"
"('Q13017', 'Q07890')"
"('O75925', 'P84022')"
"('P50616', 'Q8IY67')"
"('Q8WUI4', 'P41182')"
"('Q8N5U6', 'Q5T3J3')"
"('O00222', 'P63215')"
"('P07602', 'P55072')"
"('Q9P2Y5', 'Q8WUH2')"
"('O75038', 'Q9NRD5')"
"('Q13151', 'P48039')"
"('P49841', 'Q15828')"
"('Q14197', 'P04181')"
"('Q9UKG1', 'P10275')"
"('Q15366', 'P09651')"
"('P11362', 'P01111')"
"('Q16665', 'P04075')"
"('Q00978', 'P40305')"
"('P17252', 'P40145')"
"('P78364', 'P35226')"
"('Q8NI35', 'Q8N3R9')"
"('Q13111', 'P20671')"
"('P09429', 'P21675')"
"('P49459', 'Q9NS91')"
"('P41182', 'O14763')"
"('P21333', 'P45985')"
"('P62244', 'P23396')"
"('Q15653', 'P42704')"
"('Q01813', 'P30480')"
"('Q02156', 'Q9Y624')"
"('P42226', 'O75159')"
"('P01100', 'P13631')"
"('Q9UL18', 'P26373')"
"('Q13402', 'Q9P202')"
"('Q8IY92', 'Q9NXF1')"
"('P05112', 'Q15306')"
"('P01133', 'P35968')"
"('P62714', 'Q02641')"
"('Q9BQ66', 'Q9NZ81')"
"('Q9UKV8', 'Q9UBM7')"
"('Q00597', 'Q9BXW9')"
"('Q92859', 'P53355')"
"('Q96L34', 'Q93009')"
"('Q9NR12', 'Q9P286')"
"('P60520', 'O00410')"
"('Q8IY92', 'Q06190')"
"('Q9GZR7', 'Q9NXB0')"
"('P32121', 'Q8NGP6')"
"('O60318', 'Q9UKK9')"
"('O75608', 'Q14164')"
"('O60684', 'Q9NVS9')"
"('Q2M1P5', 'Q86VH2')"
"('Q13387', 'Q14194')"
"('P21860', 'O00459')"
"('Q14451', 'Q99558')"
"('P33778', 'Q96KK5')"
"('Q9Y478', 'O75800')"
"('P33992', 'Q8WYB5')"
"('Q8NE86', 'Q14197')"
"('Q04206', 'P01106')"
"('P16220', 'Q96M60')"
"('Q14457', 'P05412')"
"('P08172', 'P62879')"
"('Q5T280', 'P53350')"
"('P49841', 'O60282')"
"('P08579', 'P23508')"
"('P62805', 'P25205')"
"('Q13547', 'P35354')"
"('A6NM45', 'P78369')"
"('Q9UJM3', 'P62316')"
"('P32927', 'P49715')"
"('Q8TB24', 'O00499')"
"('O14645', 'Q9NX70')"
"('Q8NCD3', 'P46977')"
"('P11142', 'Q15653')"
"('Q8NGJ9', 'P38405')"
"('Q93008', 'Q9HC98')"
"('O15264', 'P28482')"
"('P68363', 'O14576')"
"('Q96B33', 'P56748')"
"('P54274', 'O15198')"
"('O14544', 'Q9HAU4')"
"('P12931', 'O94887')"
"('Q99880', 'Q92769')"
"('Q13118', 'Q92535')"
"('Q9HCU9', 'P51681')"
"('Q9NRF9', 'O75478')"
"('Q13233', 'Q3ZCQ8')"
"('Q68CP9', 'P04637')"
"('P10276', 'Q9BV79')"
"('Q14566', 'O75496')"
"('Q9BUV8', 'Q8WVX9')"
"('P24522', 'Q8TDZ2')"
"('P62424', 'P62945')"
"('Q9BXC9', 'P61289')"
"('P06241', 'P42338')"
"('Q8NEM7', 'P54253')"
"('Q8TEX9', 'Q9NVP2')"
"('Q13315', 'Q6ZYL4')"
"('Q86UT8', 'P12980')"
"('O14610', 'Q92569')"
"('Q9P0K7', 'P31946')"
"('Q9GZN1', 'O96019')"
"('P20151', 'P01011')"
"('O43617', 'Q9Y5R8')"
"('P51817', 'Q96BA8')"
"('P54619', 'Q9Y478')"
"('Q8N7H5', 'P52435')"
"('P46459', 'Q15262')"
"('Q01196', 'Q99607')"
"('P61254', 'P18621')"
"('Q13315', 'Q96KQ7')"
"('P62273', 'Q14240')"
"('Q92835', 'P07948')"
"('P23470', 'Q02763')"
"('Q5T3J3', 'P55769')"
"('P43699', 'Q9P031')"
"('P62873', 'P27361')"
"('Q14242', 'P16109')"
"('Q13526', 'P17252')"
"('P34932', 'P45983')"
"('Q9H081', 'Q13185')"
"('O75376', 'Q8WXU2')"
"('Q9P2E9', 'Q9BZL6')"
"('O75116', 'Q12955')"
"('P63220', 'P62244')"
"('P06396', 'P60709')"
"('P02686', 'Q7Z2E3')"
"('Q9GZT8', 'O43809')"
"('Q07889', 'Q9H4E5')"
"('Q9NRR5', 'Q96JN2')"
"('Q14164', 'P15311')"
"('P18206', 'Q08380')"
"('P61952', 'P45983')"
"('Q9UBS5', 'P61952')"
"('Q96QD9', 'Q13573')"
"('P01106', 'Q9UQ13')"
"('P41220', 'P05129')"
"('P05090', 'P02652')"
"('Q02878', 'P18621')"
"('P49796', 'P29992')"
"('Q9NX70', 'P62487')"
"('Q8N3U4', 'P01106')"
"('P31994', 'P06241')"
"('Q14677', 'Q9GZQ8')"
"('Q9H9J2', 'Q9UPT9')"
"('P42684', 'P63000')"
"('P03915', 'P03905')"
"('Q8TAE8', 'P22736')"
"('Q15746', 'Q9BUA6')"
"('P35609', 'Q13573')"
"('O60762', 'Q13418')"
"('Q9HC98', 'Q86Y56')"
"('Q99962', 'P35968')"
"('Q13485', 'P35222')"
"('Q9UKV8', 'P51571')"
"('P05412', 'P48507')"
"('P21860', 'P04626')"
"('Q15349', 'P43405')"
"('Q14164', 'Q99460')"
"('P31431', 'O14640')"
"('O43741', 'P46527')"
"('Q8NHL6', 'P43405')"
"('P63208', 'Q969U6')"
"('Q13077', 'P27986')"
"('Q99459', 'Q96KP1')"
"('P09619', 'P19174')"
"('P27487', 'P18509')"
"('P01112', 'Q8WWW0')"
"('P68400', 'P31947')"
"('Q8TD86', 'Q14028')"
"('O00305', 'Q12788')"
"('Q15759', 'Q06413')"
"('O15294', 'P63165')"
"('Q00839', 'P11387')"
"('P63000', 'P45985')"
"('Q9Y253', 'P40692')"
"('P28482', 'P50993')"
"('P53618', 'P56975')"
"('O75367', 'P68431')"
"('P23443', 'O14746')"
"('P63215', 'Q01668')"
"('O43353', 'Q14790')"
"('P49207', 'P18621')"
"('Q9Y2X7', 'Q14160')"
"('P01106', 'Q13177')"
"('Q9Y2Q3', 'Q86Y56')"
"('Q15645', 'O95486')"
"('Q13464', 'O60331')"
"('Q9BVJ7', 'Q9BYC9')"
"('P48551', 'P23458')"
"('P23193', 'Q8N7H5')"
"('Q01085', 'Q15717')"
"('O00232', 'Q9Y4K3')"
"('P53621', 'Q9NTJ5')"
"('O43699', 'P41159')"
"('Q9HBI0', 'P56199')"
"('P21333', 'P49407')"
"('P10074', 'Q92997')"
"('O00501', 'O14493')"
"('P18564', 'P28482')"
"('Q15036', 'P16109')"
"('Q9Y6D9', 'Q9UGJ1')"
"('Q8TBX8', 'Q9Y6U3')"
"('P07900', 'P19838')"
"('O00585', 'P49238')"
"('P30291', 'P06493')"
"('P63279', 'Q14CS0')"
"('P29992', 'Q01970')"
"('Q13795', 'Q13485')"
"('P50151', 'O15264')"
"('P61077', 'Q9Y478')"
"('Q9NPJ6', 'Q6P2C8')"
"('O14867', 'Q92547')"
"('P55055', 'P51668')"
"('Q13620', 'Q15291')"
"('O00487', 'P62195')"
"('Q9UIF9', '100008589')"
"('P37059', 'P18146')"
"('Q14194', 'P50453')"
"('P35227', 'Q9HC52')"
"('Q9BS18', 'Q13042')"
"('P17980', 'P62195')"
"('O75533', 'O15198')"
"('Q9UHF0', 'P21246')"
"('Q96KQ7', 'Q8TBB1')"
"('P30281', 'P15514')"
"('Q9Y261', 'P32243')"
"('Q16659', 'Q05639')"
"('P53355', 'P09493')"
"('Q86UE8', 'Q9NVP2')"
"('Q5UIP0', 'P52756')"
"('P21554', 'P62879')"
"('P49354', 'P36897')"
"('P48736', 'Q06124')"
"('Q9Y6W8', 'P27986')"
"('Q9NRI5', 'Q8IVF5')"
"('P14416', 'P08754')"
"('P63104', 'Q9P2M7')"
"('Q12778', 'P08183')"
"('Q96SB4', 'Q15424')"
"('P55001', 'P98160')"
"('P84022', 'Q9UEE9')"
"('P08865', 'P62273')"
"('P16220', 'O95477')"
"('Q15672', 'Q02078')"
"('O95967', 'P27658')"
"('P49585', 'P18146')"
"('Q8NBT2', 'O14777')"
"('O96013', 'P53667')"
"('Q8N9P6', 'Q38SD2')"
"('Q9NRX3', 'O60260')"
"('P62993', 'Q86UX6')"
"('P27986', 'P35790')"
"('Q92633', 'P63096')"
"('119369', 'P35542')"
"('Q5JY77', 'P08173')"
"('Q9HBM1', 'O75626')"
"('Q8IYD9', 'P12980')"
"('P02545', 'Q10586')"
"('Q8TF72', 'P31947')"
"('Q9H4B7', 'P63104')"
"('Q9UHA4', 'Q9H324')"
"('O15162', 'Q96H86')"
"('Q63HN8', 'Q96EZ8')"
"('Q15366', 'O60508')"
"('P07333', 'O95208')"
"('Q9H3N1', 'Q14573')"
"('Q13315', 'Q96G28')"
"('P62837', 'P26442')"
"('P0C1Z6', 'Q96JC9')"
"('Q9BZE1', 'Q14197')"
"('P14598', 'Q9C026')"
"('Q969X5', 'Q9Y282')"
"('P01106', 'Q13610')"
"('O60341', 'P17542')"
"('P22626', 'Q9NRH1')"
"('P10644', 'Q99435')"
"('Q04206', 'Q14690')"
"('Q9Y297', 'Q9UKT4')"
"('P05771', 'P62879')"
"('Q9P2I0', 'Q9NZC7')"
"('Q15427', 'O75533')"
"('Q8TCE6', 'P05091')"
"('P18846', 'P22301')"
"('Q9UNA1', 'Q9Y6X6')"
"('P27986', 'P40763')"
"('Q9P0N9', 'Q14457')"
"('Q9Y572', 'Q9UHB6')"
"('P15336', 'P19838')"
"('P57723', 'Q96PU8')"
"('Q15052', 'Q15797')"
"('O15444', 'P61073')"
"('Q13228', 'Q9Y3C7')"
"('P01730', 'P08637')"
"('Q9BTT4', 'P10914')"
"('P06241', 'Q13322')"
"('P13236', 'P49238')"
"('P17544', 'Q8WYK2')"
"('P02751', 'P01871')"
"('P61586', 'P63261')"
"('Q8IVT5', 'Q9NNX6')"
"('Q9UKA1', 'P67870')"
"('P10644', 'O75400')"
"('Q14790', 'P27986')"
"('O43320', 'P00533')"
"('Q13233', 'P08238')"
"('P53350', 'O60271')"
"('Q9UJA5', 'Q96FX7')"
"('Q14457', 'Q9H714')"
"('Q15365', 'P14866')"
"('P06213', 'Q02750')"
"('P38646', 'Q15750')"
"('Q9Y2R2', 'Q05655')"
"('P01303', 'P25101')"
"('Q96P20', 'P29466')"
"('Q13616', 'P56645')"
"('Q9UBW8', 'Q7L5N1')"
"('P62826', 'P18124')"
"('P13725', 'P08887')"
"('P20333', 'Q9H1R3')"
"('Q15622', 'P38405')"
"('P06401', 'Q96GM5')"
"('P62993', 'O95319')"
"('O14497', 'P01106')"
"('P20042', 'P04637')"
"('P35568', 'P16471')"
"('P62750', 'P39023')"
"('Q86U86', 'Q96GM5')"
"('Q05519', 'P52756')"
"('P12956', 'O75554')"
"('P01375', 'O15111')"
"('Q8IV08', 'Q07817')"
"('P42224', 'P52294')"
"('P08708', 'P25398')"
"('P14859', 'P51692')"
"('P51398', 'O95433')"
"('Q01081', 'Q00839')"
"('Q8NFH3', 'P30480')"
"('Q9NR96', 'Q06187')"
"('P30084', 'P01243')"
"('P51681', 'Q16594')"
"('Q9Y2U5', 'P31946')"
"('Q03933', 'P63279')"
"('Q8WXE1', 'Q13535')"
"('P08571', 'O15455')"
"('Q8IYD1', 'Q4VXU2')"
"('P15153', 'O75914')"
"('407007', 'P10721')"
"('Q9Y6V7', 'P54257')"
"('Q9P2G9', 'O95149')"
"('P43364', 'Q92530')"
"('P52798', 'P22455')"
"('P13807', 'Q8IY92')"
"('O75486', 'P06899')"
"('P62136', 'Q6UXN9')"
"('P09544', 'Q13467')"
"('Q15181', 'Q15047')"
"('P12236', 'Q9UL18')"
"('Q8N6F1', 'O75508')"
"('Q99728', 'O14776')"
"('P01588', 'P26951')"
"('Q14684', 'Q96BK5')"
"('Q13233', 'Q9Y463')"
"('P12644', 'O00238')"
"('Q8NEV9', 'Q14653')"
"('Q8TE12', 'P61421')"
"('O94875', 'Q8WX93')"
"('Q8NA92', 'Q15047')"
"('O95793', 'Q06787')"
"('P62136', 'P13807')"
"('Q12840', 'Q9Y4G8')"
"('P62140', 'Q9C0J8')"
"('O75525', 'Q9UKA9')"
"('P62191', 'P55036')"
"('O75478', 'Q9H8E8')"
"('Q9NPJ1', 'P21246')"
"('P01569', 'P48551')"
"('Q4LDE5', 'P12757')"
"('P51692', 'Q92793')"
"('P19174', 'Q02156')"
"('P53355', 'P62753')"
"('Q8WZ42', 'Q99684')"
"('P41182', 'Q9BQF6')"
"('Q15038', 'O75886')"
"('P82979', 'P18146')"
"('O60938', 'Q08209')"
"('O15335', 'P06756')"
"('P00748', 'Q9NPY3')"
"('O95859', 'Q00604')"
"('Q9Y2T4', 'Q13522')"
"('Q8TBH0', 'Q9P2G9')"
"('P42771', 'P02730')"
"('P05556', 'O14713')"
"('P35268', 'P46778')"
"('P45973', 'P63165')"
"('Q13315', 'P18846')"
"('Q96HD1', 'O60383')"
"('Q00535', 'P42858')"
"('P15924', 'P02538')"
"('Q9BST9', 'O60504')"
"('O60602', 'P19838')"
"('P17612', 'P26678')"
"('Q9UPN9', 'P50750')"
"('P27361', 'P18848')"
"('Q13415', 'Q13416')"
"('Q13571', 'Q96GG9')"
"('P42224', 'P63244')"
"('Q16821', 'P54840')"
"('Q04721', 'Q86UW9')"
"('P62917', 'P62888')"
"('P35998', 'P54727')"
"('P04629', 'P98077')"
"('P61106', 'O00757')"
"('Q9UBB6', 'Q9Y2Q3')"
"('P38159', 'P09651')"
"('Q14974', 'Q9UH99')"
"('Q8IY92', 'O43615')"
"('P10827', 'Q6P2C8')"
"('O43561', 'P42336')"
"('P15927', 'Q96FI4')"
"('Q6ZMU5', 'P63279')"
"('P13612', 'P16144')"
"('Q16787', 'P16144')"
"('P08047', 'P98161')"
"('Q9H8S9', 'P29372')"
"('Q9UJU6', 'P50570')"
"('P83916', 'Q13263')"
"('Q16659', 'P31942')"
"('Q9BXY8', 'P43364')"
"('P62258', 'P46937')"
"('Q14103', 'Q01081')"
"('P67870', 'P61244')"
"('O95500', 'Q07157')"
"('P28070', 'P01106')"
"('P00558', 'Q8TDR0')"
"('P62879', 'Q5JWF2')"
"('P63104', 'P62736')"
"('Q15843', 'P62888')"
"('P62330', 'Q13148')"
"('Q8TBB1', 'P61106')"
"('P08908', 'P61952')"
"('P49642', 'Q3ZCQ8')"
"('P12757', 'Q86Z02')"
"('Q13573', 'Q9NQW1')"
"('P59536', 'A8MTJ3')"
"('Q16566', 'P18848')"
"('Q9UHA4', 'Q9HB90')"
"('Q8N726', 'P04198')"
"('Q9HCK5', 'O60884')"
"('A0JLT2', 'P25963')"
"('P46379', 'P09668')"
"('P07202', 'P40189')"
"('Q5RL73', 'O95257')"
"('Q03181', 'P19793')"
"('O15226', 'P30519')"
"('Q9Y230', 'Q9NRQ2')"
"('P28340', 'P60520')"
"('Q13480', 'P00533')"
"('Q8NF50', 'Q92730')"
"('Q12972', 'P36873')"
"('P05783', 'O75190')"
"('Q9NR55', 'Q96BA8')"
"('P06241', 'P11137')"
"('Q6FI13', 'Q9UQL6')"
"('O75486', 'O75528')"
"('P08729', 'P53680')"
"('Q5VTD9', 'P82094')"
"('Q14781', 'Q99750')"
"('Q15025', 'P21580')"
"('P07333', 'Q9H201')"
"('O75461', 'Q9H2F5')"
"('P35609', 'O75376')"
"('O95816', 'O43447')"
"('Q9NV70', 'Q9C026')"
"('Q01844', 'Q16558')"
"('P62906', 'Q9Y3U8')"
"('P16220', 'Q14692')"
"('P25774', 'P04233')"
"('P45379', 'P67936')"
"('Q7Z5R6', 'Q9UI08')"
"('Q13155', 'P60709')"
"('P29692', 'P40337')"
"('P78347', 'Q10586')"
"('P12110', 'P05556')"
"('Q9H1J7', 'Q9UP38')"
"('O95163', 'Q99459')"
"('P56746', 'C9JDP6')"
"('Q6P1J9', 'P52434')"
"('Q8IUE0', 'P63104')"
"('P61088', 'Q9UKV5')"
"('Q8NGK6', 'P38405')"
"('Q5XUX0', 'P24385')"
"('Q96KK5', 'Q9UBN7')"
"('Q9Y6K9', 'P35580')"
"('Q07021', 'P19438')"
"('Q14943', 'P18146')"
"('O14980', 'Q9HCE7')"
"('Q2TAY7', 'O95400')"
"('Q9NSK0', 'P38432')"
"('Q16625', 'Q8N7P3')"
"('Q9H3N1', 'Q9Y320')"
"('O75807', 'P05198')"
"('Q99459', 'O60885')"
"('Q9Y6K9', 'Q8TEL6')"
"('Q14683', 'Q14676')"
"('P30050', 'P35268')"
"('P57723', 'Q8WVD3')"
"('P04150', 'O75376')"
"('Q15834', 'O43395')"
"('P18146', 'P05112')"
"('Q9Y5J5', 'O94832')"
"('Q9H2G2', 'Q9H204')"
"('P60709', 'P62424')"
"('Q13510', 'P21281')"
"('P63104', 'P00533')"
"('P84022', 'O43294')"
"('O75581', 'P49841')"
"('P05112', 'Q9HBE5')"
"('P46934', 'P0CG48')"
"('Q9Y4K3', 'Q14164')"
"('P01574', 'Q9Y5Q3')"
"('O75886', 'Q13867')"
"('Q5EB52', 'Q8WYH8')"
"('P23527', 'Q96DB2')"
"('Q16665', 'P35368')"
"('Q12933', 'Q8TES7')"
"('Q9Y4K3', 'O00463')"
"('P11049', 'Q9BXN2')"
"('P42331', 'Q8IXI1')"
"('Q9UJX2', 'P01106')"
"('P68032', 'P60709')"
"('Q99767', 'P98164')"
"('Q8WWR8', 'Q99750')"
"('P62906', 'Q13233')"
"('P55196', 'O15197')"
"('Q9UDY8', 'O95999')"
"('Q9H257', 'Q15369')"
"('Q9UNK0', 'P54920')"
"('Q9UPP1', 'Q01094')"
"('O15127', 'O00161')"
"('Q96HR3', 'A0JLT2')"
