negatives
"('P52756', 'Q9HCE1')"
"('Q99714', 'O75390')"
"('Q99439', 'Q15637')"
"('O95190', 'Q15717')"
"('P13667', 'Q8N543')"
"('P60520', 'Q9BQS8')"
"('O95793', 'Q9H0W5')"
"('Q96H55', 'Q8WX93')"
"('Q9BW27', 'Q7L5D6')"
"('Q00765', 'O75461')"
"('P34947', 'P84077')"
"('Q9Y3U8', 'Q53GQ0')"
"('P08700', 'Q99062')"
"('Q9BUA6', 'P63261')"
"('P02751', 'Q9UKX5')"
"('P41182', 'O15270')"
"('Q14244', 'P49959')"
"('Q13838', 'P07437')"
"('Q07020', 'Q9NQ39')"
"('P62136', 'Q13698')"
"('Q8IZE3', 'P15311')"
"('Q8IYE1', 'O75031')"
"('P45378', 'Q99816')"
"('Q92851', 'P42574')"
"('Q16775', 'P61604')"
"('P45984', 'Q8N448')"
"('Q9Y2X8', 'Q86UW9')"
"('P51828', 'P41223')"
"('O96017', 'Q9Y294')"
"('Q9NRX1', 'O43147')"
"('Q92541', 'Q9H6A0')"
"('Q15654', 'P54725')"
"('Q9H0R8', 'Q00325')"
"('P01100', 'Q16520')"
"('Q9NX58', 'P35637')"
"('Q00613', 'Q00403')"
"('O75934', 'Q03154')"
"('Q9BR76', 'P07951')"
"('Q9GZT3', 'A6NEM1')"
"('O00483', 'P12236')"
"('P55036', 'P17028')"
"('O60641', 'Q9UKG9')"
"('Q16513', 'Q96N66')"
"('Q9NZL3', 'P40692')"
"('O60343', 'P39023')"
"('Q96PK6', 'O75533')"
"('Q9Y6D6', 'P19338')"
"('P34896', 'P42224')"
"('Q9Y230', 'Q8NCD3')"
"('P05067', 'Q8IV61')"
"('Q9NZQ7', 'Q9NX76')"
"('P53350', 'Q6ZU80')"
"('O14924', 'P05556')"
"('Q14119', 'Q99471')"
"('P25098', 'Q8N752')"
"('Q5VUJ6', 'Q9H8S9')"
"('Q9H257', 'P55081')"
"('Q13546', 'P11142')"
"('P62701', 'P04629')"
"('Q9H0W9', 'Q7Z4W1')"
"('Q8N1B4', 'Q13131')"
"('P22694', 'Q8NHC5')"
"('P11362', 'P80370')"
"('Q99750', 'Q9NU39')"
"('Q14019', 'P63261')"
"('Q13362', 'O60840')"
"('Q14990', 'Q5T751')"
"('Q9Y2K1', 'Q9BQ61')"
"('Q9H993', 'P11216')"
"('P31948', 'O43175')"
"('O75489', 'P22695')"
"('P14625', 'Q6PCD5')"
"('P22087', 'O94761')"
"('O95182', 'Q9BQ15')"
"('O95299', 'O75251')"
"('Q13188', 'Q9H6Z9')"
"('P31269', 'Q13547')"
"('O43502', 'Q9NS91')"
"('Q15323', 'Q9BTL3')"
"('P10809', 'Q9BXB1')"
"('P04049', 'Q3ZCQ8')"
"('O15482', 'Q15323')"
"('Q9Y3E2', 'Q6P1W5')"
"('P06493', 'P47736')"
"('P13612', 'Q99832')"
"('P51692', 'P15036')"
"('Q5TA79', 'Q5TA81')"
"('P05090', 'Q9BV68')"
"('Q9H9E3', 'Q13190')"
"('P34897', 'Q9NRL3')"
"('Q9NP66', 'Q96EK4')"
"('Q9H0W5', 'Q86YQ8')"
"('Q8IZL8', 'Q9BXB1')"
"('P20807', 'Q14315')"
"('Q9NZ42', 'Q96BI3')"
"('Q13873', 'P12830')"
"('Q8IXL6', 'Q14766')"
"('Q6P1M3', 'Q9C0J9')"
"('Q96PU5', 'O14980')"
"('P14927', 'P31930')"
"('P31040', 'P01889')"
"('P10747', 'P42336')"
"('Q9NYB0', 'P49959')"
"('Q99743', 'Q9BUZ4')"
"('P30504', 'P25205')"
"('Q96EK4', 'Q9UPP1')"
"('P05412', 'P12236')"
"('Q9NX04', 'Q9H019')"
"('O60244', 'P62993')"
"('Q8TAG9', 'Q13564')"
"('Q06330', 'P30260')"
"('Q8NDW4', 'P50222')"
"('P63104', 'Q9H0K1')"
"('O75131', 'P08758')"
"('O75330', 'Q5S007')"
"('O94966', 'Q96JN8')"
"('Q06481', 'P61254')"
"('O60721', 'Q9H2G2')"
"('Q3SYB3', 'Q96C00')"
"('O95201', 'Q15834')"
"('Q15034', 'P68036')"
"('P01308', 'Q16659')"
"('P33778', 'Q08211')"
"('Q13480', 'Q92529')"
"('O95995', 'Q8N6Y0')"
"('O75365', 'Q14558')"
"('P10451', 'P53992')"
"('P24385', 'P05412')"
"('P40337', 'P25787')"
"('Q02790', 'Q15468')"
"('Q96IQ9', 'O43790')"
"('Q9BT49', 'P61247')"
"('P14625', 'Q9NZT1')"
"('Q12933', 'O43734')"
"('Q6P1W5', 'Q9NRR5')"
"('Q96DZ5', 'Q13546')"
"('Q9NRR5', 'Q8ND90')"
"('P07900', 'O60674')"
"('Q9UBN7', 'Q14469')"
"('Q13885', 'P19838')"
"('P26640', 'P30480')"
"('P10721', 'O60674')"
"('P54727', 'P61960')"
"('Q8NE71', 'Q9UNQ2')"
"('P60520', 'Q92785')"
"('Q16647', 'P23219')"
"('P04637', 'Q8N9N5')"
"('Q92614', 'Q5TB80')"
"('Q8N163', 'Q9Y230')"
"('Q9NRM7', 'Q13309')"
"('Q6PD62', 'Q14738')"
"('Q9Y2Y4', 'P54253')"
"('P19338', 'P09914')"
"('Q14999', 'Q9ULL4')"
"('P24752', 'Q9UNY4')"
"('O60739', 'P49903')"
"('P30050', 'P39023')"
"('P49916', 'P06746')"
"('O43482', 'Q6ZSJ9')"
"('O43914', 'Q13241')"
"('P49715', 'Q10586')"
"('Q9BWG6', 'Q86X02')"
"('P60520', 'P09234')"
"('Q00341', 'Q6ISU1')"
"('P29558', 'P09651')"
"('Q00005', 'P31751')"
"('O95319', 'P05067')"
"('Q01094', 'P55081')"
"('Q14683', 'Q9NTI5')"
"('Q08378', 'Q7Z5G4')"
"('Q9BUJ0', 'P38646')"
"('P55209', 'Q86V81')"
"('Q13148', 'Q02878')"
"('Q29983', 'Q9BWX1')"
"('O95644', 'Q96JM3')"
"('O15105', 'Q13315')"
"('O15169', 'Q9UHX1')"
"('Q8TC44', 'Q16543')"
"('O14530', 'Q9UPM9')"
"('Q86U38', 'P78318')"
"('P01100', 'Q96KN3')"
"('Q15125', 'Q9UBU9')"
"('Q70CQ1', 'Q9Y2Z4')"
"('Q14247', 'P35241')"
"('P13010', 'Q13111')"
"('P01912', 'P20774')"
"('P15336', 'P68400')"
"('Q9NRG9', 'Q9BW27')"
"('Q6ZNC8', 'Q8NBI5')"
"('O14776', 'Q86XP3')"
"('Q9Y6G3', 'P24539')"
"('P29400', 'P31431')"
"('P17252', 'P51828')"
"('Q86Y26', 'Q9NPQ8')"
"('P05129', 'P43629')"
"('P52948', 'Q96A37')"
"('Q3B820', 'Q8IYE1')"
"('P11217', 'Q9H0M0')"
"('Q9H221', 'P20700')"
"('Q96DA6', 'O75208')"
"('Q9NP92', 'Q10713')"
"('Q13619', 'P35637')"
"('P05412', 'Q9H6R4')"
"('Q92974', 'Q96L34')"
"('P52597', 'Q8IV38')"
"('O43678', 'Q9NTK5')"
"('Q92973', 'O43542')"
"('Q13442', 'P62807')"
"('Q9UK59', 'O95817')"
"('P67809', 'P35228')"
"('Q93063', 'Q7Z7M9')"
"('Q9NRQ2', 'Q9NSB4')"
"('Q9NY59', 'Q96AW1')"
"('Q9ULR3', 'Q9HCE1')"
"('Q9NQY0', 'Q6XZF7')"
"('Q96SN8', 'Q15691')"
"('P16278', 'P53350')"
"('Q9BXU3', 'P10599')"
"('Q86TJ2', 'Q9BWJ5')"
"('Q92922', 'Q15796')"
"('P22607', 'P29353')"
"('Q99496', 'Q9NQ31')"
"('Q7Z2W9', 'Q9HD33')"
"('A1L4H1', 'Q96BD8')"
"('P29590', 'Q15583')"
"('Q96C28', 'Q5JU69')"
"('P10644', 'Q15717')"
"('Q07343', 'Q9HCE1')"
"('Q9Y279', 'P51153')"
"('Q8TAD8', 'O60508')"
"('P08047', 'Q7Z406')"
"('Q6ZVZ8', 'P84090')"
"('P78345', 'P25789')"
"('Q86T82', 'P02768')"
"('Q13555', 'Q4G163')"
"('Q13007', 'Q14790')"
"('Q5T653', 'Q99613')"
"('Q13813', 'Q14164')"
"('Q13077', 'P78337')"
"('P01889', 'P23284')"
"('Q9Y6K8', 'Q7Z4K8')"
"('P62158', 'O15111')"
"('Q9H0M0', 'P13010')"
"('O75015', 'Q8IYS5')"
"('P05549', 'P37231')"
"('P24941', 'P09874')"
"('P20226', 'Q9P0U4')"
"('Q15022', 'Q9BZJ0')"
"('P19105', 'P38398')"
"('P46821', 'Q504Q3')"
"('P15884', 'P24385')"
"('Q2KHM9', 'Q9H4B6')"
"('O15054', 'P48431')"
"('O00221', 'P49642')"
"('P40855', 'Q9Y5Y2')"
"('P61956', 'Q9HA38')"
"('Q96DB2', 'O14893')"
"('Q13291', 'Q8N201')"
"('Q13643', 'P51610')"
"('P68400', 'O95786')"
"('P12532', 'P56537')"
"('P62826', 'O14787')"
"('Q8WUY3', 'P08865')"
"('P22695', 'Q9UI09')"
"('P14635', 'P06400')"
"('P50222', 'Q13064')"
"('Q99728', 'O14818')"
"('P30480', 'Q9UBT2')"
"('P54274', 'O00148')"
"('P06748', 'P61956')"
"('P42892', 'P49759')"
"('Q9BYR8', 'Q9H1P6')"
"('P35348', 'Q14315')"
"('Q9HD15', 'Q96T51')"
"('Q8WTV1', 'Q01082')"
"('Q99731', 'P25025')"
"('Q5JQC9', 'P10644')"
"('Q13418', 'Q86Y46')"
"('Q5UIP0', 'Q5JRX3')"
"('P02751', 'P50502')"
"('Q13315', 'Q9ULW0')"
"('P38646', 'Q5SXM8')"
"('Q7Z3S9', 'O00519')"
"('P67809', 'Q6Y7W6')"
"('O60939', 'Q9NU22')"
"('Q6UWE0', 'P51965')"
"('P26006', 'P60709')"
"('P41970', 'Q02363')"
"('Q99496', 'Q9NPA5')"
"('P04792', 'O75901')"
"('P78362', 'Q9NR30')"
"('Q9NR30', 'O60783')"
"('Q8WWY3', 'Q15459')"
"('P62841', 'P05387')"
"('P08238', 'Q08752')"
"('Q96B33', 'A6NM45')"
"('P61981', 'Q15884')"
"('P30050', 'P35544')"
"('P11441', 'O75063')"
"('O43395', 'Q9Y4E8')"
"('Q99832', 'P17987')"
"('Q9Y282', 'P49810')"
"('P01135', 'P22607')"
"('P12956', 'O95166')"
"('Q6UY14', 'Q9NRD1')"
"('Q05397', 'O43294')"
"('Q13464', 'Q8TAT5')"
"('Q8IYE1', 'O43298')"
"('Q15773', 'Q13398')"
"('Q08945', 'P46100')"
"('Q13956', 'P61218')"
"('P24386', 'P09327')"
"('Q8IYT4', 'Q13509')"
"('Q9Y6Q9', 'Q6PL18')"
"('P39023', 'Q9H1Y0')"
"('O43504', 'Q9HB90')"
"('Q6NUQ1', 'Q86XK3')"
"('Q13387', 'P45984')"
"('O60831', 'P51681')"
"('P16220', 'Q96AY2')"
"('Q8TEZ7', 'Q08426')"
"('O00571', 'Q15910')"
"('P12724', 'O60216')"
"('Q8TDY2', 'Q9H0W5')"
"('Q12948', 'P62714')"
"('Q9Y2M5', 'Q9Y383')"
"('P01222', 'Q96T91')"
"('Q7Z4S6', 'Q9UHV9')"
"('Q6UXD5', 'Q15646')"
"('Q8N3F8', 'Q9UNF0')"
"('P13716', 'O75312')"
"('Q8N9Q2', 'Q96CD2')"
"('P46108', 'Q9HCM9')"
"('P46531', 'Q96PU5')"
"('Q9NX58', 'P62854')"
"('Q6ZU80', 'Q13625')"
"('Q6NUN9', 'P30837')"
"('Q16666', 'Q14137')"
"('P11473', 'Q07973')"
"('Q5T124', 'Q92558')"
"('P02751', 'P08708')"
"('P33993', 'P49802')"
"('Q13952', 'P13569')"
"('Q15428', 'Q15427')"
"('Q8TCT1', 'O00148')"
"('Q6ZUT3', 'P54105')"
"('Q3B820', 'Q9UJV3')"
"('P11802', 'P49736')"
"('P38432', 'Q96JN2')"
"('Q9Y3I1', 'P25787')"
"('O60500', 'Q96B97')"
"('O14495', 'P05067')"
"('Q9UJW3', 'Q13888')"
"('P28072', 'Q9Y5K5')"
"('P60604', 'Q8NE01')"
"('Q9P0N8', 'P51668')"
"('P29401', 'P05161')"
"('P25054', 'Q9UP83')"
"('P19086', 'P47736')"
"('Q96MA1', 'Q3LI70')"
"('O15479', 'Q99757')"
"('Q12841', 'Q92624')"
"('Q9P0L2', 'P26927')"
"('Q8WUN7', 'Q0VD86')"
"('P27986', 'P61981')"
"('Q8N726', 'Q14566')"
"('P50613', 'O76061')"
"('P48634', 'Q9Y297')"
"('Q96NY9', 'Q9BQ83')"
"('Q86WV6', 'Q969M3')"
"('Q2KHR2', 'Q9H9E1')"
"('Q96EL2', 'Q8TBB1')"
"('P68400', 'Q5T200')"
"('O75420', 'Q16773')"
"('Q9UQL6', 'P33778')"
"('P60331', 'Q86T65')"
"('P36941', 'Q96GE4')"
"('Q8N5M4', 'Q9UBT2')"
"('Q8TEY7', 'Q13228')"
"('Q12931', 'P50750')"
"('P84022', 'Q99814')"
"('P14778', 'Q9NWZ3')"
"('Q14978', 'Q00987')"
"('P0DP25', 'P53355')"
"('Q9Y4E8', 'P19474')"
"('O43318', 'Q15910')"
"('O60832', 'P31947')"
"('Q3LI72', 'Q15915')"
"('Q14966', 'Q8TEH3')"
"('Q99952', 'P18146')"
"('Q9NW13', 'P50914')"
"('Q9NVR2', 'Q96CB8')"
"('Q99972', 'P17931')"
"('O95229', 'Q9H081')"
"('O95967', 'Q8IWZ5')"
"('P08631', 'Q13432')"
"('O43707', 'P46940')"
"('Q9BQI5', 'Q15811')"
"('Q15303', 'P51692')"
"('Q9BVN2', 'Q86X59')"
"('O15400', 'Q9H0W5')"
"('Q96FX2', 'Q8WWB5')"
"('Q96PK6', 'Q13617')"
"('P52333', 'O95644')"
"('Q8IY92', 'Q06190')"
"('Q8IYI8', 'P60328')"
"('Q4V328', 'O60563')"
"('P36956', 'Q96EB6')"
"('Q9HC52', 'Q96JN2')"
"('Q13237', 'P54710')"
"('Q7Z7F0', 'Q99459')"
"('Q5BJF6', 'Q96DN5')"
"('Q71U36', 'Q99595')"
"('O43281', 'O95433')"
"('Q9NRI5', 'P68371')"
"('Q9NP72', 'Q3SXY8')"
"('Q8IYX8', 'Q9BVG8')"
"('P27815', 'Q8N2W9')"
"('P18146', 'P11464')"
"('O95295', 'Q14511')"
"('O00159', 'O15020')"
"('O43390', 'Q15459')"
"('Q9Y5L4', 'Q9Y5J7')"
"('Q14814', 'Q14934')"
"('Q32P28', 'O75312')"
"('Q5S007', 'Q9BRP8')"
"('Q3LI66', 'Q7RTU3')"
"('P28074', 'P67809')"
"('O60826', 'Q9NRL2')"
"('Q96S59', 'O43497')"
"('Q15717', 'Q16181')"
"('P84098', 'P62263')"
"('O95486', 'O00754')"
"('Q3KNV8', 'Q9HCM7')"
"('Q8N205', 'P67870')"
"('Q9NS73', 'Q14129')"
"('Q06830', 'Q05086')"
"('Q96T76', 'Q7Z7A3')"
"('Q86UR5', 'P12882')"
"('Q9H5N1', 'O75717')"
"('Q8IYT8', 'Q96BY7')"
"('Q86YC2', 'Q14627')"
"('P15927', 'Q14966')"
"('Q9NRI5', 'Q9H0D6')"
"('Q99496', 'O15391')"
"('Q13227', 'P10828')"
"('P35637', 'Q92499')"
"('Q9H7E9', 'Q71U36')"
"('O14639', 'P31946')"
"('P36542', 'Q9H0W5')"
"('Q1A5X7', 'Q6NUQ1')"
"('P15924', 'Q15691')"
"('P49407', 'Q6IF82')"
"('P09651', 'P09211')"
"('Q15717', 'P27918')"
"('P46531', 'P03372')"
"('P13640', 'P58062')"
"('O14763', 'O60637')"
"('Q14790', 'Q969K3')"
"('Q13547', 'Q99880')"
"('P43364', 'Q9GZM8')"
"('P17516', 'Q6UX71')"
"('Q8TAA3', 'P51665')"
"('O75494', 'O14776')"
"('O43251', 'P09234')"
"('Q9Y6F9', 'Q01974')"
"('P36578', 'P36873')"
"('Q13002', 'O60260')"
"('Q99081', 'Q6XD76')"
"('P08047', 'P35869')"
"('Q9Y3C5', 'P27348')"
"('Q92544', 'P54709')"
"('Q8TCU5', 'P78352')"
"('P63000', 'Q8IVI9')"
"('O15264', 'P19419')"
"('O14578', 'P63000')"
"('Q5HYA8', 'Q14690')"
"('Q3KPI0', 'Q9NZ53')"
"('Q92621', 'Q9NRD1')"
"('O75581', 'P46940')"
"('Q8NI60', 'Q9UBB9')"
"('Q12873', 'P41182')"
"('Q15746', 'P04637')"
"('P26358', 'Q969V6')"
"('P61978', 'O60504')"
"('O60888', 'P40337')"
"('P22681', 'Q04917')"
"('O60285', 'Q13131')"
"('Q96FW1', 'Q96AG4')"
"('P00519', 'P38398')"
"('P49736', 'P14784')"
"('Q9NYB9', 'Q96B97')"
"('Q03188', 'Q9BU64')"
"('Q9Y2D8', 'Q8IX12')"
"('P62910', 'Q00839')"
"('P14866', 'Q16526')"
"('Q9NVT9', 'Q15436')"
"('Q9UQ07', 'Q7Z6Z7')"
"('Q92994', 'Q9H0N5')"
"('P35579', 'P51572')"
"('Q9P0L0', 'P16278')"
"('P60520', 'Q13813')"
"('Q9HCE1', 'Q9GZR7')"
"('Q96DU3', 'O14796')"
"('P78362', 'O15143')"
"('Q9NY33', 'Q15654')"
"('P83876', 'Q9BRK4')"
"('O75592', 'P63104')"
"('O43639', 'Q8WXE0')"
"('Q8NFP9', 'Q96EV8')"
"('Q9H7X3', 'P59991')"
"('P10827', 'Q14683')"
"('Q13347', 'P49257')"
"('Q8WZ42', 'O95402')"
"('P62888', 'P62249')"
"('P07951', 'P08047')"
"('O95342', 'Q15596')"
"('P04637', 'P52272')"
"('Q96MF2', 'Q8N9E0')"
"('Q8IVF5', 'Q9HBH0')"
"('P62258', 'Q9UKB1')"
"('Q13509', 'Q9C0C7')"
"('Q9H2P0', 'O14497')"
"('O60346', 'O43709')"
"('P04198', 'P10275')"
"('Q9H9Z2', 'P14678')"
"('Q6ZMM2', 'P35556')"
"('P05387', 'P62829')"
"('Q9BWP8', 'O94952')"
"('Q13595', 'O43809')"
"('P26368', 'Q02878')"
"('Q96GE6', 'Q14123')"
"('Q9HBT8', 'Q9NRD5')"
"('Q96IW2', 'Q8N6L1')"
"('Q96I34', 'P62140')"
"('Q01860', 'Q9P2D1')"
"('O14810', 'P63027')"
"('P17612', 'Q8NHC8')"
"('P08603', 'O75364')"
"('Q8IVF5', 'Q07890')"
"('P16083', 'P62745')"
"('Q9H2C0', 'P08238')"
"('P52907', 'P35244')"
"('P12830', 'Q86X29')"
"('P84022', 'Q13526')"
"('O60825', 'Q9UHJ9')"
"('Q92529', 'P48556')"
"('P27448', 'Q9Y4B5')"
"('O95059', 'O95785')"
"('P35716', 'P18146')"
"('Q99436', 'P02771')"
"('Q9H305', 'Q9UMX0')"
"('Q92934', 'Q99523')"
"('P62993', 'O43781')"
"('P07437', 'Q5VYK3')"
"('Q9UJF2', 'P48729')"
"('P19438', 'P0DP25')"
"('Q9Y2X3', 'P62081')"
"('Q9Y2Q9', 'P40926')"
"('Q8NA56', 'Q9P2R3')"
"('Q8N1B4', 'Q6P5Z2')"
"('O75478', 'Q9NSK0')"
"('O00255', 'P30876')"
"('Q14676', 'Q8NF37')"
"('Q15486', 'Q13432')"
"('Q14019', 'P50238')"
"('Q8N0Z6', 'Q09472')"
"('P01106', 'P49790')"
"('P62277', 'Q14498')"
"('P60520', 'Q6IED9')"
"('O14874', 'P12980')"
"('Q71U36', 'P46108')"
"('Q53FA7', 'P16104')"
"('Q8WZ33', 'Q9ULX9')"
"('P43355', 'Q9H0T7')"
"('P62072', 'Q68DC2')"
"('Q9UKV3', 'O75400')"
"('O95484', 'P57739')"
"('Q9P287', 'O60832')"
"('O75396', 'O43889')"
"('Q96J42', 'O95427')"
"('Q9NYL2', 'P33993')"
"('Q99728', 'Q9GZS3')"
"('Q99570', 'Q9NQC1')"
"('Q8IU85', 'P16220')"
"('P36915', 'P31150')"
"('Q68CZ1', 'P00966')"
"('O43157', 'Q71F23')"
"('Q14980', 'P02545')"
"('P42679', 'O00555')"
"('O60333', 'O14908')"
"('P09651', 'O60218')"
"('Q9BVC4', 'O75143')"
"('O75688', 'P09327')"
"('P49736', 'Q6IN85')"
"('Q8IUC6', 'O75037')"
"('P49917', 'Q53LP3')"
"('P05362', 'Q14145')"
"('P27361', 'P00533')"
"('Q641Q2', 'O94986')"
"('P35228', 'P62899')"
"('P14618', 'Q8TAT6')"
"('P27348', 'P61289')"
"('Q9UBW8', 'Q9H4G0')"
"('P39060', 'P14151')"
"('P78563', 'O00308')"
"('P63241', 'O75360')"
"('P61962', 'P19784')"
"('Q93009', 'Q96PU4')"
"('P23508', 'Q13200')"
"('O14980', 'P09012')"
"('Q5SY16', 'P53041')"
"('Q00534', 'Q02539')"
"('Q8TBJ5', 'Q13547')"
"('P15923', 'P27824')"
"('Q13158', 'Q9GZR7')"
"('Q9BQP7', 'Q9H2W6')"
"('Q9UPU5', 'Q9NZN8')"
"('P20671', 'P05412')"
"('Q15532', 'Q15910')"
"('O00264', 'P39656')"
"('Q01844', 'Q8NEH6')"
"('Q99728', 'Q09161')"
"('Q9NQP4', 'Q8NBT0')"
"('Q5QNW6', 'P0C5Y9')"
"('P01009', 'P02751')"
"('Q16763', 'Q9NQC7')"
"('P16455', 'Q08945')"
"('P62753', 'Q13616')"
"('P03905', 'O75380')"
"('O43399', 'Q96S44')"
"('O00470', 'P55854')"
"('Q13126', 'P18146')"
"('Q92851', 'P48023')"
"('Q9NP74', 'Q16643')"
"('P54274', 'O60907')"
"('P27816', 'P33240')"
"('Q8N726', 'Q8TEE9')"
"('Q9BUN8', 'Q9BQ70')"
"('Q9UBL3', 'Q99873')"
"('P27635', 'P46782')"
"('Q9UGI0', 'Q5T7W7')"
"('Q5T655', 'Q1A5X7')"
"('Q9UQ35', 'Q9H967')"
"('Q99717', 'Q15796')"
"('Q01968', 'Q9UKG1')"
"('Q8NHQ1', 'Q5MJ09')"
"('Q9BYV6', 'Q7Z569')"
"('Q5VWQ0', 'Q96HE9')"
"('Q6XUX3', 'P42331')"
"('Q96P70', 'Q9UKV8')"
"('P10809', 'Q16611')"
"('O15372', 'O75822')"
"('O15379', 'Q9BQ87')"
"('P17040', 'P0C0S8')"
"('O43865', 'Q14562')"
"('Q05086', 'Q9UM19')"
"('Q15109', 'P80511')"
"('Q9P287', 'P47756')"
"('O95801', 'Q9P289')"
"('Q15326', 'Q8IUC6')"
"('Q96A56', 'P60520')"
"('Q13724', 'P62847')"
"('P35626', 'Q8NGJ8')"
"('Q9BYD6', 'P30050')"
"('Q13618', 'Q5RKV6')"
"('Q5S007', 'Q86WJ1')"
"('P62857', 'P60866')"
"('Q8N960', 'Q8NG31')"
"('O94955', 'Q02297')"
"('P05060', 'P61224')"
"('Q9H0A9', 'P40617')"
"('O43829', 'P26196')"
"('P24941', 'P30260')"
"('Q9H6R6', 'P00505')"
"('Q9P0M6', 'P62807')"
"('P05412', 'O15160')"
"('Q3LI66', 'Q5T749')"
"('Q9H4A4', 'O95405')"
"('P20393', 'P62987')"
"('P62136', 'P62847')"
"('P32119', 'P50897')"
"('P27635', 'Q07020')"
"('Q9UIX4', 'P07900')"
"('P18583', 'Q12899')"
"('P09211', 'P60409')"
"('Q7Z417', 'Q9UHV8')"
"('Q13617', 'P34897')"
"('P32969', 'P62750')"
"('Q8TDR4', 'O43293')"
"('P29350', 'Q5UE93')"
"('P19784', 'Q7L2J0')"
"('Q12933', 'P60602')"
"('P11441', 'P62280')"
"('Q8N5M1', 'Q8IX06')"
"('Q9Y478', 'Q13263')"
"('P56524', 'Q9UQC2')"
"('O14936', 'Q9H788')"
"('O14787', 'Q13557')"
"('Q9UQC2', 'Q9P244')"
"('Q96G03', 'P30038')"
"('Q6P1J9', 'Q6S8J3')"
"('Q99436', 'Q9NYL9')"
"('P43360', 'O95219')"
"('Q96BD6', 'Q99873')"
"('Q49AN0', 'O95816')"
"('Q8TDX5', 'P43364')"
"('Q9UMR2', 'P48594')"
"('Q9UN30', 'Q15717')"
"('Q12996', 'Q99459')"
"('Q15654', 'P06753')"
"('Q9P0S2', 'Q9Y664')"
"('Q01844', 'Q15424')"
"('Q8N183', 'Q96CV9')"
"('P17029', 'Q9BV73')"
"('Q9BYC5', 'O75752')"
"('Q13617', 'Q58FF8')"
"('Q9H0H5', 'Q9NX95')"
"('Q9BPX5', 'P60709')"
"('Q9P0J0', 'O43464')"
"('Q14BN4', 'Q9UHV9')"
"('P46531', 'Q9UJX2')"
"('Q9H293', 'Q9NRR5')"
"('O43583', 'Q15717')"
"('Q9H4X1', 'Q9Y4G6')"
"('P53999', 'O75531')"
"('P78424', 'O00303')"
"('P14635', 'P36873')"
"('Q9UKS7', 'O95644')"
"('P0DP23', 'P49736')"
"('P08912', 'Q13596')"
"('Q9C009', 'O00411')"
"('Q7L5N1', 'Q9Y597')"
"('O75348', 'Q0VGL1')"
"('Q969F2', 'P12830')"
"('Q8WZ84', 'Q9P2W3')"
"('Q9UNP9', 'Q86YI8')"
"('P01106', 'Q9UBV7')"
"('Q9Y6K0', 'Q16659')"
"('Q96GM5', 'O43586')"
"('O95619', 'Q6VAB6')"
"('P31943', 'Q8WW24')"
"('Q504Q3', 'P62081')"
"('Q9Y490', 'Q8N5N7')"
"('Q15078', 'Q00535')"
"('P11362', 'O15165')"
"('P42566', 'P01137')"
"('Q9P0L0', 'Q9UBH6')"
"('P04908', 'P33778')"
"('Q86X19', 'Q8WU79')"
"('P30566', 'P50238')"
"('Q9UBU9', 'Q8NBI6')"
"('Q9UHC3', 'Q16515')"
"('Q92626', 'Q6AZY7')"
"('P48643', 'P61962')"
"('Q04760', 'Q14999')"
"('O00189', 'Q13435')"
"('P40763', 'Q8TE76')"
"('O15516', 'P0C1Z6')"
"('O60934', 'P29590')"
"('Q9NWS0', 'P19387')"
"('Q86VP6', 'Q14186')"
"('Q9H2X6', 'Q6GPH4')"
"('P61968', 'Q2NKX8')"
"('P19784', 'Q92784')"
"('Q5T4F7', 'P56706')"
"('P38919', 'Q9BV38')"
"('P40937', 'Q9Y3C7')"
"('Q6P2I7', 'Q9BUV8')"
"('P12314', 'P46109')"
"('P22413', 'Q13635')"
"('Q13490', 'P00533')"
"('O75964', 'Q9NZJ7')"
"('Q96P70', 'Q86VU5')"
"('O76081', 'P19086')"
"('O95070', 'Q9NPL8')"
"('Q13315', 'Q9Y3F4')"
"('P12004', 'Q8IY92')"
"('Q9NWT1', 'Q9BSI4')"
"('Q9NWF9', 'P58753')"
"('Q9GZM7', 'Q7Z3S9')"
"('Q15154', 'Q15691')"
"('P07686', 'Q9UKN8')"
"('Q9Y2F9', 'P50222')"
"('Q2TAL8', 'Q96LI6')"
"('P01127', 'P14616')"
"('P67809', 'P05412')"
"('Q8NHL6', 'P30685')"
"('Q96EZ8', 'Q9UID6')"
"('Q86YM7', 'Q86YV0')"
"('P48431', 'Q9BR76')"
"('Q8NFB2', 'P78310')"
"('Q14525', 'Q9NSB4')"
"('Q9NRC8', 'P35998')"
"('Q99558', 'O95793')"
"('P24534', 'Q05639')"
"('Q9H063', 'Q92878')"
"('Q96ST3', 'Q13351')"
"('Q9UM22', 'Q96KQ7')"
"('O14775', 'Q99471')"
"('Q9BZM3', 'P62993')"
"('Q5D862', 'Q92905')"
"('Q99952', 'P42680')"
"('Q15370', 'Q13951')"
"('Q9ULX3', 'Q9HAU5')"
"('P35222', 'Q9UBU9')"
"('Q96SQ5', 'Q9UKT9')"
"('Q6P1M0', 'P04629')"
"('Q9BPW9', 'Q9C0H2')"
"('Q63ZY3', 'Q96RU7')"
"('O15078', 'P00387')"
"('Q8IWL3', 'Q5JRX3')"
"('Q9UGJ1', 'P34810')"
"('O75489', 'P08195')"
"('Q8IWL3', 'Q15363')"
"('Q99459', 'Q08379')"
"('Q13617', 'P25205')"
