negatives
"frozenset({'Q9H6L4', 'TSH', 'Q5VWN6'})"
"frozenset({'TSH', 'P31751', 'Q6ZVD8'})"
"frozenset({'TSH', 'P33176', 'Q9Y3P9'})"
"frozenset({'TSH', 'Q9Y4E8', 'P12830'})"
"frozenset({'P35269', 'TSH', 'O15121'})"
"frozenset({'P24863', 'TSH', 'Q9BTT4'})"
"frozenset({'Q96RU7', 'TSH', 'P18848'})"
"frozenset({'P30613', 'TSH', 'Q5W0Q7'})"
"frozenset({'TSH', 'Q13480', 'O75791'})"
"frozenset({'TSH', 'Q9P2W3', 'Q9UBY5'})"
"frozenset({'TSH', 'P36871', 'P31939'})"
"frozenset({'TSH', 'Q92993', 'P10242'})"
"frozenset({'P04406', 'TSH', 'Q13952'})"
"frozenset({'Q15843', 'TSH', 'Q9BQE3'})"
"frozenset({'TSH', 'P37840', 'P42285'})"
"frozenset({'Q9UBU9', 'TSH', 'Q14094'})"
"frozenset({'TSH', 'Q6UY14', 'Q17RB8'})"
"frozenset({'TSH', 'P62829', 'P26373'})"
"frozenset({'P50749', 'TSH', 'Q08209'})"
"frozenset({'Q9BXL5', 'Q92794', 'TSH'})"
"frozenset({'TSH', 'P18621', 'P35268'})"
"frozenset({'P32121', 'Q13362', 'TSH'})"
"frozenset({'P17612', 'TSH', 'P58173'})"
"frozenset({'Q12888', 'TSH', 'Q6IAN0'})"
"frozenset({'P24043', 'TSH', 'P17301'})"
"frozenset({'Q8IZA0', 'P08254', 'TSH'})"
"frozenset({'Q5TB80', 'TSH', 'Q96C36'})"
"frozenset({'Q14995', 'Q96LA8', 'TSH'})"
"frozenset({'Q93062', 'TSH', 'O95947'})"
"frozenset({'TSH', 'Q6P1N9', 'Q5VYK3'})"
"frozenset({'Q9NQC7', 'P01375', 'TSH'})"
"frozenset({'TSH', 'O00144', 'Q5T4F7'})"
"frozenset({'Q9UPN7', 'TSH', 'Q16342'})"
"frozenset({'P08621', 'TSH', 'O15355'})"
"frozenset({'TSH', 'Q12874', 'P61163'})"
"frozenset({'Q13247', 'TSH', 'Q8WXA9'})"
"frozenset({'O14786', 'TSH', 'P19784'})"
"frozenset({'TSH', 'O95817', 'O60504'})"
"frozenset({'TSH', 'Q14764', 'Q8NF64'})"
"frozenset({'Q14999', 'TSH', 'P26373'})"
"frozenset({'TSH', 'O43320', 'Q92997'})"
"frozenset({'Q13547', 'TSH', 'Q9UQL6'})"
"frozenset({'TSH', 'Q9H6U6', 'Q14653'})"
"frozenset({'TSH', 'P61981', 'O94915'})"
"frozenset({'TSH', 'Q9NW38', 'Q3LI70'})"
"frozenset({'Q12907', 'TSH', 'P11441'})"
"frozenset({'Q8WWW8', 'TSH', 'P12931'})"
"frozenset({'P04792', 'TSH', 'P55735'})"
"frozenset({'TSH', 'Q8N1F7', 'Q15717'})"
"frozenset({'Q03014', 'Q15415', 'TSH'})"
"frozenset({'P21589', 'TSH', 'P52569'})"
"frozenset({'TSH', 'Q7Z3B3', 'Q96EV8'})"
"frozenset({'TSH', 'Q9BZW8', 'Q9Y6D6'})"
"frozenset({'TSH', 'P10275', 'Q92922'})"
"frozenset({'TSH', 'P52566', 'Q9UKA1'})"
"frozenset({'P00450', 'TSH', 'P27540'})"
"frozenset({'P35680', 'TSH', 'O15544'})"
"frozenset({'TSH', 'P15923', 'P25490'})"
"frozenset({'P10809', 'TSH', 'Q16822'})"
"frozenset({'TSH', 'Q96FE5', 'P14373'})"
"frozenset({'TSH', 'O95793', 'Q9P035'})"
"frozenset({'TSH', 'Q9P2G9', 'Q9NXV2'})"
"frozenset({'TSH', 'Q7Z4H7', 'Q9Y2D8'})"
"frozenset({'TSH', 'Q6PEX3', 'Q8IWZ5'})"
"frozenset({'TSH', 'Q9NRF2', 'P17252'})"
"frozenset({'P42356', 'TSH', 'O43493'})"
"frozenset({'P22234', 'P02751', 'TSH'})"
"frozenset({'P10124', 'TSH', 'Q5T4S7'})"
"frozenset({'TSH', 'P33316', 'P11441'})"
"frozenset({'TSH', 'Q96QC0', 'Q9ULK4'})"
"frozenset({'Q99661', 'TSH', 'Q5XKE5'})"
"frozenset({'Q14999', 'TSH', 'Q9NYL9'})"
"frozenset({'TSH', 'P48643', 'O15379'})"
"frozenset({'Q5VWX1', 'TSH', 'O14744'})"
"frozenset({'TSH', 'Q86VP1', 'Q9Y3M8'})"
"frozenset({'TSH', 'O60506', 'P46013'})"
"frozenset({'TSH', 'P50990', 'O94808'})"
"frozenset({'P27448', 'TSH', 'Q8TEP8'})"
"frozenset({'TSH', 'Q6NVU6', 'P78337'})"
"frozenset({'TSH', 'Q9UHC6', 'P50222'})"
"frozenset({'Q9BRX9', 'TSH', 'Q9BYG4'})"
"frozenset({'TSH', 'P04629', 'Q96JG6'})"
"frozenset({'TSH', 'Q69YU3', 'Q9P244'})"
"frozenset({'TSH', 'Q86VX2', 'Q9UBI1'})"
"frozenset({'TSH', 'Q96GM5', 'Q8NFZ5'})"
"frozenset({'TSH', 'Q6ZW49', 'Q9Y2Z0'})"
"frozenset({'Q9UM73', 'TSH', 'Q9BSJ2'})"
"frozenset({'P19838', 'TSH', 'P62241'})"
"frozenset({'Q13488', 'TSH', 'Q99523'})"
"frozenset({'P21246', 'TSH', 'Q9HC98'})"
"frozenset({'O00311', 'TSH', 'P33991'})"
"frozenset({'Q08379', 'TSH', 'P04629'})"
"frozenset({'P17066', 'TSH', 'Q9NSE2'})"
"frozenset({'TSH', 'P78352', 'Q9H204'})"
"frozenset({'TSH', 'P35626', 'Q8NH43'})"
"frozenset({'TSH', 'A5D8V6', 'Q6ZRY4'})"
"frozenset({'P60520', 'TSH', 'Q66K14'})"
"frozenset({'TSH', 'Q9ULG6', 'Q13635'})"
"frozenset({'P51668', 'TSH', 'P15918'})"
"frozenset({'O94906', 'TSH', 'Q5BKZ1'})"
"frozenset({'TSH', 'P60900', 'Q9BUN8'})"
"frozenset({'TSH', 'P61956', 'Q06609'})"
"frozenset({'TSH', 'Q9Y2Q3', 'Q02252'})"
"frozenset({'Q8IYS5', 'TSH', 'P12318'})"
"frozenset({'Q9BTL4', 'TSH', 'P51587'})"
"frozenset({'TSH', 'Q9C0J8', 'P35244'})"
"frozenset({'Q96JW4', 'TSH', 'Q969F0'})"
"frozenset({'P09661', 'TSH', 'O14980'})"
"frozenset({'Q6P158', 'TSH', 'P60371'})"
"frozenset({'TSH', 'Q9Y6M7', 'Q9P0N5'})"
"frozenset({'TSH', 'O15264', 'P30101'})"
"frozenset({'P02751', 'TSH', 'Q01081'})"
"frozenset({'TSH', 'Q9NS23', 'Q00987'})"
"frozenset({'Q96N21', 'TSH', 'Q9Y587'})"
"frozenset({'P12980', 'TSH', 'Q9UBP8'})"
"frozenset({'TSH', 'P59768', 'P28482'})"
"frozenset({'TSH', 'P17931', 'P25391'})"
"frozenset({'TSH', 'Q05397', 'Q9H269'})"
"frozenset({'P28069', 'TSH', 'Q92793'})"
"frozenset({'TSH', 'Q15776', 'Q96SB4'})"
"frozenset({'TSH', 'P18124', 'Q99613'})"
"frozenset({'P17612', 'TSH', 'Q8NGA5'})"
"frozenset({'P17612', 'TSH', 'P14598'})"
"frozenset({'TSH', 'Q9Y2U8', 'Q01860'})"
"frozenset({'Q00994', 'TSH', 'P08138'})"
"frozenset({'TSH', 'Q9Y466', 'Q96RT1'})"
"frozenset({'TSH', 'P50897', 'Q14194'})"
"frozenset({'Q13569', 'TSH', 'P61956'})"
"frozenset({'TSH', 'Q9NYA3', 'Q8TAE8'})"
"frozenset({'TSH', 'P25685', 'O60869'})"
"frozenset({'TSH', 'Q9Y4G8', 'Q14315'})"
"frozenset({'P11215', 'TSH', 'Q8N6L0'})"
"frozenset({'O95166', 'TSH', 'Q9BPW8'})"
"frozenset({'TSH', 'P01106', 'Q99729'})"
"frozenset({'TSH', 'Q9BYR2', 'Q9BYE3'})"
"frozenset({'TSH', 'P53671', 'P68366'})"
"frozenset({'TSH', 'P51858', 'O95793'})"
"frozenset({'O75489', 'TSH', 'O95169'})"
"frozenset({'TSH', 'P08754', 'O15552'})"
"frozenset({'TSH', 'Q99519', 'O60603'})"
"frozenset({'P04440', 'TSH', 'Q9UL63'})"
"frozenset({'Q969W0', 'TSH', 'Q96N66'})"
"frozenset({'Q15287', 'TSH', 'Q9BXP5'})"
"frozenset({'TSH', 'Q5XKE5', 'O00459'})"
"frozenset({'TSH', 'O15198', 'Q5T5Y3'})"
"frozenset({'TSH', 'Q9NZV6', 'A8MQ03'})"
"frozenset({'TSH', 'P55036', 'P28070'})"
"frozenset({'Q9H0I2', 'Q8IUB9', 'TSH'})"
"frozenset({'TSH', 'P11388', 'P46087'})"
"frozenset({'Q96CS2', 'TSH', 'Q6ZMS7'})"
"frozenset({'P23560', 'TSH', 'P29317'})"
"frozenset({'P80303', 'TSH', 'O60232'})"
"frozenset({'TSH', 'Q13813', 'Q9Y572'})"
"frozenset({'TSH', 'O00303', 'Q8N3C0'})"
"frozenset({'P41218', 'TSH', 'Q8IZL8'})"
"frozenset({'TSH', 'O95678', 'Q8N3L3'})"
"frozenset({'TSH', 'Q9Y6D9', 'Q9BSW7'})"
"frozenset({'TSH', 'Q9NPJ6', 'Q9H6D7'})"
"frozenset({'TSH', 'P26368', 'P28066'})"
"frozenset({'Q14CZ7', 'TSH', 'Q9NSE4'})"
"frozenset({'TSH', 'P42695', 'Q13813'})"
"frozenset({'P01857', 'TSH', 'P01764'})"
"frozenset({'P06493', 'TSH', 'Q01581'})"
"frozenset({'Q9BWH6', 'P22234', 'TSH'})"
"frozenset({'TSH', 'O75506', 'Q9BSB4'})"
"frozenset({'TSH', 'Q05193', 'P57075'})"
"frozenset({'TSH', 'Q9UPU9', 'O14980'})"
"frozenset({'TSH', 'Q92731', 'O15264'})"
"frozenset({'Q02539', 'TSH', 'Q9BYG3'})"
"frozenset({'TSH', 'Q9NZC3', 'Q8WY22'})"
"frozenset({'O14818', 'TSH', 'P61289'})"
"frozenset({'Q9Y2W2', 'TSH', 'Q8NDC4'})"
"frozenset({'TSH', 'P53779', 'P63215'})"
"frozenset({'Q9Y262', 'TSH', 'P46781'})"
"frozenset({'Q99728', 'P82650', 'TSH'})"
"frozenset({'Q13075', 'Q9NR28', 'TSH'})"
"frozenset({'Q13535', 'Q9UBT2', 'TSH'})"
"frozenset({'P51668', 'TSH', 'Q99714'})"
"frozenset({'TSH', 'Q86Y79', 'F7VJQ1'})"
"frozenset({'TSH', 'P62807', 'O43167'})"
"frozenset({'P38405', 'TSH', 'Q8NGE0'})"
"frozenset({'TSH', 'P12956', 'Q9UH65'})"
"frozenset({'TSH', 'Q15365', 'Q8IX12'})"
"frozenset({'P11940', 'TSH', 'O43290'})"
"frozenset({'P31946', 'TSH', 'Q9UQM7'})"
"frozenset({'Q9HBH0', 'TSH', 'Q8IWW6'})"
"frozenset({'P29972', 'TSH', 'Q01850'})"
"frozenset({'TSH', 'Q9Y5V3', 'Q9UJX2'})"
"frozenset({'TSH', 'P41236', 'Q12972'})"
"frozenset({'TSH', 'Q6WCQ1', 'Q00325'})"
"frozenset({'P52597', 'Q13724', 'TSH'})"
"frozenset({'TSH', 'Q8IYB1', 'Q9UP95'})"
"frozenset({'TSH', 'Q96EP0', 'Q92985'})"
"frozenset({'TSH', 'Q96KN2', 'P20337'})"
"frozenset({'TSH', 'P43307', 'Q9H845'})"
"frozenset({'TSH', 'P83731', 'P62241'})"
"frozenset({'TSH', 'P35579', 'Q96IZ0'})"
"frozenset({'O75376', 'Q969W9', 'TSH'})"
"frozenset({'TSH', 'Q9NXR8', 'Q13393'})"
"frozenset({'P22626', 'TSH', 'P11441'})"
"frozenset({'TSH', 'P14921', 'Q9HD15'})"
"frozenset({'TSH', 'A8MT65', 'P61289'})"
"frozenset({'TSH', 'Q7Z3C6', 'P26371'})"
"frozenset({'Q13155', 'TSH', 'Q9Y383'})"
"frozenset({'Q5JST6', 'TSH', 'Q14129'})"
"frozenset({'O60907', 'TSH', 'O60479'})"
"frozenset({'TSH', 'Q9NRX1', 'Q9Y6V7'})"
"frozenset({'P82673', 'TSH', 'Q13618'})"
"frozenset({'TSH', 'O15360', 'P02549'})"
"frozenset({'Q7Z6E9', 'TSH', 'Q9UI95'})"
"frozenset({'TSH', 'P06899', 'O75478'})"
"frozenset({'P09874', 'TSH', 'P16401'})"
"frozenset({'Q16620', 'TSH', 'P55075'})"
"frozenset({'TSH', 'Q8WWI1', 'Q9Y3M2'})"
"frozenset({'TSH', 'Q9Y6B2', 'P14373'})"
"frozenset({'P27487', 'TSH', 'P48061'})"
"frozenset({'TSH', 'O76041', 'P12830'})"
"frozenset({'TSH', 'P17676', 'Q9Y6Y9'})"
"frozenset({'TSH', 'Q9HA47', 'Q9BZM1'})"
"frozenset({'TSH', 'P34897', 'Q96CU9'})"
"frozenset({'TSH', 'Q9HAU4', 'O14640'})"
"frozenset({'P49736', 'TSH', 'Q01105'})"
"frozenset({'TSH', 'Q8IZY2', 'Q99523'})"
"frozenset({'TSH', 'P55036', 'P46934'})"
"frozenset({'TSH', 'Q92993', 'Q16695'})"
"frozenset({'TSH', 'Q5JXA9', 'Q08722'})"
"frozenset({'TSH', 'P05538', 'Q86UD1'})"
"frozenset({'TSH', 'Q14164', 'O75716'})"
"frozenset({'P62068', 'TSH', 'P60709'})"
"frozenset({'P31273', 'TSH', 'O15496'})"
"frozenset({'Q401N2', 'TSH', 'Q96D05'})"
"frozenset({'TSH', 'P14868', 'P46778'})"
"frozenset({'Q9NZM1', 'P15927', 'TSH'})"
"frozenset({'TSH', 'P13349', 'P41134'})"
"frozenset({'Q08AG7', 'Q8IXZ2', 'TSH'})"
"frozenset({'TSH', 'P61978', 'Q15029'})"
"frozenset({'TSH', 'Q8IZH2', 'Q14839'})"
"frozenset({'TSH', 'P01106', 'Q5T848'})"
"frozenset({'Q13426', 'TSH', 'Q7Z3Y8'})"
"frozenset({'Q5T753', 'Q9BQ66', 'TSH'})"
"frozenset({'Q9NPH2', 'TSH', 'P04629'})"
"frozenset({'TSH', 'P31350', 'P60006'})"
"frozenset({'TSH', 'Q96RT8', 'P68366'})"
"frozenset({'TSH', 'Q9UJV3', 'P68363'})"
"frozenset({'Q2TAC2', 'P29972', 'TSH'})"
"frozenset({'TSH', 'Q9UBX2', 'Q15717'})"
"frozenset({'Q9Y294', 'TSH', 'P54198'})"
"frozenset({'TSH', 'Q9H0W9', 'O00625'})"
"frozenset({'P17535', 'TSH', 'P09493'})"
"frozenset({'TSH', 'Q9UHY1', 'Q5T3J3'})"
"frozenset({'O43719', 'TSH', 'Q99575'})"
"frozenset({'P09172', 'TSH', 'O75503'})"
"frozenset({'O95342', 'TSH', 'Q15596'})"
"frozenset({'P43246', 'TSH', 'Q92889'})"
"frozenset({'TSH', 'Q8N5A5', 'Q14839'})"
"frozenset({'TSH', 'P23258', 'Q6P582'})"
"frozenset({'Q13643', 'TSH', 'Q8NE01'})"
"frozenset({'TSH', 'O43889', 'Q9BWM7'})"
"frozenset({'TSH', 'P51692', 'O60674'})"
"frozenset({'TSH', 'P12956', 'Q6K0P9'})"
"frozenset({'Q8N7H5', 'TSH', 'O60563'})"
"frozenset({'TSH', 'P43307', 'P61421'})"
"frozenset({'Q53H12', 'TSH', 'Q9NRD1'})"
"frozenset({'TSH', 'P30086', 'O75477'})"
"frozenset({'Q9UBU9', 'TSH', 'Q12979'})"
"frozenset({'P30042', 'TSH', 'Q96DP5'})"
"frozenset({'O75586', 'TSH', 'P10071'})"
"frozenset({'P05231', 'TSH', 'Q9BYH8'})"
"frozenset({'TSH', 'P98170', 'P61077'})"
"frozenset({'TSH', 'P37840', 'Q9H4B7'})"
"frozenset({'P42566', 'TSH', 'P62993'})"
"frozenset({'TSH', 'P51788', 'Q92917'})"
"frozenset({'Q86SQ9', 'TSH', 'Q9GZT8'})"
"frozenset({'Q12905', 'TSH', 'P15880'})"
"frozenset({'Q9UN74', 'TSH', 'Q5T3J3'})"
"frozenset({'TSH', 'P39023', 'Q13618'})"
"frozenset({'TSH', 'O00299', 'P12830'})"
"frozenset({'Q14689', 'TSH', 'Q9C0F1'})"
"frozenset({'TSH', 'P16220', 'Q9HD15'})"
"frozenset({'TSH', 'Q9Y4K3', 'Q96AH8'})"
"frozenset({'TSH', 'Q5VWK5', 'Q86WN2'})"
"frozenset({'TSH', 'P08240', 'Q96GX1'})"
"frozenset({'TSH', 'Q7Z3K3', 'O14980'})"
"frozenset({'TSH', 'Q92997', 'O75909'})"
"frozenset({'Q8NDP4', 'TSH', 'Q9BYQ3'})"
"frozenset({'O95166', 'Q9NZI8', 'TSH'})"
"frozenset({'O43529', 'TSH', 'Q96MM7'})"
"frozenset({'TSH', 'Q9BY11', 'P11142'})"
"frozenset({'TSH', 'Q15041', 'O95219'})"
"frozenset({'P24941', 'TSH', 'Q969P6'})"
"frozenset({'TSH', 'P35236', 'P45983'})"
"frozenset({'TSH', 'Q6PIV2', 'O96019'})"
"frozenset({'Q9BQG0', 'TSH', 'P62750'})"
"frozenset({'TSH', 'P61221', 'O60260'})"
"frozenset({'TSH', 'P04004', 'Q07955'})"
"frozenset({'Q9P270', 'TSH', 'P14373'})"
"frozenset({'TSH', 'Q9UQB3', 'P06241'})"
"frozenset({'Q8N1V2', 'TSH', 'P34932'})"
"frozenset({'TSH', 'P05412', 'P40938'})"
"frozenset({'TSH', 'Q9UF02', 'P30154'})"
"frozenset({'TSH', 'Q8IYE0', 'P37198'})"
"frozenset({'TSH', 'Q9Y224', 'P68402'})"
"frozenset({'TSH', 'Q16777', 'P51608'})"
"frozenset({'Q9UHB7', 'TSH', 'P63010'})"
"frozenset({'P42167', 'TSH', 'P27105'})"
"frozenset({'P50150', 'TSH', 'O43306'})"
"frozenset({'TSH', 'P63211', 'Q9UGI9'})"
"frozenset({'O60716', 'TSH', 'Q7Z6J6'})"
"frozenset({'TSH', 'Q8WXA9', 'P04629'})"
"frozenset({'TSH', 'Q96EZ8', 'P45984'})"
"frozenset({'TSH', 'Q15006', 'P78332'})"
"frozenset({'Q8NHS1', 'TSH', 'O43889'})"
"frozenset({'P57735', 'TSH', 'Q9Y2B9'})"
"frozenset({'TSH', 'Q05932', 'Q8IWL3'})"
"frozenset({'TSH', 'Q00987', 'Q04206'})"
"frozenset({'TSH', 'Q9Y468', 'Q96IX5'})"
"frozenset({'TSH', 'P52564', 'O15455'})"
"frozenset({'TSH', 'P67870', 'P62805'})"
"frozenset({'P08100', 'TSH', 'Q15075'})"
"frozenset({'P05067', 'TSH', 'Q9UQK1'})"
"frozenset({'TSH', 'P12931', 'P11137'})"
"frozenset({'TSH', 'Q9BX70', 'O60383'})"
"frozenset({'P12814', 'TSH', 'Q8TDR0'})"
"frozenset({'TSH', 'O75821', 'P60033'})"
"frozenset({'TSH', 'Q6FI13', 'P35226'})"
"frozenset({'TSH', 'P61587', 'O43157'})"
"frozenset({'P63244', 'TSH', 'Q14694'})"
"frozenset({'P05067', 'TSH', 'Q9BZJ8'})"
"frozenset({'TSH', 'Q9UI14', 'Q8WUY8'})"
"frozenset({'P01112', 'P42338', 'TSH'})"
"frozenset({'P01375', 'Q14934', 'TSH'})"
"frozenset({'P01375', 'TSH', 'Q92945'})"
"frozenset({'TSH', 'Q7L273', 'Q8N865'})"
"frozenset({'Q9NRC8', 'TSH', 'Q14684'})"
"frozenset({'Q96FW1', 'O95831', 'TSH'})"
"frozenset({'Q0VD86', 'TSH', 'Q53HC5'})"
"frozenset({'Q96T58', 'TSH', 'Q13315'})"
"frozenset({'Q6P5Z2', 'TSH', 'P67775'})"
"frozenset({'P31749', 'TSH', 'P06733'})"
"frozenset({'TSH', 'Q07812', 'Q86Y07'})"
"frozenset({'TSH', 'P50454', 'P15923'})"
"frozenset({'P07900', 'TSH', 'O43930'})"
"frozenset({'P31749', 'TSH', 'Q9H8T0'})"
"frozenset({'TSH', 'Q9BT73', 'P28070'})"
"frozenset({'Q15323', 'TSH', 'O95671'})"
"frozenset({'P21333', 'TSH', 'Q06187'})"
"frozenset({'Q15637', 'TSH', 'Q01081'})"
"frozenset({'Q8IUC1', 'TSH', 'P32242'})"
"frozenset({'TSH', 'O14776', 'P18146'})"
"frozenset({'TSH', 'P22455', 'Q96S79'})"
"frozenset({'TSH', 'Q9UHD9', 'O43402'})"
"frozenset({'TSH', 'P62280', 'P62888'})"
"frozenset({'P30050', 'P61254', 'TSH'})"
"frozenset({'TSH', 'P23258', 'A6NHL2'})"
"frozenset({'TSH', 'Q13573', 'O00429'})"
"frozenset({'TSH', 'Q9UN30', 'Q9Y2J2'})"
"frozenset({'P49736', 'TSH', 'P47895'})"
"frozenset({'Q15370', 'TSH', 'Q9NV79'})"
"frozenset({'Q13148', 'TSH', 'P13010'})"
"frozenset({'TSH', 'O14867', 'Q9HBE1'})"
"frozenset({'TSH', 'P53350', 'P20618'})"
"frozenset({'TSH', 'Q9UIF7', 'Q9H9S0'})"
"frozenset({'Q96IY1', 'TSH', 'Q8NBT2'})"
"frozenset({'TSH', 'Q04206', 'P10644'})"
"frozenset({'P10244', 'TSH', 'Q9UNY4'})"
"frozenset({'TSH', 'Q01970', 'P17948'})"
"frozenset({'TSH', 'Q12959', 'P60484'})"
"frozenset({'TSH', 'P42677', 'P26599'})"
"frozenset({'P04278', 'TSH', 'P68104'})"
"frozenset({'Q3MJ16', 'TSH', 'P08754'})"
"frozenset({'Q5W150', 'TSH', 'Q15654'})"
"frozenset({'P53634', 'Q7Z3E5', 'TSH'})"
"frozenset({'P40337', 'TSH', 'P20618'})"
"frozenset({'P49674', 'TSH', 'Q00987'})"
"frozenset({'TSH', 'Q14511', 'Q8N5H7'})"
"frozenset({'Q92633', 'P36383', 'TSH'})"
"frozenset({'TSH', 'P32242', 'O95992'})"
"frozenset({'TSH', 'Q9NY93', 'O60343'})"
"frozenset({'TSH', 'Q8TDR0', 'Q13114'})"
"frozenset({'Q6PD62', 'TSH', 'O75110'})"
"frozenset({'TSH', 'P35222', 'Q9UKG1'})"
"frozenset({'Q4J6C6', 'TSH', 'Q5T160'})"
"frozenset({'TSH', 'P09651', 'Q02078'})"
"frozenset({'P49736', 'TSH', 'P46781'})"
"frozenset({'TSH', 'Q8WUA2', 'P26367'})"
"frozenset({'TSH', 'O75439', 'Q5HYK3'})"
"frozenset({'Q9UGU5', 'TSH', 'P13805'})"
"frozenset({'TSH', 'P35609', 'P12883'})"
"frozenset({'Q15018', 'TSH', 'O43242'})"
"frozenset({'TSH', 'P15927', 'P18887'})"
"frozenset({'TSH', 'P23467', 'Q02763'})"
"frozenset({'TSH', 'P00519', 'P46013'})"
"frozenset({'TSH', 'Q8TC76', 'Q00536'})"
"frozenset({'Q96G27', 'Q9ULF5', 'TSH'})"
"frozenset({'TSH', 'Q9Y2I6', 'Q9UNY4'})"
"frozenset({'Q9HAV4', 'TSH', 'Q9UL40'})"
"frozenset({'Q13535', 'TSH', 'Q8NEM0'})"
"frozenset({'TSH', 'P46934', 'P49407'})"
"frozenset({'Q9Y5P4', 'TSH', 'Q96HA1'})"
"frozenset({'Q86WJ1', 'TSH', 'Q99459'})"
"frozenset({'TSH', 'Q96G75', 'Q9BYD3'})"
"frozenset({'O75688', 'TSH', 'O14980'})"
"frozenset({'TSH', 'P60604', 'P36551'})"
"frozenset({'Q9P218', 'TSH', 'Q04864'})"
"frozenset({'TSH', 'Q9Y676', 'O60260'})"
"frozenset({'Q8NCR0', 'TSH', 'Q9NRD1'})"
"frozenset({'O75643', 'TSH', 'Q9BY84'})"
"frozenset({'TSH', 'P32245', 'Q9NPH3'})"
"frozenset({'TSH', 'Q6NUN9', 'P49411'})"
"frozenset({'TSH', 'Q05655', 'P15407'})"
"frozenset({'TSH', 'Q9C0G0', 'Q13619'})"
"frozenset({'TSH', 'Q14008', 'Q6ZU80'})"
"frozenset({'TSH', 'P21675', 'Q6P1X5'})"
"frozenset({'P02008', 'P22607', 'TSH'})"
"frozenset({'TSH', 'Q9BXF9', 'Q3LI76'})"
"frozenset({'Q9UHI8', 'TSH', 'Q9UI38'})"
"frozenset({'P22607', 'TSH', 'P09603'})"
"frozenset({'Q9UJW3', 'TSH', 'Q9Y6K1'})"
"frozenset({'Q86VP6', 'TSH', 'Q9NY61'})"
"frozenset({'TSH', 'P0DPB6', 'P62993'})"
"frozenset({'TSH', 'O76011', 'Q96A09'})"
"frozenset({'Q8NHM5', 'TSH', 'Q06587'})"
"frozenset({'P26641', 'TSH', 'P63173'})"
"frozenset({'TSH', 'Q8TBY0', 'O75593'})"
"frozenset({'TSH', 'Q06609', 'Q86XK3'})"
"frozenset({'Q07020', 'P49207', 'TSH'})"
"frozenset({'TSH', 'Q92620', 'Q8WXK4'})"
"frozenset({'Q13547', 'TSH', 'Q04726'})"
"frozenset({'P02647', 'P02652', 'TSH'})"
"frozenset({'P04626', 'TSH', 'Q15904'})"
"frozenset({'TSH', 'Q9H5I1', 'O95447'})"
"frozenset({'Q9BRK5', 'TSH', 'Q6NXE6'})"
"frozenset({'Q9BV73', 'TSH', 'P51398'})"
"frozenset({'TSH', 'Q9BYM8', 'P03372'})"
"frozenset({'TSH', 'P22612', 'Q8NG76'})"
"frozenset({'P26641', 'TSH', 'Q9BYV6'})"
"frozenset({'TSH', 'P16220', 'Q9Y5K6'})"
"frozenset({'TSH', 'P42771', 'P17980'})"
"frozenset({'TSH', 'Q92731', 'P82933'})"
"frozenset({'O15297', 'TSH', 'P46777'})"
"frozenset({'TSH', 'Q9H0D6', 'P04629'})"
"frozenset({'Q12905', 'TSH', 'P46778'})"
"frozenset({'TSH', 'Q06830', 'P60484'})"
"frozenset({'TSH', 'Q9HCM7', 'P19784'})"
"frozenset({'TSH', 'Q96R06', 'P12035'})"
"frozenset({'TSH', 'P01106', 'Q9NYY8'})"
"frozenset({'O43521', 'TSH', 'O95817'})"
"frozenset({'Q14134', 'TSH', 'O15169'})"
"frozenset({'TSH', 'Q9H6R7', 'P62699'})"
"frozenset({'O75489', 'TSH', 'O95299'})"
"frozenset({'Q8TAT6', 'TSH', 'P04629'})"
"frozenset({'Q9BTY2', 'TSH', 'P49639'})"
"frozenset({'Q92831', 'TSH', 'Q16777'})"
"frozenset({'TSH', 'Q16637', 'O96028'})"
"frozenset({'TSH', 'Q9Y4Z0', 'P23284'})"
"frozenset({'P07900', 'Q01518', 'TSH'})"
"frozenset({'TSH', 'Q96C19', 'P49915'})"
"frozenset({'P26640', 'P17706', 'TSH'})"
"frozenset({'P14784', 'TSH', 'P42224'})"
"frozenset({'Q5H9I0', 'TSH', 'P09884'})"
"frozenset({'TSH', 'P31153', 'O14980'})"
"frozenset({'Q9UBU9', 'TSH', 'Q16206'})"
"frozenset({'TSH', 'Q9GZV9', 'P10721'})"
"frozenset({'TSH', 'P86481', 'Q01974'})"
"frozenset({'TSH', 'Q53EL6', 'P62807'})"
"frozenset({'Q99835', 'TSH', 'P06241'})"
"frozenset({'Q99728', 'P06493', 'TSH'})"
"frozenset({'P04792', 'TSH', 'P25963'})"
"frozenset({'P35326', 'TSH', 'P36405'})"
"frozenset({'TSH', 'Q6N021', 'P61981'})"
"frozenset({'Q9BVW5', 'TSH', 'Q9BRX5'})"
"frozenset({'TSH', 'Q96H12', 'Q15717'})"
"frozenset({'TSH', 'Q8IUQ4', 'Q9NU19'})"
"frozenset({'TSH', 'Q9HAU4', 'Q13485'})"
"frozenset({'TSH', 'Q02790', 'Q9UBE0'})"
"frozenset({'Q15369', 'TSH', 'Q13951'})"
"frozenset({'Q7Z7K6', 'TSH', 'P62807'})"
"frozenset({'Q9UNQ2', 'P67809', 'TSH'})"
"frozenset({'TSH', 'Q9BQ89', 'O75031'})"
"frozenset({'TSH', 'O15511', 'Q9NQX4'})"
"frozenset({'P67809', 'TSH', 'P05412'})"
