negatives
"frozenset({'Q9BSI4', 'M', 'P36871'})"
"frozenset({'P26368', 'M', 'P08758'})"
"frozenset({'Q2MV58', 'M', 'Q01130'})"
"frozenset({'Q9BSM1', 'M', 'Q12888'})"
"frozenset({'M', 'O00214', 'P14780'})"
"frozenset({'O60264', 'O43175', 'M'})"
"frozenset({'P68431', 'P62318', 'M'})"
"frozenset({'M', 'Q9BTC0', 'Q99459'})"
"frozenset({'M', 'Q9BZW7', 'Q9HCK0'})"
"frozenset({'Q15262', 'M', 'P04183'})"
"frozenset({'P30279', 'P49918', 'M'})"
"frozenset({'M', 'P02788', 'P0DP23'})"
"frozenset({'P07948', 'M', 'Q9NRA0'})"
"frozenset({'O14757', 'M', 'Q9HB96'})"
"frozenset({'M', 'Q15717', 'O60725'})"
"frozenset({'Q9BQ65', 'M', 'Q56P03'})"
"frozenset({'P17252', 'M', 'P12931'})"
"frozenset({'M', 'P61247', 'Q00839'})"
"frozenset({'P04629', 'M', 'Q15397'})"
"frozenset({'M', 'Q8IUH5', 'P50995'})"
"frozenset({'M', 'Q9UPT5', 'Q15834'})"
"frozenset({'Q13309', 'M', 'O00233'})"
"frozenset({'P01889', 'M', 'O75694'})"
"frozenset({'P55899', 'M', 'P08246'})"
"frozenset({'P35916', 'M', 'P08620'})"
"frozenset({'Q8IVD9', 'M', 'Q70CQ1'})"
"frozenset({'M', 'Q5TCZ1', 'Q8WUI4'})"
"frozenset({'M', 'O14641', 'O95166'})"
"frozenset({'Q9Y2W1', 'M', 'Q15393'})"
"frozenset({'Q99759', 'M', 'P62249'})"
"frozenset({'M', 'O43597', 'Q9BUB5'})"
"frozenset({'Q13523', 'A0JLT2', 'M'})"
"frozenset({'M', 'P61964', 'Q9H7D7'})"
"frozenset({'Q9BXL5', 'P23497', 'M'})"
"frozenset({'M', 'Q15165', 'Q9H4F8'})"
"frozenset({'M', 'Q9BW62', 'P68363'})"
"frozenset({'M', 'P01106', 'O14802'})"
"frozenset({'Q9NPF5', 'M', 'P12004'})"
"frozenset({'M', 'Q86WV1', 'P0DPB6'})"
"frozenset({'P50053', 'M', 'Q15287'})"
"frozenset({'M', 'Q99618', 'P23511'})"
"frozenset({'P49407', 'M', 'P58173'})"
"frozenset({'Q09666', 'M', 'P47755'})"
"frozenset({'P29597', 'M', 'P40238'})"
"frozenset({'M', 'Q9Y314', 'Q9P2P5'})"
"frozenset({'Q9BQ66', 'M', 'Q96H86'})"
"frozenset({'P35527', 'M', 'Q99963'})"
"frozenset({'M', 'Q13263', 'Q01105'})"
"frozenset({'P38432', 'M', 'Q6NT76'})"
"frozenset({'Q99757', 'M', 'O75934'})"
"frozenset({'M', 'O00214', 'Q9Y6X5'})"
"frozenset({'P27348', 'M', 'P26045'})"
"frozenset({'M', 'P32119', 'P22061'})"
"frozenset({'P62241', 'M', 'P62993'})"
"frozenset({'O15111', 'M', 'Q8NAA4'})"
"frozenset({'M', 'Q6IAA8', 'Q9NQL2'})"
"frozenset({'Q8IWV7', 'P58753', 'M'})"
"frozenset({'Q6NZ67', 'M', 'Q96CW5'})"
"frozenset({'P23443', 'M', 'Q15717'})"
"frozenset({'Q99496', 'M', 'Q9NYH9'})"
"frozenset({'M', 'P55199', 'Q9UHB7'})"
"frozenset({'O43929', 'M', 'Q9NRD1'})"
"frozenset({'Q9BWF3', 'M', 'P52597'})"
"frozenset({'Q9H063', 'M', 'P20226'})"
"frozenset({'M', 'P01911', 'Q96KN2'})"
"frozenset({'M', 'Q6UWY0', 'Q16635'})"
"frozenset({'P25705', 'M', 'Q9NZJ7'})"
"frozenset({'P48552', 'M', 'P28702'})"
"frozenset({'M', 'P13612', 'P48729'})"
"frozenset({'M', 'O75417', 'Q06609'})"
"frozenset({'M', 'Q5M9N0', 'Q96ES7'})"
"frozenset({'Q02539', 'M', 'Q6ZN55'})"
"frozenset({'M', 'Q9UHD9', 'P30040'})"
"frozenset({'M', 'O43819', 'Q13418'})"
"frozenset({'Q9UGI9', 'O95822', 'M'})"
"frozenset({'P07900', 'M', 'Q9UJX6'})"
"frozenset({'M', 'P22830', 'Q9C002'})"
"frozenset({'M', 'Q9Y3L3', 'P00519'})"
"frozenset({'M', 'P62906', 'P46782'})"
"frozenset({'M', 'P68400', 'Q15257'})"
"frozenset({'M', 'Q86YZ3', 'Q13617'})"
"frozenset({'M', 'Q53TS8', 'P54257'})"
"frozenset({'Q504Q3', 'M', 'O15372'})"
"frozenset({'P27694', 'M', 'Q99459'})"
"frozenset({'Q02045', 'M', 'P35580'})"
"frozenset({'Q00577', 'M', 'P19525'})"
"frozenset({'P59768', 'M', 'P42336'})"
"frozenset({'M', 'O75643', 'Q7LBR1'})"
"frozenset({'M', 'P22061', 'Q8N9M5'})"
"frozenset({'M', 'P68400', 'Q15545'})"
"frozenset({'M', 'P0DMV8', 'O95166'})"
"frozenset({'M', 'Q14D33', 'Q8NA61'})"
"frozenset({'P63208', 'M', 'O60907'})"
"frozenset({'M', 'P20042', 'Q13144'})"
"frozenset({'M', 'Q9H4X1', 'P84022'})"
"frozenset({'M', 'P08238', 'Q29974'})"
"frozenset({'M', 'Q86VM9', 'P78362'})"
"frozenset({'Q9UBB9', 'M', 'Q9BSD3'})"
"frozenset({'M', 'Q7Z417', 'P46108'})"
"frozenset({'M', 'Q13568', 'Q9BT78'})"
"frozenset({'P63165', 'M', 'Q92610'})"
"frozenset({'M', 'Q13131', 'O00231'})"
"frozenset({'M', 'P19838', 'P01562'})"
"frozenset({'O75379', 'M', 'Q9BXK5'})"
"frozenset({'Q15633', 'M', 'Q96SI9'})"
"frozenset({'M', 'P17947', 'P02775'})"
"frozenset({'P62244', 'M', 'O95166'})"
"frozenset({'P62136', 'M', 'A6NK89'})"
"frozenset({'M', 'Q13616', 'P84022'})"
"frozenset({'M', 'Q9H334', 'Q38SD2'})"
"frozenset({'M', 'Q13084', 'Q15070'})"
"frozenset({'M', 'Q14160', 'Q05086'})"
"frozenset({'M', 'P29353', 'A7KAX9'})"
"frozenset({'M', 'Q99962', 'P35462'})"
"frozenset({'M', 'Q92508', 'P51148'})"
"frozenset({'M', 'Q15717', 'Q01453'})"
"frozenset({'M', 'Q92630', 'P04637'})"
"frozenset({'Q04323', 'M', 'Q9UBS4'})"
"frozenset({'P25490', 'M', 'Q01201'})"
"frozenset({'O75746', 'M', 'P09466'})"
"frozenset({'M', 'O00308', 'P19388'})"
"frozenset({'M', 'P46109', 'Q9UBU9'})"
"frozenset({'M', 'Q13310', 'Q9H4A4'})"
"frozenset({'Q13610', 'Q9BW61', 'M'})"
"frozenset({'M', 'P29353', 'P20273'})"
"frozenset({'P00558', 'M', 'P06737'})"
"frozenset({'M', 'Q8NE71', 'Q00688'})"
"frozenset({'Q16720', 'M', 'Q96J42'})"
"frozenset({'P63104', 'Q8NDZ2', 'M'})"
"frozenset({'Q15020', 'M', 'Q13620'})"
"frozenset({'M', 'Q9NS00', 'Q96EU7'})"
"frozenset({'M', 'Q9C0H5', 'P61018'})"
"frozenset({'M', 'Q8WVE6', 'Q8NHP6'})"
"frozenset({'M', 'Q13153', 'Q9BWU1'})"
"frozenset({'P00533', 'M', 'Q16543'})"
"frozenset({'M', 'Q7Z3K3', 'Q15038'})"
"frozenset({'M', 'P35227', 'O75461'})"
"frozenset({'M', 'Q15466', 'Q9Y6Q9'})"
"frozenset({'P62308', 'M', 'Q969L4'})"
"frozenset({'P07550', 'M', 'P04899'})"
"frozenset({'M', 'P0DMV9', 'Q12905'})"
"frozenset({'M', 'Q13418', 'O43143'})"
"frozenset({'Q9BVJ6', 'M', 'P68400'})"
"frozenset({'M', 'Q15717', 'Q9H6Z4'})"
"frozenset({'M', 'P0DMV8', 'Q86WN1'})"
"frozenset({'Q92905', 'M', 'Q9UK96'})"
"frozenset({'O95644', 'M', 'P04637'})"
"frozenset({'M', 'Q15154', 'Q96SN8'})"
"frozenset({'M', 'Q9UHX1', 'Q13310'})"
"frozenset({'M', 'Q00325', 'Q8N5N7'})"
"frozenset({'M', 'P04049', 'P62837'})"
"frozenset({'Q96C36', 'M', 'P12757'})"
"frozenset({'M', 'P68400', 'Q13435'})"
"frozenset({'M', 'Q9UL42', 'Q14D33'})"
"frozenset({'M', 'Q9NZC7', 'Q9HAH7'})"
"frozenset({'Q9NY33', 'M', 'O95379'})"
"frozenset({'M', 'P05067', 'Q96A08'})"
"frozenset({'M', 'O95239', 'Q9UBU9'})"
"frozenset({'M', 'Q9NTX7', 'P49916'})"
"frozenset({'P49336', 'M', 'P18146'})"
"frozenset({'M', 'Q02880', 'P49792'})"
"frozenset({'M', 'P12830', 'Q05682'})"
"frozenset({'P60228', 'M', 'P07498'})"
"frozenset({'M', 'P62491', 'Q01968'})"
"frozenset({'Q96GS6', 'M', 'Q8WW35'})"
"frozenset({'Q9BVQ7', 'Q86YD3', 'M'})"
"frozenset({'Q5T1V6', 'M', 'Q9UBU9'})"
"frozenset({'M', 'Q92574', 'P07196'})"
"frozenset({'Q9C0C7', 'M', 'O60260'})"
"frozenset({'P28482', 'Q9H6Z9', 'M'})"
"frozenset({'M', 'Q13162', 'Q9UNY4'})"
"frozenset({'M', 'Q8N490', 'Q9H4A6'})"
"frozenset({'M', 'Q99880', 'O15047'})"
"frozenset({'M', 'Q8IWL3', 'Q86UT6'})"
"frozenset({'M', 'O75528', 'Q92831'})"
"frozenset({'P51812', 'M', 'Q16543'})"
"frozenset({'M', 'Q96J02', 'P12004'})"
"frozenset({'M', 'P49848', 'P05067'})"
"frozenset({'Q9ULZ3', 'M', 'P29590'})"
"frozenset({'M', 'Q9NU53', 'O94923'})"
"frozenset({'M', 'P49406', 'Q9HD33'})"
"frozenset({'Q13618', 'M', 'Q92785'})"
"frozenset({'M', 'Q8TDY2', 'P15927'})"
"frozenset({'Q16816', 'M', 'P06737'})"
"frozenset({'M', 'O15265', 'O00339'})"
"frozenset({'P38398', 'M', 'O95456'})"
"frozenset({'M', 'Q8IZL9', 'P62333'})"
"frozenset({'M', 'P36578', 'P61956'})"
"frozenset({'M', 'P0C7T3', 'P22612'})"
"frozenset({'M', 'Q9UBU3', 'P30542'})"
"frozenset({'P55854', 'M', 'Q8IY92'})"
"frozenset({'P62277', 'Q13617', 'M'})"
"frozenset({'M', 'P41235', 'P32780'})"
"frozenset({'Q9UK45', 'M', 'Q9Y4Y9'})"
"frozenset({'M', 'Q96NT0', 'Q00610'})"
"frozenset({'M', 'Q8WZA1', 'P10321'})"
"frozenset({'M', 'P79483', 'P05026'})"
"frozenset({'P27694', 'M', 'P09874'})"
"frozenset({'Q9H8W4', 'O95751', 'M'})"
"frozenset({'M', 'P05556', 'P46108'})"
"frozenset({'M', 'Q16659', 'P28288'})"
"frozenset({'M', 'Q02878', 'P19338'})"
"frozenset({'M', 'Q86WV1', 'P51692'})"
"frozenset({'M', 'P08047', 'Q05066'})"
"frozenset({'P50613', 'M', 'Q58FG1'})"
"frozenset({'M', 'P35908', 'Q9H0R8'})"
"frozenset({'P54725', 'Q9Y4K3', 'M'})"
"frozenset({'M', 'Q86X19', 'P53365'})"
"frozenset({'M', 'Q99075', 'P08253'})"
"frozenset({'M', 'Q9H0U4', 'Q6P1J9'})"
"frozenset({'M', 'Q96NZ8', 'P67870'})"
"frozenset({'M', 'Q86U38', 'Q8WYA1'})"
"frozenset({'M', 'P01023', 'Q92956'})"
"frozenset({'Q13185', 'M', 'Q6S8J3'})"
"frozenset({'M', 'Q86WV1', 'Q13613'})"
"frozenset({'O60832', 'M', 'Q9GZR7'})"
"frozenset({'P0DI81', 'M', 'Q15717'})"
"frozenset({'Q9NX01', 'M', 'O14980'})"
"frozenset({'O94916', 'M', 'P05412'})"
"frozenset({'Q8TBE0', 'M', 'Q9BYV9'})"
"frozenset({'M', 'P06753', 'P68032'})"
"frozenset({'M', 'Q16540', 'P61247'})"
"frozenset({'M', 'Q9BVK6', 'Q9Y265'})"
"frozenset({'M', 'P13010', 'O60678'})"
"frozenset({'M', 'O95363', 'Q13137'})"
"frozenset({'Q16719', 'P35754', 'M'})"
"frozenset({'M', 'P07686', 'P62993'})"
"frozenset({'M', 'P36578', 'Q99558'})"
"frozenset({'M', 'P01106', 'P61077'})"
"frozenset({'M', 'Q9Y333', 'Q9H9D4'})"
"frozenset({'O75364', 'M', 'P02743'})"
"frozenset({'M', 'Q9P2W3', 'O95006'})"
"frozenset({'M', 'Q02750', 'P27797'})"
"frozenset({'P35638', 'M', 'Q9Y2J4'})"
"frozenset({'M', 'P24941', 'P18146'})"
"frozenset({'Q14103', 'M', 'Q13618'})"
"frozenset({'M', 'P31323', 'O15027'})"
"frozenset({'Q14032', 'Q96QB1', 'M'})"
"frozenset({'Q504Q3', 'M', 'P67809'})"
"frozenset({'M', 'Q14152', 'P05386'})"
"frozenset({'P07900', 'M', 'P14672'})"
"frozenset({'Q14469', 'P49918', 'M'})"
"frozenset({'M', 'Q96CB8', 'P39880'})"
"frozenset({'Q13315', 'M', 'Q9UQ84'})"
"frozenset({'P40692', 'M', 'P20585'})"
"frozenset({'M', 'Q99550', 'P51784'})"
"frozenset({'M', 'Q96D09', 'Q9HC52'})"
"frozenset({'M', 'P11021', 'Q9UKG9'})"
"frozenset({'P35916', 'M', 'P01127'})"
"frozenset({'M', 'P10746', 'O75530'})"
"frozenset({'M', 'P49720', 'O00232'})"
"frozenset({'Q9BV73', 'M', 'Q12979'})"
"frozenset({'M', 'Q96LM6', 'Q53SZ7'})"
"frozenset({'M', 'Q96M86', 'Q9UBU9'})"
"frozenset({'Q05513', 'M', 'O95999'})"
"frozenset({'M', 'Q9BYV2', 'Q9H741'})"
"frozenset({'P51858', 'M', 'Q9UBU9'})"
"frozenset({'M', 'P62987', 'Q9BYX4'})"
"frozenset({'Q6ZW49', 'P31689', 'M'})"
"frozenset({'M', 'O60502', 'Q9H078'})"
"frozenset({'Q5SZK8', 'P05549', 'M'})"
"frozenset({'M', 'P24043', 'P17301'})"
"frozenset({'Q13671', 'M', 'Q7Z6G8'})"
"frozenset({'M', 'P00441', 'P50238'})"
"frozenset({'Q9GZQ8', 'M', 'Q15059'})"
"frozenset({'P60410', 'M', 'Q9BYR7'})"
"frozenset({'M', 'Q9H334', 'Q9NZI7'})"
"frozenset({'M', 'Q8WWY3', 'Q96AA8'})"
"frozenset({'Q99496', 'M', 'Q9Y3A4'})"
"frozenset({'M', 'P53708', 'Q01955'})"
"frozenset({'M', 'Q86Y13', 'Q9BZK7'})"
"frozenset({'Q16719', 'M', 'P13804'})"
"frozenset({'P26368', 'M', 'Q01130'})"
"frozenset({'Q9BUN8', 'M', 'Q96CS3'})"
"frozenset({'M', 'Q13451', 'Q9BXA6'})"
"frozenset({'M', 'Q13618', 'Q9UL18'})"
"frozenset({'M', 'P43250', 'P25025'})"
"frozenset({'P40926', 'M', 'P07954'})"
"frozenset({'M', 'Q9BTL3', 'Q5SWW7'})"
"frozenset({'M', 'Q13616', 'Q9NQR1'})"
"frozenset({'M', 'Q9NSI6', 'Q8N4V1'})"
"frozenset({'M', 'P84022', 'Q9Y6N5'})"
"frozenset({'M', 'Q9H8S9', 'P60953'})"
"frozenset({'M', 'Q8N6F7', 'Q9BXS5'})"
"frozenset({'P45880', 'M', 'P05023'})"
"frozenset({'M', 'O14746', 'Q96KB5'})"
"frozenset({'M', 'Q9P2P5', 'O43148'})"
"frozenset({'P62891', 'M', 'P84098'})"
"frozenset({'M', 'Q9UHD1', 'Q00535'})"
"frozenset({'M', 'Q15311', 'Q9NYZ3'})"
"frozenset({'M', 'Q06609', 'Q6P1J9'})"
"frozenset({'P12931', 'Q9BXN2', 'M'})"
"frozenset({'P31689', 'M', 'O95757'})"
"frozenset({'M', 'Q13444', 'P16333'})"
"frozenset({'P61769', 'M', 'P15813'})"
"frozenset({'M', 'P14866', 'Q86VP6'})"
"frozenset({'M', 'Q9BV40', 'Q5SQN1'})"
"frozenset({'M', 'P22061', 'P29401'})"
"frozenset({'Q9Y5P8', 'M', 'P62955'})"
"frozenset({'M', 'Q14118', 'A4D0S4'})"
"frozenset({'M', 'P38398', 'P51965'})"
"frozenset({'Q07812', 'M', 'P18146'})"
"frozenset({'M', 'Q8NE31', 'Q8IXK0'})"
"frozenset({'M', 'O15553', 'Q96P20'})"
"frozenset({'M', 'Q9UHQ1', 'O95758'})"
"frozenset({'P10586', 'M', 'Q92890'})"
"frozenset({'M', 'Q9NYB9', 'Q9H9J2'})"
"frozenset({'M', 'O43865', 'P50225'})"
"frozenset({'P22531', 'M', 'O75461'})"
"frozenset({'P17252', 'M', 'Q02978'})"
"frozenset({'Q96QS6', 'Q13451', 'M'})"
"frozenset({'Q13315', 'M', 'P11940'})"
"frozenset({'Q9Y6K9', 'M', 'O00571'})"
"frozenset({'Q32MZ4', 'M', 'P01375'})"
"frozenset({'P07437', 'M', 'Q6R327'})"
"frozenset({'Q05516', 'M', 'Q8WY64'})"
"frozenset({'M', 'Q6NZ36', 'Q15717'})"
"frozenset({'P11940', 'M', 'Q8NDV7'})"
"frozenset({'P60981', 'Q9P2E9', 'M'})"
"frozenset({'M', 'P78424', 'Q6P2D0'})"
"frozenset({'Q9Y5P8', 'M', 'P32121'})"
"frozenset({'M', 'P17707', 'P51888'})"
"frozenset({'Q9UK73', 'P61201', 'M'})"
"frozenset({'Q15485', 'M', 'Q07954'})"
"frozenset({'M', 'Q96JJ7', 'Q13643'})"
"frozenset({'M', 'Q9UKL0', 'Q96JG6'})"
"frozenset({'M', 'O00541', 'O00139'})"
"frozenset({'P62136', 'M', 'Q92843'})"
"frozenset({'M', 'P07947', 'Q8IVT5'})"
"frozenset({'M', 'O00214', 'Q08722'})"
"frozenset({'M', 'Q08830', 'Q13522'})"
"frozenset({'M', 'P09038', 'P07333'})"
"frozenset({'M', 'Q12834', 'Q6ZU80'})"
"frozenset({'M', 'Q9P0K8', 'Q03112'})"
"frozenset({'P00533', 'M', 'Q02156'})"
"frozenset({'P35268', 'P62244', 'M'})"
"frozenset({'M', 'O75554', 'O43172'})"
"frozenset({'M', 'Q15717', 'Q92796'})"
"frozenset({'P07900', 'M', 'Q8WZ60'})"
"frozenset({'Q15819', 'M', 'O14810'})"
"frozenset({'Q9BWP8', 'M', 'O94952'})"
"frozenset({'M', 'P04629', 'Q15021'})"
"frozenset({'M', 'P08047', 'Q9BXP5'})"
"frozenset({'M', 'Q9H9Q2', 'Q9UNS2'})"
"frozenset({'Q96Q45', 'M', 'P01876'})"
"frozenset({'Q96GE6', 'M', 'P48454'})"
"frozenset({'M', 'P46379', 'A5YKK6'})"
"frozenset({'M', 'P01861', 'P02787'})"
"frozenset({'P28482', 'M', 'Q9Y5K8'})"
"frozenset({'M', 'O00257', 'P46937'})"
"frozenset({'P07814', 'P27708', 'M'})"
"frozenset({'M', 'Q9BVG8', 'O43379'})"
"frozenset({'M', 'O95139', 'Q9NX14'})"
"frozenset({'M', 'O75385', 'P54619'})"
"frozenset({'Q9H582', 'M', 'Q96KQ7'})"
"frozenset({'M', 'O15379', 'Q86Y13'})"
"frozenset({'Q9H6L4', 'M', 'Q86UW9'})"
"frozenset({'M', 'O95793', 'P38646'})"
"frozenset({'P54709', 'M', 'P36543'})"
"frozenset({'Q96LR5', 'M', 'Q16236'})"
"frozenset({'M', 'Q8WXI9', 'Q9BTC8'})"
"frozenset({'M', 'P83731', 'Q8TDR0'})"
"frozenset({'M', 'P05067', 'Q8WUD1'})"
"frozenset({'Q8IXH7', 'M', 'P10398'})"
"frozenset({'Q14999', 'P26368', 'M'})"
"frozenset({'Q13043', 'M', 'Q13748'})"
"frozenset({'P11802', 'Q13451', 'M'})"
"frozenset({'M', 'Q9GZZ9', 'P13674'})"
"frozenset({'M', 'Q9H813', 'P10321'})"
"frozenset({'M', 'O43610', 'Q5T7P2'})"
"frozenset({'Q6FI13', 'M', 'Q9UQL6'})"
"frozenset({'P63104', 'M', 'O95793'})"
"frozenset({'M', 'P24844', 'Q13131'})"
"frozenset({'M', 'P00734', 'O00254'})"
"frozenset({'P04629', 'M', 'O60701'})"
"frozenset({'M', 'Q69YU3', 'Q9UHB6'})"
"frozenset({'Q5JZY3', 'M', 'P16220'})"
"frozenset({'P22059', 'M', 'Q15436'})"
"frozenset({'P62241', 'M', 'O15344'})"
"frozenset({'M', 'Q12778', 'Q9UNE7'})"
"frozenset({'P33981', 'M', 'Q8N4C6'})"
"frozenset({'M', 'Q5S007', 'Q9Y6A4'})"
"frozenset({'P26012', 'M', 'Q9Y490'})"
"frozenset({'M', 'Q8WW35', 'P13984'})"
"frozenset({'M', 'P78371', 'Q8IWZ6'})"
"frozenset({'P05412', 'M', 'O75925'})"
"frozenset({'M', 'Q96DT6', 'Q8TBN0'})"
"frozenset({'M', 'Q8TCE9', 'Q9UFD9'})"
"frozenset({'M', 'P53365', 'Q9Y5X3'})"
"frozenset({'M', 'P62937', 'Q5TC82'})"
"frozenset({'M', 'Q96C57', 'P54274'})"
"frozenset({'M', 'Q9NPG1', 'P09471'})"
"frozenset({'O94776', 'Q16576', 'M'})"
"frozenset({'M', 'A6NLX3', 'Q00526'})"
"frozenset({'P62136', 'M', 'Q13976'})"
"frozenset({'P20827', 'P12956', 'M'})"
"frozenset({'P05387', 'M', 'Q00653'})"
"frozenset({'M', 'Q8IUQ4', 'Q7Z3E5'})"
"frozenset({'M', 'Q96AT9', 'Q16831'})"
"frozenset({'Q99623', 'M', 'P31930'})"
"frozenset({'P55209', 'M', 'P62701'})"
"frozenset({'M', 'Q71U36', 'Q86X10'})"
"frozenset({'M', 'P81408', 'O60637'})"
"frozenset({'P62873', 'M', 'A6NDH6'})"
"frozenset({'M', 'P11021', 'O14920'})"
"frozenset({'M', 'P36578', 'P62701'})"
"frozenset({'M', 'P30085', 'Q8IVT5'})"
"frozenset({'O75486', 'M', 'Q9HBM6'})"
"frozenset({'M', 'P68400', 'A6NK89'})"
"frozenset({'M', 'Q9Y2A0', 'P04637'})"
"frozenset({'M', 'Q8N2W9', 'P41235'})"
"frozenset({'M', 'P60520', 'Q8TC07'})"
"frozenset({'M', 'P36941', 'Q86XZ4'})"
"frozenset({'M', 'Q9UI95', 'Q13291'})"
"frozenset({'P09661', 'M', 'P49720'})"
"frozenset({'M', 'P19429', 'Q66LE6'})"
"frozenset({'M', 'Q8NET5', 'P43403'})"
"frozenset({'P48634', 'M', 'P55345'})"
"frozenset({'Q13330', 'M', 'P51948'})"
"frozenset({'O43809', 'M', 'P35244'})"
"frozenset({'M', 'W5XKT8', 'Q8N9N5'})"
"frozenset({'Q96JH8', 'M', 'Q9NRG4'})"
"frozenset({'Q9NQX4', 'M', 'Q13813'})"
"frozenset({'M', 'Q7RTY3', 'Q9NR09'})"
"frozenset({'M', 'O00308', 'Q16778'})"
"frozenset({'M', 'P49790', 'Q9BTL4'})"
"frozenset({'Q01974', 'M', 'O14503'})"
"frozenset({'Q9BQ66', 'P62857', 'M'})"
"frozenset({'Q9UBF9', 'Q9NRC1', 'M'})"
"frozenset({'M', 'O43752', 'Q9P0N5'})"
"frozenset({'M', 'Q96B26', 'Q9Y3B2'})"
"frozenset({'M', 'Q9BZL1', 'P55081'})"
"frozenset({'Q13330', 'M', 'Q99961'})"
"frozenset({'Q9UKX3', 'Q9BWF3', 'M'})"
"frozenset({'Q9UBS0', 'M', 'P12004'})"
"frozenset({'M', 'O14732', 'Q13310'})"
"frozenset({'P32238', 'M', 'P29992'})"
"frozenset({'O00429', 'M', 'P24046'})"
"frozenset({'M', 'Q9NWQ9', 'Q96D03'})"
"frozenset({'Q99623', 'M', 'P52294'})"
"frozenset({'P09619', 'M', 'Q05397'})"
"frozenset({'P04629', 'M', 'P35613'})"
"frozenset({'Q4G0N4', 'M', 'Q9UBS4'})"
"frozenset({'P01889', 'M', 'O75390'})"
"frozenset({'P27348', 'M', 'P53355'})"
"frozenset({'Q8WXJ9', 'M', 'P68363'})"
"frozenset({'M', 'P85037', 'O14641'})"
"frozenset({'M', 'P25942', 'O95817'})"
"frozenset({'M', 'Q03989', 'Q9Y586'})"
"frozenset({'Q15382', 'M', 'O43889'})"
"frozenset({'M', 'Q96MH2', 'O43865'})"
"frozenset({'Q92905', 'M', 'P83731'})"
"frozenset({'M', 'Q15436', 'P23588'})"
"frozenset({'M', 'P55201', 'Q8WYB5'})"
"frozenset({'M', 'P09651', 'Q9HCE1'})"
"frozenset({'M', 'Q86Y13', 'Q6ZT12'})"
"frozenset({'P55854', 'M', 'O75925'})"
"frozenset({'Q13535', 'M', 'Q5VZL5'})"
"frozenset({'P49736', 'M', 'P55084'})"
"frozenset({'Q8NEC5', 'M', 'P14373'})"
"frozenset({'P30084', 'M', 'P16035'})"
"frozenset({'Q96JB3', 'M', 'P05412'})"
"frozenset({'M', 'P36543', 'Q9H444'})"
"frozenset({'M', 'P31942', 'Q96GG9'})"
"frozenset({'M', 'Q6IQ23', 'O15047'})"
"frozenset({'Q6WCQ1', 'M', 'Q07889'})"
"frozenset({'M', 'Q5T7W0', 'Q14C86'})"
"frozenset({'M', 'Q9Y3E0', 'Q9C0E8'})"
"frozenset({'P53680', 'M', 'P62316'})"
"frozenset({'O43809', 'M', 'Q9NV58'})"
"frozenset({'P04629', 'M', 'O43815'})"
"frozenset({'M', 'O95760', 'Q9NPH3'})"
"frozenset({'M', 'Q9P2A4', 'Q08043'})"
"frozenset({'M', 'Q96S53', 'Q8NEY1'})"
"frozenset({'M', 'P41225', 'O43186'})"
"frozenset({'M', 'P31947', 'Q8TEW0'})"
"frozenset({'M', 'P61353', 'P62249'})"
"frozenset({'M', 'P06340', 'P13765'})"
"frozenset({'M', 'Q8N668', 'Q15369'})"
"frozenset({'P04629', 'M', 'O00299'})"
"frozenset({'Q504Q3', 'M', 'Q13247'})"
"frozenset({'P13073', 'M', 'P17568'})"
"frozenset({'Q14677', 'M', 'Q99615'})"
"frozenset({'Q8IY18', 'M', 'Q96LX8'})"
"frozenset({'Q99622', 'M', 'Q8IXS6'})"
"frozenset({'O75592', 'M', 'Q9NPJ6'})"
"frozenset({'Q16795', 'M', 'Q15057'})"
"frozenset({'M', 'P80188', 'Q6ISS4'})"
"frozenset({'M', 'O75787', 'Q9Y2Q5'})"
"frozenset({'M', 'Q9Y328', 'O43678'})"
"frozenset({'M', 'Q9HCS7', 'Q13573'})"
"frozenset({'M', 'Q5T7P8', 'Q13049'})"
"frozenset({'P62312', 'M', 'Q9BRA0'})"
"frozenset({'P62873', 'M', 'Q15375'})"
"frozenset({'Q14831', 'M', 'P63218'})"
"frozenset({'P40238', 'M', 'P23458'})"
"frozenset({'P62158', 'M', 'O14830'})"
"frozenset({'P63000', 'M', 'Q9NZQ3'})"
"frozenset({'M', 'P61077', 'Q9NVW2'})"
"frozenset({'M', 'P21333', 'O14920'})"
"frozenset({'P35637', 'M', 'Q01081'})"
"frozenset({'M', 'Q13057', 'Q13630'})"
"frozenset({'M', 'P67812', 'Q5HYA8'})"
"frozenset({'M', 'Q14697', 'P12956'})"
"frozenset({'Q13554', 'Q96GE6', 'M'})"
"frozenset({'M', 'Q92530', 'P43364'})"
"frozenset({'M', 'P02655', 'P06858'})"
"frozenset({'P27694', 'M', 'Q9BSJ8'})"
"frozenset({'O15084', 'M', 'O95071'})"
"frozenset({'M', 'Q15910', 'O75582'})"
"frozenset({'M', 'Q5S007', 'Q96CW1'})"
"frozenset({'M', 'P25090', 'P0CJ68'})"
"frozenset({'Q07960', 'M', 'Q15369'})"
"frozenset({'M', 'Q16620', 'P05019'})"
"frozenset({'P49286', 'P78527', 'M'})"
"frozenset({'M', 'Q92793', 'Q16763'})"
"frozenset({'M', 'P49736', 'Q01844'})"
"frozenset({'M', 'P06241', 'P42166'})"
"frozenset({'M', 'A8MQ03', 'Q9Y342'})"
