negatives
"frozenset({'O43747', 'BCR', 'Q96S82'})"
"frozenset({'P08238', 'P05093', 'BCR'})"
"frozenset({'O15305', 'P05141', 'BCR'})"
"frozenset({'P28482', 'BCR', 'O00213'})"
"frozenset({'O14639', 'BCR', 'Q8WZ42'})"
"frozenset({'O95274', 'BCR', 'Q9UQ16'})"
"frozenset({'Q02153', 'BCR', 'Q9UNE7'})"
"frozenset({'Q9NUP1', 'Q13155', 'BCR'})"
"frozenset({'Q07157', 'P04264', 'BCR'})"
"frozenset({'P06748', 'BCR', 'Q96GQ7'})"
"frozenset({'Q9BQE3', 'O95503', 'BCR'})"
"frozenset({'Q9Y478', 'BCR', 'O75800'})"
"frozenset({'O94906', 'P09012', 'BCR'})"
"frozenset({'BCR', 'P11049', 'P07948'})"
"frozenset({'Q9BWF3', 'P52597', 'BCR'})"
"frozenset({'Q9Y215', 'Q96EQ0', 'BCR'})"
"frozenset({'Q13315', 'Q8WXF1', 'BCR'})"
"frozenset({'P60410', 'Q3KQV3', 'BCR'})"
"frozenset({'BCR', 'Q9Y4D1', 'O00212'})"
"frozenset({'Q9Y2J2', 'BCR', 'O43143'})"
"frozenset({'Q03135', 'BCR', 'P18564'})"
"frozenset({'Q8NCP5', 'Q13315', 'BCR'})"
"frozenset({'P23458', 'P78552', 'BCR'})"
"frozenset({'Q92734', 'Q9H492', 'BCR'})"
"frozenset({'P16473', 'BCR', 'Q9BY32'})"
"frozenset({'Q8NFW5', 'BCR', 'Q00526'})"
"frozenset({'O60826', 'BCR', 'P54578'})"
"frozenset({'Q8N680', 'Q13315', 'BCR'})"
"frozenset({'P10275', 'P40763', 'BCR'})"
"frozenset({'P18621', 'BCR', 'Q07020'})"
"frozenset({'P61981', 'BCR', 'Q9Y6A4'})"
"frozenset({'P13693', 'P68104', 'BCR'})"
"frozenset({'BCR', 'P33076', 'P16220'})"
"frozenset({'Q2NL68', 'Q6ZU80', 'BCR'})"
"frozenset({'P27635', 'BCR', 'Q9UI10'})"
"frozenset({'Q13797', 'BCR', 'O15335'})"
"frozenset({'P60568', 'BCR', 'P24394'})"
"frozenset({'Q5VT52', 'BCR', 'P62136'})"
"frozenset({'Q14103', 'P30048', 'BCR'})"
"frozenset({'Q6P1N0', 'Q8TES7', 'BCR'})"
"frozenset({'P08559', 'BCR', 'P51149'})"
"frozenset({'Q8WUE5', 'BCR', 'Q9H9A5'})"
"frozenset({'P10809', 'Q9Y375', 'BCR'})"
"frozenset({'Q13332', 'BCR', 'P23468'})"
"frozenset({'P09429', 'BCR', 'Q15554'})"
"frozenset({'Q8WV44', 'Q8TF50', 'BCR'})"
"frozenset({'Q96AZ1', 'BCR', 'P61758'})"
"frozenset({'BCR', 'P18075', 'P60328'})"
"frozenset({'Q14164', 'P31939', 'BCR'})"
"frozenset({'O00255', 'BCR', 'Q92769'})"
"frozenset({'Q7RTV0', 'BCR', 'P49736'})"
"frozenset({'Q13309', 'BCR', 'Q9NS23'})"
"frozenset({'P09919', 'Q9UHF4', 'BCR'})"
"frozenset({'Q13114', 'P61962', 'BCR'})"
"frozenset({'Q9H0W5', 'BCR', 'P50542'})"
"frozenset({'Q6NZY4', 'P37840', 'BCR'})"
"frozenset({'Q9Y265', 'P30480', 'BCR'})"
"frozenset({'P00533', 'Q15389', 'BCR'})"
"frozenset({'P58012', 'BCR', 'O60231'})"
"frozenset({'Q9HCE1', 'Q9BZV1', 'BCR'})"
"frozenset({'P06239', 'BCR', 'P20749'})"
"frozenset({'Q9NX63', 'Q504Q3', 'BCR'})"
"frozenset({'Q92905', 'O43684', 'BCR'})"
"frozenset({'Q9H1Y0', 'P17655', 'BCR'})"
"frozenset({'O95831', 'BCR', 'P62937'})"
"frozenset({'Q9UN30', 'Q9HC52', 'BCR'})"
"frozenset({'P22694', 'Q96R08', 'BCR'})"
"frozenset({'P00533', 'P09769', 'BCR'})"
"frozenset({'P61254', 'BCR', 'P13612'})"
"frozenset({'Q96GX1', 'A6NGC4', 'BCR'})"
"frozenset({'P15311', 'P11229', 'BCR'})"
"frozenset({'Q8WUW1', 'Q9Y6N7', 'BCR'})"
"frozenset({'BCR', 'P63151', 'Q9NYV6'})"
"frozenset({'Q93097', 'O75581', 'BCR'})"
"frozenset({'P02545', 'BCR', 'Q9NW82'})"
"frozenset({'BCR', 'Q08170', 'P48431'})"
"frozenset({'Q9BYV6', 'BCR', 'Q969Q1'})"
"frozenset({'O00182', 'BCR', 'Q15084'})"
"frozenset({'BCR', 'P08670', 'P05161'})"
"frozenset({'BCR', 'Q15008', 'Q9BQ83'})"
"frozenset({'P61313', 'BCR', 'P61513'})"
"frozenset({'Q07021', 'BCR', 'Q96GG9'})"
"frozenset({'BCR', 'P35228', 'Q13200'})"
"frozenset({'P27635', 'BCR', 'Q13442'})"
"frozenset({'P10916', 'BCR', 'P62136'})"
"frozenset({'Q86XE0', 'BCR', 'Q9Y5B8'})"
"frozenset({'P49407', 'P62330', 'BCR'})"
"frozenset({'P61328', 'Q02763', 'BCR'})"
"frozenset({'Q9BWG6', 'BCR', 'Q08117'})"
"frozenset({'Q13616', 'BCR', 'P11387'})"
"frozenset({'Q9P275', 'Q9NVI1', 'BCR'})"
"frozenset({'BCR', 'P46940', 'Q12904'})"
"frozenset({'P15941', 'Q15303', 'BCR'})"
"frozenset({'P46060', 'BCR', 'P23284'})"
"frozenset({'Q92754', 'BCR', 'Q8WWM7'})"
"frozenset({'BCR', 'P35354', 'O60733'})"
"frozenset({'O75821', 'P31947', 'BCR'})"
"frozenset({'Q92844', 'BCR', 'Q00610'})"
"frozenset({'P42338', 'BCR', 'P22607'})"
"frozenset({'O15519', 'BCR', 'Q496A3'})"
"frozenset({'P53778', 'BCR', 'O75676'})"
"frozenset({'BCR', 'Q8NHU6', 'Q8N726'})"
"frozenset({'Q16611', 'Q9NR28', 'BCR'})"
"frozenset({'Q92890', 'Q9UJX6', 'BCR'})"
"frozenset({'Q9H3M7', 'BCR', 'P04637'})"
"frozenset({'Q07021', 'BCR', 'Q9HBU1'})"
"frozenset({'P48047', 'BCR', 'Q6NUN9'})"
"frozenset({'Q9H773', 'P05067', 'BCR'})"
"frozenset({'P19838', 'BCR', 'Q13148'})"
"frozenset({'O00555', 'BCR', 'Q6NUS6'})"
"frozenset({'Q07666', 'P35244', 'BCR'})"
"frozenset({'Q9NR56', 'BCR', 'P55795'})"
"frozenset({'P01106', 'Q9H3N1', 'BCR'})"
"frozenset({'O95218', 'P50402', 'BCR'})"
"frozenset({'Q9H9B4', 'BCR', 'P43307'})"
"frozenset({'P61326', 'Q6P2Q9', 'BCR'})"
"frozenset({'Q96S38', 'P30048', 'BCR'})"
"frozenset({'Q05655', 'BCR', 'P05787'})"
"frozenset({'Q3LHN2', 'Q15915', 'BCR'})"
"frozenset({'P50150', 'P40145', 'BCR'})"
"frozenset({'BCR', 'P78337', 'Q93062'})"
"frozenset({'P59536', 'Q13153', 'BCR'})"
"frozenset({'BCR', 'P06733', 'P07237'})"
"frozenset({'Q92614', 'P19105', 'BCR'})"
"frozenset({'BCR', 'P37108', 'Q969P0'})"
"frozenset({'Q7L9L4', 'Q96HP0', 'BCR'})"
"frozenset({'O00555', 'BCR', 'Q96A73'})"
"frozenset({'Q5SNT2', 'Q99675', 'BCR'})"
"frozenset({'Q9BQ66', 'BCR', 'Q5T681'})"
"frozenset({'P05412', 'BCR', 'Q07020'})"
"frozenset({'Q01518', 'BCR', 'P33992'})"
"frozenset({'O00339', 'BCR', 'P0C7T5'})"
"frozenset({'Q9Y2Q3', 'Q8N163', 'BCR'})"
"frozenset({'P17844', 'Q15843', 'BCR'})"
"frozenset({'P28482', 'BCR', 'O43623'})"
"frozenset({'Q99832', 'BCR', 'P50993'})"
"frozenset({'O75367', 'O60814', 'BCR'})"
"frozenset({'Q9ULK4', 'Q9BUE0', 'BCR'})"
"frozenset({'Q9UBP5', 'P42574', 'BCR'})"
"frozenset({'Q15121', 'Q5TCS8', 'BCR'})"
"frozenset({'Q9C029', 'Q4G0F5', 'BCR'})"
"frozenset({'O14964', 'O60879', 'BCR'})"
"frozenset({'O00628', 'BCR', 'Q9H2J4'})"
"frozenset({'O14980', 'BCR', 'Q00987'})"
"frozenset({'P54259', 'BCR', 'A2VEC9'})"
"frozenset({'Q9NXG2', 'P25786', 'BCR'})"
"frozenset({'Q9UJX5', 'BCR', 'Q08209'})"
"frozenset({'Q9UJ78', 'P12757', 'BCR'})"
"frozenset({'Q8N2I9', 'BCR', 'P01100'})"
"frozenset({'O14964', 'BCR', 'P37088'})"
"frozenset({'P17844', 'BCR', 'P13639'})"
"frozenset({'Q9NQ39', 'Q02543', 'BCR'})"
"frozenset({'O43772', 'BCR', 'O60506'})"
"frozenset({'BCR', 'P50221', 'Q9UDX3'})"
"frozenset({'Q9UI30', 'Q8TEX9', 'BCR'})"
"frozenset({'Q05655', 'Q9H5V8', 'BCR'})"
"frozenset({'Q9UJV3', 'Q9NXV6', 'BCR'})"
"frozenset({'BCR', 'Q9BTE7', 'Q58EX7'})"
"frozenset({'O00233', 'BCR', 'Q8IWZ5'})"
"frozenset({'BCR', 'O75182', 'P48431'})"
"frozenset({'Q96EE3', 'Q96HA1', 'BCR'})"
"frozenset({'Q9ULK4', 'BCR', 'P43307'})"
"frozenset({'O14512', 'BCR', 'P52333'})"
"frozenset({'Q86Y01', 'BCR', 'P62993'})"
"frozenset({'Q9BYQ2', 'BCR', 'P49736'})"
"frozenset({'P31943', 'BCR', 'P25800'})"
"frozenset({'BCR', 'Q8N5S9', 'P46783'})"
"frozenset({'Q69YU3', 'P56524', 'BCR'})"
"frozenset({'Q92793', 'P31260', 'BCR'})"
"frozenset({'P14317', 'BCR', 'Q9H2G9'})"
"frozenset({'Q04206', 'BCR', 'P10644'})"
"frozenset({'Q12849', 'BCR', 'Q13617'})"
"frozenset({'P46060', 'Q969T4', 'BCR'})"
"frozenset({'Q6ZW49', 'P60866', 'BCR'})"
"frozenset({'BCR', 'Q9BV68', 'P60896'})"
"frozenset({'Q96DT7', 'P35240', 'BCR'})"
"frozenset({'Q9Y383', 'BCR', 'Q13310'})"
"frozenset({'Q13162', 'P04114', 'BCR'})"
"frozenset({'P55036', 'BCR', 'P62195'})"
"frozenset({'BCR', 'P01106', 'Q9BSC4'})"
"frozenset({'BCR', 'Q9UNS2', 'Q9Y4B6'})"
"frozenset({'P20073', 'BCR', 'Q9H0W9'})"
"frozenset({'P26367', 'Q9Y247', 'BCR'})"
"frozenset({'Q7L2E3', 'Q9NRC8', 'BCR'})"
"frozenset({'BCR', 'Q9P021', 'Q9NPJ6'})"
"frozenset({'P41227', 'BCR', 'Q6N069'})"
"frozenset({'Q03135', 'BCR', 'Q5T3F8'})"
"frozenset({'P08700', 'Q969J5', 'BCR'})"
"frozenset({'P53367', 'BCR', 'P08237'})"
"frozenset({'O75525', 'Q99700', 'BCR'})"
"frozenset({'Q9HCN4', 'P0CAP1', 'BCR'})"
"frozenset({'P03372', 'Q16352', 'BCR'})"
"frozenset({'BCR', 'P78363', 'Q14028'})"
"frozenset({'Q9HCX4', 'BCR', 'P20591'})"
"frozenset({'P78362', 'BCR', 'P61978'})"
"frozenset({'Q9BT67', 'Q7Z434', 'BCR'})"
"frozenset({'P04004', 'P78560', 'BCR'})"
"frozenset({'BCR', 'O75083', 'P27797'})"
"frozenset({'BCR', 'Q96KR1', 'P40939'})"
"frozenset({'BCR', 'Q9H6Z9', 'Q5T5U3'})"
"frozenset({'Q08379', 'BCR', 'Q09472'})"
"frozenset({'BCR', 'Q9NYT6', 'P62807'})"
"frozenset({'BCR', 'Q8N122', 'Q9UGI9'})"
"frozenset({'P29353', 'BCR', 'P42229'})"
"frozenset({'Q7L0Q8', 'Q76B58', 'BCR'})"
"frozenset({'P16333', 'Q15109', 'BCR'})"
"frozenset({'P17655', 'BCR', 'P09651'})"
"frozenset({'BCR', 'Q8WTS6', 'Q9HAU4'})"
"frozenset({'P06493', 'P39748', 'BCR'})"
"frozenset({'Q6P2C8', 'BCR', 'Q06330'})"
"frozenset({'BCR', 'Q15172', 'P31314'})"
"frozenset({'Q969R5', 'BCR', 'O75886'})"
"frozenset({'P41143', 'P25098', 'BCR'})"
"frozenset({'BCR', 'Q96EY1', 'O60341'})"
"frozenset({'BCR', 'Q9NPI1', 'Q9BXH1'})"
"frozenset({'Q99835', 'BCR', 'Q13635'})"
"frozenset({'P22694', 'BCR', 'Q8NGS1'})"
"frozenset({'Q9NRW7', 'Q6P5W5', 'BCR'})"
"frozenset({'P28838', 'Q9UL33', 'BCR'})"
"frozenset({'Q9H8Y8', 'Q16539', 'BCR'})"
"frozenset({'Q9HAV0', 'P53778', 'BCR'})"
"frozenset({'Q16891', 'Q9BQD7', 'BCR'})"
"frozenset({'P17844', 'BCR', 'Q13619'})"
"frozenset({'BCR', 'Q99643', 'Q14203'})"
"frozenset({'Q9NYF0', 'P04183', 'BCR'})"
"frozenset({'P20648', 'BCR', 'P04083'})"
"frozenset({'O43293', 'Q05513', 'BCR'})"
"frozenset({'P32242', 'BCR', 'Q15654'})"
"frozenset({'BCR', 'Q9Y2Z0', 'P68104'})"
"frozenset({'P38398', 'P85299', 'BCR'})"
"frozenset({'BCR', 'P42765', 'Q6NXE6'})"
"frozenset({'Q14126', 'Q02487', 'BCR'})"
"frozenset({'BCR', 'Q9UJW0', 'Q9NZ32'})"
"frozenset({'Q68CP9', 'BCR', 'Q00987'})"
"frozenset({'BCR', 'Q9P244', 'O75420'})"
"frozenset({'Q13748', 'Q14204', 'BCR'})"
"frozenset({'Q9H190', 'BCR', 'Q8NAV1'})"
"frozenset({'P02647', 'BCR', 'P87889'})"
"frozenset({'Q13049', 'P55040', 'BCR'})"
"frozenset({'P05231', 'BCR', 'P42702'})"
"frozenset({'BCR', 'Q9Y5B9', 'Q86VP6'})"
"frozenset({'P08238', 'Q6JEL2', 'BCR'})"
"frozenset({'Q9H8Y8', 'Q92738', 'BCR'})"
"frozenset({'P61313', 'BCR', 'Q13620'})"
"frozenset({'Q8WUB8', 'P19838', 'BCR'})"
"frozenset({'Q9Y243', 'BCR', 'Q8TEY5'})"
"frozenset({'Q14687', 'BCR', 'Q99459'})"
"frozenset({'BCR', 'Q16270', 'P01308'})"
"frozenset({'Q8IVT5', 'BCR', 'Q9Y605'})"
"frozenset({'BCR', 'P78424', 'Q9HBI0'})"
"frozenset({'Q6UXH1', 'BCR', 'Q16659'})"
"frozenset({'Q08AF8', 'BCR', 'Q5VU43'})"
"frozenset({'P35520', 'P48200', 'BCR'})"
"frozenset({'Q13618', 'BCR', 'P19013'})"
"frozenset({'P01106', 'BCR', 'Q9Y2J4'})"
"frozenset({'P08574', 'Q15526', 'BCR'})"
"frozenset({'Q9Y2K5', 'BCR', 'O76011'})"
"frozenset({'O00221', 'BCR', 'O75170'})"
"frozenset({'Q13148', 'O75190', 'BCR'})"
"frozenset({'BCR', 'P08670', 'P55055'})"
"frozenset({'Q96LD1', 'P12081', 'BCR'})"
"frozenset({'O43688', 'Q13432', 'BCR'})"
"frozenset({'P05412', 'O75367', 'BCR'})"
"frozenset({'BCR', 'Q01201', 'Q96GM5'})"
"frozenset({'Q9NR12', 'P28289', 'BCR'})"
"frozenset({'Q9BQ04', 'Q9Y324', 'BCR'})"
"frozenset({'Q9NVV9', 'Q86SE5', 'BCR'})"
"frozenset({'Q3SY00', 'Q9NYA3', 'BCR'})"
"frozenset({'P25791', 'P81877', 'BCR'})"
"frozenset({'P19838', 'Q8IU54', 'BCR'})"
"frozenset({'BCR', 'P32119', 'Q9Y6Y8'})"
"frozenset({'BCR', 'Q14BN4', 'O43815'})"
"frozenset({'BCR', 'P31946', 'P40818'})"
"frozenset({'P10109', 'BCR', 'P99999'})"
"frozenset({'Q9Y2H9', 'Q13867', 'BCR'})"
"frozenset({'BCR', 'Q8IZL2', 'Q06330'})"
"frozenset({'P62877', 'P29590', 'BCR'})"
"frozenset({'Q8IUC4', 'P05783', 'BCR'})"
"frozenset({'Q5T280', 'BCR', 'Q92731'})"
"frozenset({'BCR', 'Q01844', 'Q14527'})"
"frozenset({'BCR', 'P10321', 'P43628'})"
"frozenset({'BCR', 'P53567', 'P15407'})"
"frozenset({'Q9BS26', 'BCR', 'P49419'})"
"frozenset({'BCR', 'Q15165', 'Q8IWV8'})"
"frozenset({'Q86XR8', 'BCR', 'P36542'})"
"frozenset({'P00533', 'Q8WU20', 'BCR'})"
"frozenset({'Q9P2J5', 'Q9BY42', 'BCR'})"
"frozenset({'Q6IBS0', 'O00233', 'BCR'})"
"frozenset({'Q99848', 'BCR', 'Q9UL18'})"
"frozenset({'Q8IUF8', 'P50914', 'BCR'})"
"frozenset({'BCR', 'Q12830', 'Q92925'})"
"frozenset({'Q9BYV9', 'BCR', 'Q5T655'})"
"frozenset({'Q9Y468', 'Q9Y2X9', 'BCR'})"
"frozenset({'BCR', 'P43657', 'Q99959'})"
"frozenset({'P10275', 'Q92793', 'BCR'})"
"frozenset({'Q00535', 'P35612', 'BCR'})"
"frozenset({'Q9Y2G2', 'BCR', 'Q9NPF5'})"
"frozenset({'Q96K58', 'Q96HE9', 'BCR'})"
"frozenset({'Q969Q6', 'Q9Y698', 'BCR'})"
"frozenset({'P56134', 'P54257', 'BCR'})"
"frozenset({'Q6ZVD8', 'BCR', 'P31751'})"
"frozenset({'O60260', 'BCR', 'P21796'})"
"frozenset({'BCR', 'P54317', 'Q7L014'})"
"frozenset({'P62829', 'BCR', 'Q6NUN9'})"
"frozenset({'P42695', 'P06733', 'BCR'})"
"frozenset({'P24522', 'Q8WWL7', 'BCR'})"
"frozenset({'BCR', 'P02787', 'P78314'})"
"frozenset({'P11277', 'BCR', 'O95295'})"
"frozenset({'BCR', 'Q9Y508', 'Q9Y6K8'})"
"frozenset({'P02774', 'P30281', 'BCR'})"
"frozenset({'BCR', 'Q9UQ80', 'P62917'})"
"frozenset({'Q49AN0', 'BCR', 'P51784'})"
"frozenset({'O14965', 'P52732', 'BCR'})"
"frozenset({'P82932', 'P05067', 'BCR'})"
"frozenset({'P42696', 'BCR', 'Q7Z6E9'})"
"frozenset({'O75916', 'BCR', 'O14775'})"
"frozenset({'BCR', 'Q16514', 'P62805'})"
"frozenset({'P54687', 'P35269', 'BCR'})"
"frozenset({'BCR', 'Q96GW7', 'P45452'})"
"frozenset({'P42858', 'BCR', 'P80723'})"
"frozenset({'BCR', 'P62333', 'P60896'})"
"frozenset({'Q9NVS9', 'P01106', 'BCR'})"
"frozenset({'P25098', 'BCR', 'P78368'})"
"frozenset({'Q01860', 'Q9BWF3', 'BCR'})"
"frozenset({'Q96IK5', 'BCR', 'Q16649'})"
"frozenset({'Q9UKJ5', 'Q9BRK4', 'BCR'})"
"frozenset({'BCR', 'Q15022', 'Q9BQA1'})"
"frozenset({'Q6P597', 'BCR', 'Q86UW9'})"
"frozenset({'P15170', 'BCR', 'Q92541'})"
"frozenset({'Q9Y337', 'BCR', 'Q8N0W3'})"
"frozenset({'O15357', 'BCR', 'P12236'})"
"frozenset({'P67775', 'BCR', 'Q15172'})"
"frozenset({'Q9Y547', 'BCR', 'Q9P2H3'})"
"frozenset({'BCR', 'O95822', 'Q9Y6E7'})"
"frozenset({'O43707', 'BCR', 'P06756'})"
"frozenset({'Q8N0Y5', 'P22694', 'BCR'})"
"frozenset({'O60383', 'P20073', 'BCR'})"
"frozenset({'Q6P2Q9', 'BCR', 'Q86UZ6'})"
"frozenset({'Q6ZTN6', 'P05067', 'BCR'})"
"frozenset({'Q13158', 'BCR', 'Q86UA6'})"
"frozenset({'BCR', 'O43524', 'P41182'})"
"frozenset({'Q9NRC8', 'BCR', 'P46063'})"
"frozenset({'Q8IZD9', 'P08134', 'BCR'})"
"frozenset({'P04798', 'Q9Y3A5', 'BCR'})"
"frozenset({'Q9H8T0', 'BCR', 'P00966'})"
"frozenset({'P23458', 'BCR', 'Q8NEB9'})"
"frozenset({'O95274', 'Q9NTI5', 'BCR'})"
"frozenset({'P05114', 'BCR', 'Q92831'})"
"frozenset({'P68366', 'P60891', 'BCR'})"
"frozenset({'Q8IWL3', 'BCR', 'Q8NFQ8'})"
"frozenset({'P05204', 'BCR', 'Q09472'})"
"frozenset({'Q9UKJ3', 'BCR', 'Q15554'})"
"frozenset({'Q9BSJ1', 'O75150', 'BCR'})"
"frozenset({'Q9NVD7', 'BCR', 'P48431'})"
"frozenset({'Q9P1Z2', 'BCR', 'P36402'})"
"frozenset({'O43166', 'BCR', 'Q8N122'})"
"frozenset({'P27361', 'BCR', 'P26885'})"
"frozenset({'P62269', 'BCR', 'P15880'})"
"frozenset({'O00487', 'P62333', 'BCR'})"
"frozenset({'P11388', 'BCR', 'P78527'})"
"frozenset({'P42696', 'Q02539', 'BCR'})"
"frozenset({'P30153', 'BCR', 'Q9Y534'})"
"frozenset({'Q8N616', 'BCR', 'P06729'})"
"frozenset({'P25116', 'BCR', 'O14775'})"
"frozenset({'P49716', 'Q9BY76', 'BCR'})"
"frozenset({'Q9UEE9', 'P37837', 'BCR'})"
"frozenset({'Q9NYU2', 'Q2MV58', 'BCR'})"
"frozenset({'P11940', 'Q8IYD1', 'BCR'})"
"frozenset({'BCR', 'P26373', 'Q7Z6Z7'})"
"frozenset({'P23760', 'BCR', 'Q96NX9'})"
"frozenset({'P46087', 'BCR', 'Q00839'})"
"frozenset({'O95231', 'BCR', 'Q96NS8'})"
"frozenset({'Q8TCT9', 'Q86WV6', 'BCR'})"
"frozenset({'BCR', 'P08865', 'Q9H5H4'})"
"frozenset({'Q16666', 'BCR', 'Q14692'})"
"frozenset({'P42224', 'P40305', 'BCR'})"
"frozenset({'BCR', 'P78330', 'Q92956'})"
"frozenset({'BCR', 'Q13813', 'P62993'})"
"frozenset({'Q9BT92', 'BCR', 'Q96MT8'})"
"frozenset({'BCR', 'Q96S94', 'P50148'})"
"frozenset({'Q9Y3Z3', 'BCR', 'Q9Y4B6'})"
"frozenset({'Q13572', 'O95825', 'BCR'})"
"frozenset({'Q9GZV7', 'Q2TAL6', 'BCR'})"
"frozenset({'BCR', 'Q9C009', 'Q12874'})"
"frozenset({'Q8NB78', 'BCR', 'P20674'})"
"frozenset({'Q12767', 'P43115', 'BCR'})"
"frozenset({'P55085', 'O15392', 'BCR'})"
"frozenset({'P60900', 'BCR', 'P35228'})"
"frozenset({'P05412', 'Q9Y2R4', 'BCR'})"
"frozenset({'P14618', 'P29692', 'BCR'})"
"frozenset({'O14576', 'BCR', 'Q3ZCM7'})"
"frozenset({'Q12834', 'BCR', 'P51955'})"
"frozenset({'P35609', 'BCR', 'P50461'})"
"frozenset({'Q9P1W9', 'P14618', 'BCR'})"
"frozenset({'P05204', 'BCR', 'Q92831'})"
"frozenset({'Q96PM9', 'BCR', 'Q9Y2X8'})"
"frozenset({'P49790', 'BCR', 'Q8IXQ5'})"
"frozenset({'Q9UHD8', 'BCR', 'P19338'})"
"frozenset({'Q9NYF3', 'BCR', 'Q8TC76'})"
"frozenset({'P23258', 'P62269', 'BCR'})"
"frozenset({'Q9H2L5', 'Q13188', 'BCR'})"
"frozenset({'O43159', 'BCR', 'P41218'})"
"frozenset({'P04150', 'BCR', 'Q5JU00'})"
"frozenset({'P78383', 'P05067', 'BCR'})"
"frozenset({'Q8NBM4', 'P04844', 'BCR'})"
"frozenset({'Q9BQG0', 'BCR', 'P62280'})"
"frozenset({'O43889', 'BCR', 'Q53HI1'})"
"frozenset({'Q14011', 'BCR', 'Q99567'})"
"frozenset({'O75335', 'BCR', 'P19174'})"
"frozenset({'Q03001', 'BCR', 'Q15327'})"
"frozenset({'O14920', 'P09874', 'BCR'})"
"frozenset({'P42701', 'BCR', 'P13232'})"
"frozenset({'P04792', 'BCR', 'Q4V328'})"
"frozenset({'Q86TG1', 'BCR', 'O15254'})"
"frozenset({'Q14934', 'P56817', 'BCR'})"
"frozenset({'Q8NFH5', 'BCR', 'Q9Y2U8'})"
"frozenset({'P22694', 'Q01814', 'BCR'})"
"frozenset({'Q8N490', 'BCR', 'P56182'})"
"frozenset({'P22087', 'Q9UKD2', 'BCR'})"
"frozenset({'P28332', 'P01116', 'BCR'})"
"frozenset({'Q9H8Y8', 'BCR', 'P63211'})"
"frozenset({'Q9Y5J6', 'BCR', 'O15400'})"
"frozenset({'P05121', 'BCR', 'P04070'})"
"frozenset({'Q9UBU9', 'Q9NQS1', 'BCR'})"
"frozenset({'BCR', 'P0C7P0', 'Q13011'})"
"frozenset({'O14862', 'BCR', 'Q92522'})"
"frozenset({'Q6NVY1', 'Q15843', 'BCR'})"
"frozenset({'P06748', 'P31943', 'BCR'})"
"frozenset({'BCR', 'Q8N302', 'Q8IWX8'})"
"frozenset({'Q8IVT5', 'Q9BPZ7', 'BCR'})"
"frozenset({'P62826', 'BCR', 'P52298'})"
"frozenset({'Q9Y4K3', 'Q9Y2R2', 'BCR'})"
"frozenset({'Q8IX21', 'Q5VUG0', 'BCR'})"
"frozenset({'O00469', 'BCR', 'P14923'})"
"frozenset({'BCR', 'Q96HA7', 'P16403'})"
"frozenset({'Q68CZ1', 'BCR', 'Q96C92'})"
"frozenset({'P08571', 'BCR', 'P11215'})"
"frozenset({'P11177', 'P37235', 'BCR'})"
"frozenset({'BCR', 'P17612', 'O14775'})"
"frozenset({'Q15797', 'BCR', 'Q9BRB3'})"
"frozenset({'Q86TM6', 'BCR', 'Q30201'})"
"frozenset({'Q9HCE1', 'BCR', 'Q13200'})"
"frozenset({'P00533', 'P02786', 'BCR'})"
"frozenset({'P0DP23', 'BCR', 'P62140'})"
"frozenset({'P23443', 'BCR', 'P78371'})"
"frozenset({'Q9UQL6', 'BCR', 'Q00610'})"
"frozenset({'Q9BR77', 'BCR', 'Q96MT8'})"
"frozenset({'Q9NPH2', 'BCR', 'P55795'})"
"frozenset({'O95155', 'BCR', 'A0AVT1'})"
"frozenset({'Q7Z434', 'BCR', 'Q8IWA4'})"
"frozenset({'P34925', 'BCR', 'P35222'})"
"frozenset({'Q9H4L7', 'P52272', 'BCR'})"
"frozenset({'O95466', 'Q15149', 'BCR'})"
"frozenset({'Q7L190', 'Q9Y5P6', 'BCR'})"
"frozenset({'Q9UKV5', 'BCR', 'Q8NHG7'})"
"frozenset({'Q9BUE0', 'O43513', 'BCR'})"
"frozenset({'P78317', 'P78364', 'BCR'})"
"frozenset({'P62079', 'P0CG08', 'BCR'})"
"frozenset({'P54252', 'BCR', 'P62195'})"
"frozenset({'P04004', 'BCR', 'P02679'})"
"frozenset({'Q8WUB8', 'BCR', 'P51531'})"
"frozenset({'Q15788', 'P11021', 'BCR'})"
"frozenset({'P78406', 'Q96JG8', 'BCR'})"
"frozenset({'P62314', 'BCR', 'P09651'})"
"frozenset({'Q13951', 'Q6U841', 'BCR'})"
"frozenset({'Q9BQ66', 'Q5TA76', 'BCR'})"
"frozenset({'BCR', 'Q01094', 'Q00526'})"
"frozenset({'Q01581', 'BCR', 'P14868'})"
"frozenset({'BCR', 'P10721', 'P16885'})"
"frozenset({'BCR', 'P08047', 'P07355'})"
"frozenset({'P36873', 'O95425', 'BCR'})"
"frozenset({'P05362', 'BCR', 'P18440'})"
"frozenset({'P41250', 'BCR', 'P24941'})"
"frozenset({'Q9BVX2', 'Q0VAQ4', 'BCR'})"
"frozenset({'P37275', 'O14757', 'BCR'})"
"frozenset({'Q6IED9', 'Q9H0R8', 'BCR'})"
"frozenset({'Q9Y572', 'BCR', 'Q12933'})"
"frozenset({'BCR', 'Q86XP3', 'P05161'})"
"frozenset({'Q12906', 'BCR', 'Q96GG9'})"
"frozenset({'Q9NYU2', 'O94822', 'BCR'})"
"frozenset({'BCR', 'O75582', 'Q15811'})"
"frozenset({'O43156', 'Q71U36', 'BCR'})"
