negatives
"frozenset({'Q9UBV4', 'Q6FHJ7', 'RANKL'})"
"frozenset({'Q93009', 'RANKL', 'Q8WUM4'})"
"frozenset({'Q9NPJ6', 'RANKL', 'Q96C92'})"
"frozenset({'RANKL', 'Q92945', 'Q96FW1'})"
"frozenset({'O75360', 'RANKL', 'Q9C086'})"
"frozenset({'Q92905', 'RANKL', 'Q8WWZ4'})"
"frozenset({'P06748', 'RANKL', 'P60228'})"
"frozenset({'P05161', 'Q16851', 'RANKL'})"
"frozenset({'Q15041', 'RANKL', 'Q9HB07'})"
"frozenset({'RANKL', 'Q6NYC8', 'Q5U651'})"
"frozenset({'RANKL', 'Q92520', 'Q96BA8'})"
"frozenset({'P01375', 'RANKL', 'Q16082'})"
"frozenset({'P54274', 'P13010', 'RANKL'})"
"frozenset({'RANKL', 'Q9H4M9', 'P04792'})"
"frozenset({'P63208', 'RANKL', 'Q7L5N1'})"
"frozenset({'RANKL', 'Q01518', 'P08238'})"
"frozenset({'RANKL', 'O14965', 'Q9H4B4'})"
"frozenset({'P62191', 'RANKL', 'O43488'})"
"frozenset({'Q9UBS0', 'RANKL', 'Q92598'})"
"frozenset({'RANKL', 'A6ZKI3', 'Q9UHD9'})"
"frozenset({'RANKL', 'Q13769', 'Q8WXB4'})"
"frozenset({'Q9H334', 'RANKL', 'P60568'})"
"frozenset({'RANKL', 'P61764', 'Q13501'})"
"frozenset({'Q9P244', 'Q13315', 'RANKL'})"
"frozenset({'RANKL', 'Q9P0L0', 'O75306'})"
"frozenset({'RANKL', 'Q9H2Y7', 'Q06265'})"
"frozenset({'Q14686', 'RANKL', 'Q9H4Z2'})"
"frozenset({'Q6K0P9', 'RANKL', 'P20226'})"
"frozenset({'RANKL', 'O43251', 'Q9NQ92'})"
"frozenset({'P0DMV9', 'RANKL', 'P67809'})"
"frozenset({'RANKL', 'P80404', 'Q9BYZ2'})"
"frozenset({'Q96EY7', 'RANKL', 'Q9H9S0'})"
"frozenset({'Q14166', 'RANKL', 'O15259'})"
"frozenset({'P14625', 'P25788', 'RANKL'})"
"frozenset({'O14893', 'Q9NWZ8', 'RANKL'})"
"frozenset({'P17181', 'RANKL', 'Q9UKB1'})"
"frozenset({'P35269', 'Q99689', 'RANKL'})"
"frozenset({'P19438', 'P34931', 'RANKL'})"
"frozenset({'A2VEC9', 'RANKL', 'Q9ULK2'})"
"frozenset({'P25054', 'RANKL', 'P12270'})"
"frozenset({'Q12906', 'RANKL', 'Q9UL18'})"
"frozenset({'P23508', 'RANKL', 'Q8N715'})"
"frozenset({'RANKL', 'P46777', 'Q8TEX9'})"
"frozenset({'RANKL', 'P53708', 'P07942'})"
"frozenset({'Q9H6K1', 'RANKL', 'Q15717'})"
"frozenset({'Q9H9S0', 'RANKL', 'O60907'})"
"frozenset({'Q9NXB0', 'RANKL', 'Q7Z5L2'})"
"frozenset({'RANKL', 'P78318', 'P04792'})"
"frozenset({'RANKL', 'Q13526', 'P41279'})"
"frozenset({'RANKL', 'O60306', 'Q86SE5'})"
"frozenset({'P62263', 'RANKL', 'P46778'})"
"frozenset({'RANKL', 'Q13263', 'P24522'})"
"frozenset({'Q7Z398', 'RANKL', 'Q04864'})"
"frozenset({'Q969R5', 'RANKL', 'O75461'})"
"frozenset({'P60033', 'P35579', 'RANKL'})"
"frozenset({'O00308', 'RANKL', 'Q8TAE8'})"
"frozenset({'RANKL', 'Q8NGB4', 'P62873'})"
"frozenset({'Q9P209', 'RANKL', 'A6NEM1'})"
"frozenset({'P50148', 'RANKL', 'P42336'})"
"frozenset({'P49674', 'RANKL', 'Q5T0W9'})"
"frozenset({'O75787', 'Q9Y5K6', 'RANKL'})"
"frozenset({'Q969W9', 'RANKL', 'Q9BTE1'})"
"frozenset({'P61019', 'RANKL', 'O00425'})"
"frozenset({'Q9NTJ3', 'RANKL', 'Q13573'})"
"frozenset({'Q14157', 'Q9NQW6', 'RANKL'})"
"frozenset({'Q504Q3', 'RANKL', 'P07900'})"
"frozenset({'RANKL', 'P21333', 'Q9NZV8'})"
"frozenset({'O95816', 'RANKL', 'Q08380'})"
"frozenset({'RANKL', 'Q9NZC7', 'Q08188'})"
"frozenset({'Q6P4A7', 'Q6NUN9', 'RANKL'})"
"frozenset({'Q6NUS6', 'RANKL', 'P00387'})"
"frozenset({'RANKL', 'Q969Q1', 'P63279'})"
"frozenset({'RANKL', 'P09913', 'P61218'})"
"frozenset({'P04629', 'RANKL', 'Q7L5N1'})"
"frozenset({'P63165', 'RANKL', 'Q9NS39'})"
"frozenset({'Q5S007', 'P23497', 'RANKL'})"
"frozenset({'Q92729', 'P42768', 'RANKL'})"
"frozenset({'RANKL', 'P62241', 'Q13601'})"
"frozenset({'RANKL', 'P61313', 'P83731'})"
"frozenset({'Q9H9T3', 'RANKL', 'P53041'})"
"frozenset({'RANKL', 'P38919', 'P62424'})"
"frozenset({'P62906', 'RANKL', 'P03372'})"
"frozenset({'P38936', 'RANKL', 'P10275'})"
"frozenset({'Q9Y5S9', 'RANKL', 'Q9H1J1'})"
"frozenset({'P52735', 'O75688', 'RANKL'})"
"frozenset({'P14373', 'RANKL', 'Q9BWG6'})"
"frozenset({'Q96B97', 'RANKL', 'Q00610'})"
"frozenset({'P09488', 'RANKL', 'Q99871'})"
"frozenset({'Q9UMR3', 'RANKL', 'Q04727'})"
"frozenset({'Q8NE35', 'Q9UBU9', 'RANKL'})"
"frozenset({'RANKL', 'P07919', 'Q9UI09'})"
"frozenset({'RANKL', 'O14965', 'O15350'})"
"frozenset({'O75533', 'RANKL', 'Q13627'})"
"frozenset({'RANKL', 'Q9BVA1', 'Q92834'})"
"frozenset({'RANKL', 'Q9NRR3', 'P60953'})"
"frozenset({'RANKL', 'P37802', 'P31150'})"
"frozenset({'Q8N5S1', 'RANKL', 'Q9NZR1'})"
"frozenset({'RANKL', 'P49736', 'Q9NQV8'})"
"frozenset({'RANKL', 'O15519', 'Q9UNE7'})"
"frozenset({'RANKL', 'Q9GZN1', 'O96019'})"
"frozenset({'Q9H444', 'RANKL', 'Q7LBR1'})"
"frozenset({'P52597', 'RANKL', 'P38159'})"
"frozenset({'RANKL', 'Q96CN9', 'O95995'})"
"frozenset({'Q16665', 'RANKL', 'P00748'})"
"frozenset({'RANKL', 'Q9NV39', 'Q8IYA8'})"
"frozenset({'RANKL', 'Q9BSL1', 'Q9HCE7'})"
"frozenset({'Q92905', 'Q13568', 'RANKL'})"
"frozenset({'Q8IW41', 'RANKL', 'P02686'})"
"frozenset({'Q13616', 'RANKL', 'P07910'})"
"frozenset({'RANKL', 'Q6P1J9', 'P30876'})"
"frozenset({'P62847', 'P46783', 'RANKL'})"
"frozenset({'Q6PCB5', 'RANKL', 'Q6VAB6'})"
"frozenset({'Q92769', 'Q14164', 'RANKL'})"
"frozenset({'RANKL', 'Q00587', 'Q9BQ66'})"
"frozenset({'RANKL', 'Q9Y698', 'P30154'})"
"frozenset({'RANKL', 'P46108', 'O15357'})"
"frozenset({'O60260', 'RANKL', 'Q13242'})"
"frozenset({'O75821', 'P50222', 'RANKL'})"
"frozenset({'RANKL', 'O14965', 'Q8TB72'})"
"frozenset({'Q9UK80', 'RANKL', 'Q13546'})"
"frozenset({'RANKL', 'Q92545', 'Q6PD62'})"
"frozenset({'RANKL', 'P07910', 'P19525'})"
"frozenset({'RANKL', 'P53367', 'P54578'})"
"frozenset({'RANKL', 'P05549', 'P35222'})"
"frozenset({'Q14141', 'O14512', 'RANKL'})"
"frozenset({'RANKL', 'P05067', 'Q12981'})"
"frozenset({'RANKL', 'Q92793', 'Q02556'})"
"frozenset({'RANKL', 'Q14160', 'P22460'})"
"frozenset({'Q5UIP0', 'RANKL', 'Q12988'})"
"frozenset({'Q96ME1', 'RANKL', 'Q99750'})"
"frozenset({'P51532', 'RANKL', 'P07910'})"
"frozenset({'RANKL', 'Q15599', 'Q01814'})"
"frozenset({'RANKL', 'Q96AX9', 'O95999'})"
"frozenset({'RANKL', 'Q13151', 'Q08211'})"
"frozenset({'P18754', 'RANKL', 'Q9UMN6'})"
"frozenset({'P06239', 'RANKL', 'Q13432'})"
"frozenset({'P52701', 'RANKL', 'O60477'})"
"frozenset({'Q9UJY1', 'O14512', 'RANKL'})"
"frozenset({'RANKL', 'P06576', 'P07437'})"
"frozenset({'RANKL', 'Q9NRR5', 'P27658'})"
"frozenset({'O75360', 'RANKL', 'Q9UIJ7'})"
"frozenset({'P67775', 'Q92997', 'RANKL'})"
"frozenset({'P55735', 'RANKL', 'O75140'})"
"frozenset({'Q92673', 'Q5HYJ3', 'RANKL'})"
"frozenset({'P60410', 'RANKL', 'Q8NDP4'})"
"frozenset({'P22694', 'RANKL', 'Q9NQA5'})"
"frozenset({'Q9Y5N6', 'RANKL', 'Q9UFC0'})"
"frozenset({'RANKL', 'O43900', 'Q9NVH1'})"
"frozenset({'O75508', 'RANKL', 'P56880'})"
"frozenset({'RANKL', 'P49959', 'Q13107'})"
"frozenset({'P61019', 'RANKL', 'Q9Y281'})"
"frozenset({'RANKL', 'Q9BVG8', 'Q08379'})"
"frozenset({'Q99729', 'RANKL', 'Q9Y6Y0'})"
"frozenset({'Q86VZ2', 'RANKL', 'Q9NQ11'})"
"frozenset({'O43395', 'RANKL', 'Q14498'})"
"frozenset({'P50151', 'Q15759', 'RANKL'})"
"frozenset({'Q9Y6E7', 'Q12931', 'RANKL'})"
"frozenset({'P31946', 'RANKL', 'Q92622'})"
"frozenset({'O43516', 'RANKL', 'Q9H2G2'})"
"frozenset({'RANKL', 'A0AVT1', 'Q01813'})"
"frozenset({'Q04206', 'RANKL', 'P50281'})"
"frozenset({'RANKL', 'Q96C00', 'P59991'})"
"frozenset({'Q15714', 'RANKL', 'P08195'})"
"frozenset({'P05814', 'RANKL', 'Q13620'})"
"frozenset({'Q99611', 'RANKL', 'P11172'})"
"frozenset({'Q9C0B5', 'RANKL', 'Q8IYR6'})"
"frozenset({'P13010', 'RANKL', 'P07288'})"
"frozenset({'Q6IQ23', 'RANKL', 'A6NDB9'})"
"frozenset({'RANKL', 'P10912', 'Q16619'})"
"frozenset({'RANKL', 'Q13620', 'P61201'})"
"frozenset({'Q03519', 'RANKL', 'Q6DD88'})"
"frozenset({'RANKL', 'Q9H2D6', 'Q9P0K7'})"
"frozenset({'P53803', 'RANKL', 'P24928'})"
"frozenset({'Q96EQ0', 'A7KAX9', 'RANKL'})"
"frozenset({'RANKL', 'P62241', 'Q02543'})"
"frozenset({'RANKL', 'P05067', 'Q96A00'})"
"frozenset({'P62873', 'RANKL', 'P58181'})"
"frozenset({'RANKL', 'P11441', 'P47914'})"
"frozenset({'RANKL', 'Q96DB2', 'Q8IUE6'})"
"frozenset({'RANKL', 'O43290', 'Q9UJV9'})"
"frozenset({'RANKL', 'Q92609', 'Q8N9N8'})"
"frozenset({'P08069', 'RANKL', 'O00459'})"
"frozenset({'P02749', 'RANKL', 'P31749'})"
"frozenset({'P07864', 'P00441', 'RANKL'})"
"frozenset({'RANKL', 'P19320', 'P00338'})"
"frozenset({'O75083', 'Q15691', 'RANKL'})"
"frozenset({'P63000', 'RANKL', 'P42704'})"
"frozenset({'Q8NHA4', 'P22694', 'RANKL'})"
"frozenset({'Q99728', 'RANKL', 'Q5SSJ5'})"
"frozenset({'P13804', 'RANKL', 'Q9NRW1'})"
"frozenset({'P82930', 'RANKL', 'P23258'})"
"frozenset({'RANKL', 'Q6A162', 'Q6NYC8'})"
"frozenset({'RANKL', 'Q9BWF3', 'Q99459'})"
"frozenset({'Q5T5U3', 'RANKL', 'P47755'})"
"frozenset({'RANKL', 'Q8NGQ6', 'P25098'})"
"frozenset({'O94766', 'Q86Y56', 'RANKL'})"
"frozenset({'RANKL', 'O15534', 'Q16665'})"
"frozenset({'Q9Y6E7', 'RANKL', 'P09622'})"
"frozenset({'RANKL', 'Q9HD42', 'Q00610'})"
"frozenset({'RANKL', 'Q12952', 'Q14160'})"
"frozenset({'RANKL', 'Q96D03', 'P62310'})"
"frozenset({'O60262', 'A3KFT3', 'RANKL'})"
"frozenset({'RANKL', 'P63098', 'P54578'})"
"frozenset({'RANKL', 'P42771', 'P11142'})"
"frozenset({'Q9Y508', 'P08865', 'RANKL'})"
"frozenset({'RANKL', 'Q02297', 'P21860'})"
"frozenset({'RANKL', 'Q13885', 'P21980'})"
"frozenset({'RANKL', 'Q8TAQ2', 'Q9NS56'})"
"frozenset({'P63241', 'P53602', 'RANKL'})"
"frozenset({'Q8IUG5', 'RANKL', 'P78362'})"
"frozenset({'O14640', 'RANKL', 'Q9HCP0'})"
"frozenset({'P36873', 'RANKL', 'P05067'})"
"frozenset({'RANKL', 'Q9UJX2', 'Q9H211'})"
"frozenset({'RANKL', 'Q12933', 'Q9HAU4'})"
"frozenset({'RANKL', 'P42771', 'P01111'})"
"frozenset({'O14980', 'Q8IXQ4', 'RANKL'})"
"frozenset({'P11279', 'P15313', 'RANKL'})"
"frozenset({'Q9UFF9', 'RANKL', 'Q4VXU2'})"
"frozenset({'RANKL', 'P84103', 'P51003'})"
"frozenset({'P63104', 'RANKL', 'Q15287'})"
"frozenset({'Q13148', 'Q8NC51', 'RANKL'})"
"frozenset({'Q9Y5J5', 'P63167', 'RANKL'})"
"frozenset({'Q8WXH5', 'P42701', 'RANKL'})"
"frozenset({'RANKL', 'P22234', 'Q9GZT8'})"
"frozenset({'P04629', 'RANKL', 'Q96G01'})"
"frozenset({'P38646', 'RANKL', 'P08047'})"
"frozenset({'Q5T5A8', 'RANKL', 'P60411'})"
"frozenset({'O94992', 'Q9NVX0', 'RANKL'})"
"frozenset({'RANKL', 'Q9BSU3', 'Q96KQ7'})"
"frozenset({'RANKL', 'Q16537', 'Q8WXS5'})"
"frozenset({'P11021', 'RANKL', 'Q14008'})"
"frozenset({'Q9NQW6', 'RANKL', 'Q9Y2D5'})"
"frozenset({'P56192', 'RANKL', 'Q9UJA5'})"
"frozenset({'Q9Y3M2', 'RANKL', 'Q8WWI1'})"
"frozenset({'RANKL', 'P55769', 'Q9NPJ3'})"
"frozenset({'P63096', 'RANKL', 'Q8WYR1'})"
"frozenset({'O14807', 'P15056', 'RANKL'})"
"frozenset({'Q8N6M0', 'RANKL', 'Q9UH65'})"
"frozenset({'P52732', 'RANKL', 'P20073'})"
"frozenset({'RANKL', 'Q9BVG8', 'Q96PU5'})"
"frozenset({'P00533', 'RANKL', 'P01308'})"
"frozenset({'Q9GZM8', 'RANKL', 'P43034'})"
"frozenset({'RANKL', 'Q8WYR1', 'P61952'})"
"frozenset({'RANKL', 'P07900', 'P49758'})"
"frozenset({'RANKL', 'P47755', 'Q9NSY1'})"
"frozenset({'RANKL', 'Q15323', 'Q8TAE8'})"
"frozenset({'P01100', 'RANKL', 'P52736'})"
"frozenset({'P0C5Y9', 'RANKL', 'Q16778'})"
"frozenset({'RANKL', 'P52292', 'P49711'})"
"frozenset({'RANKL', 'Q9BYC9', 'O75530'})"
"frozenset({'O76100', 'P17612', 'RANKL'})"
"frozenset({'RANKL', 'O43829', 'Q2NKX9'})"
"frozenset({'P54646', 'RANKL', 'Q3MJ62'})"
"frozenset({'RANKL', 'O75081', 'Q8NAP3'})"
"frozenset({'RANKL', 'Q8NI22', 'P05067'})"
"frozenset({'P62753', 'P18848', 'RANKL'})"
"frozenset({'P49419', 'RANKL', 'P62937'})"
"frozenset({'P15153', 'RANKL', 'A1A4S6'})"
"frozenset({'O43541', 'RANKL', 'Q9HCE7'})"
"frozenset({'Q5JPE7', 'RANKL', 'Q5S007'})"
"frozenset({'Q15750', 'RANKL', 'O95157'})"
"frozenset({'B5ME19', 'RANKL', 'P20042'})"
"frozenset({'RANKL', 'Q5ST30', 'Q9Y4K3'})"
"frozenset({'Q9UJY1', 'RANKL', 'Q9UNI6'})"
"frozenset({'Q9UQB9', 'RANKL', 'Q96C57'})"
"frozenset({'O14558', 'RANKL', 'Q8NEK8'})"
"frozenset({'RANKL', 'P26368', 'Q13242'})"
"frozenset({'Q9BUN8', 'RANKL', 'P24588'})"
"frozenset({'RANKL', 'Q9HBM1', 'P42704'})"
"frozenset({'Q15428', 'RANKL', 'Q9Y6A4'})"
"frozenset({'Q6PKG0', 'RANKL', 'P06748'})"
"frozenset({'P55795', 'RANKL', 'Q01081'})"
"frozenset({'Q6A162', 'RANKL', 'Q7Z7H3'})"
"frozenset({'P32121', 'RANKL', 'O43318'})"
"frozenset({'RANKL', 'Q13620', 'P62877'})"
"frozenset({'P55145', 'Q9NPJ6', 'RANKL'})"
"frozenset({'RANKL', 'Q9Y5A9', 'P02751'})"
"frozenset({'Q8N3U4', 'Q99755', 'RANKL'})"
"frozenset({'O15067', 'P23508', 'RANKL'})"
"frozenset({'RANKL', 'P19793', 'P36896'})"
"frozenset({'RANKL', 'Q13641', 'Q15393'})"
"frozenset({'RANKL', 'P12931', 'P17706'})"
"frozenset({'P04629', 'RANKL', 'P49593'})"
"frozenset({'Q5T230', 'RANKL', 'P48431'})"
"frozenset({'P35251', 'RANKL', 'P35244'})"
"frozenset({'Q8WWY3', 'RANKL', 'Q6IBW4'})"
"frozenset({'RANKL', 'Q06609', 'Q9NYB0'})"
"frozenset({'P00533', 'Q13325', 'RANKL'})"
"frozenset({'Q6UWV2', 'RANKL', 'O60487'})"
"frozenset({'P51948', 'RANKL', 'P38398'})"
"frozenset({'RANKL', 'Q9Y4L1', 'P60520'})"
"frozenset({'RANKL', 'Q12905', 'Q9NP81'})"
"frozenset({'RANKL', 'Q8TF42', 'Q99569'})"
"frozenset({'Q9ULP0', 'RANKL', 'Q96DZ9'})"
"frozenset({'RANKL', 'Q9H239', 'Q9Y3F4'})"
"frozenset({'RANKL', 'Q5QNW6', 'Q969S8'})"
"frozenset({'Q9NQ66', 'RANKL', 'P22455'})"
"frozenset({'RANKL', 'Q93050', 'P62269'})"
"frozenset({'Q9UL15', 'RANKL', 'Q6VAB6'})"
"frozenset({'RANKL', 'Q9Y4G6', 'P26010'})"
"frozenset({'O95817', 'RANKL', 'O95831'})"
"frozenset({'RANKL', 'P60411', 'P35900'})"
"frozenset({'P38646', 'RANKL', 'Q9NT62'})"
"frozenset({'Q9P2W9', 'RANKL', 'O00161'})"
"frozenset({'RANKL', 'P54278', 'P53618'})"
"frozenset({'RANKL', 'P35579', 'Q9BUA6'})"
"frozenset({'P05161', 'RANKL', 'O95363'})"
"frozenset({'O14964', 'Q8WYH8', 'RANKL'})"
"frozenset({'RANKL', 'P17987', 'Q8TCT1'})"
"frozenset({'RANKL', 'P32455', 'Q3LXA3'})"
"frozenset({'RANKL', 'P20333', 'P01374'})"
"frozenset({'Q8WTR2', 'RANKL', 'P62736'})"
"frozenset({'RANKL', 'Q9UNN5', 'Q53GT1'})"
"frozenset({'P55196', 'RANKL', 'P04798'})"
"frozenset({'O43432', 'RANKL', 'A6NMX2'})"
"frozenset({'Q6PCD5', 'RANKL', 'O60925'})"
"frozenset({'P62987', 'O43561', 'RANKL'})"
"frozenset({'Q12849', 'RANKL', 'Q9Y2R9'})"
"frozenset({'RANKL', 'P35520', 'Q08426'})"
"frozenset({'P08865', 'P55769', 'RANKL'})"
"frozenset({'RANKL', 'O15066', 'P05067'})"
"frozenset({'RANKL', 'Q9UMX1', 'Q9NWS9'})"
"frozenset({'RANKL', 'Q86X27', 'Q9BQK8'})"
"frozenset({'Q14CS0', 'RANKL', 'Q96IV0'})"
"frozenset({'P30307', 'RANKL', 'P63172'})"
"frozenset({'RANKL', 'P42568', 'P31269'})"
"frozenset({'RANKL', 'Q9UDY2', 'O43623'})"
"frozenset({'RANKL', 'Q5JU00', 'Q9H3G5'})"
"frozenset({'P55347', 'RANKL', 'Q8TDH9'})"
"frozenset({'RANKL', 'P61927', 'P18124'})"
"frozenset({'RANKL', 'P50591', 'O15519'})"
"frozenset({'Q9BRL6', 'P78362', 'RANKL'})"
"frozenset({'RANKL', 'P10398', 'Q96QF0'})"
"frozenset({'RANKL', 'Q9UJ83', 'Q96E35'})"
"frozenset({'P25054', 'P04264', 'RANKL'})"
"frozenset({'O60503', 'RANKL', 'O00214'})"
"frozenset({'O95819', 'Q8N5S1', 'RANKL'})"
"frozenset({'Q5MIZ7', 'RANKL', 'Q07866'})"
"frozenset({'RANKL', 'Q08623', 'P23528'})"
"frozenset({'RANKL', 'P05412', 'Q9UP65'})"
"frozenset({'P38646', 'Q9NVM6', 'RANKL'})"
"frozenset({'Q9Y6F9', 'RANKL', 'Q9H461'})"
"frozenset({'Q9GZM8', 'Q9HBI0', 'RANKL'})"
"frozenset({'RANKL', 'P13804', 'Q14999'})"
"frozenset({'RANKL', 'P25786', 'O76015'})"
"frozenset({'RANKL', 'P62807', 'Q02078'})"
"frozenset({'Q9Y6Q9', 'RANKL', 'P22670'})"
"frozenset({'RANKL', 'Q13882', 'P23246'})"
"frozenset({'P26368', 'P46940', 'RANKL'})"
"frozenset({'RANKL', 'Q8N2R8', 'Q13362'})"
"frozenset({'RANKL', 'Q9H5N1', 'Q15276'})"
"frozenset({'RANKL', 'P43220', 'P03901'})"
"frozenset({'Q96EY1', 'RANKL', 'O60674'})"
"frozenset({'Q17R98', 'RANKL', 'Q13547'})"
"frozenset({'Q9NQS3', 'RANKL', 'Q15818'})"
"frozenset({'RANKL', 'Q13422', 'O75771'})"
"frozenset({'RANKL', 'Q13326', 'Q96LD1'})"
"frozenset({'RANKL', 'Q2TBA0', 'Q8WV35'})"
"frozenset({'RANKL', 'P10721', 'P10242'})"
"frozenset({'P50995', 'RANKL', 'Q9H0W5'})"
"frozenset({'Q5MJ10', 'RANKL', 'Q9NVV9'})"
"frozenset({'RANKL', 'P84103', 'Q9BV73'})"
"frozenset({'RANKL', 'Q9BXW9', 'Q8TEX9'})"
"frozenset({'RANKL', 'Q13094', 'P30203'})"
"frozenset({'RANKL', 'Q16539', 'P53618'})"
"frozenset({'RANKL', 'P19838', 'O75746'})"
"frozenset({'RANKL', 'Q16787', 'Q05397'})"
"frozenset({'RANKL', 'O43795', 'P24941'})"
"frozenset({'Q13595', 'RANKL', 'P82675'})"
"frozenset({'RANKL', 'P05067', 'P05976'})"
"frozenset({'RANKL', 'P12931', 'P56199'})"
"frozenset({'RANKL', 'Q86XK2', 'O95863'})"
"frozenset({'O14974', 'RANKL', 'Q9BXS6'})"
"frozenset({'Q15154', 'RANKL', 'Q8IWC1'})"
"frozenset({'P68400', 'Q14684', 'RANKL'})"
"frozenset({'Q9NU53', 'RANKL', 'P11362'})"
"frozenset({'O75360', 'RANKL', 'Q9UKJ0'})"
"frozenset({'Q8IVV7', 'RANKL', 'P18509'})"
"frozenset({'P27361', 'RANKL', 'P17302'})"
"frozenset({'RANKL', 'Q9BYR9', 'Q5TA76'})"
"frozenset({'RANKL', 'Q9H5Q4', 'O00411'})"
"frozenset({'RANKL', 'Q9UBV2', 'Q86U44'})"
"frozenset({'RANKL', 'P25791', 'P08047'})"
"frozenset({'P04629', 'O15270', 'RANKL'})"
"frozenset({'P05093', 'RANKL', 'Q16878'})"
"frozenset({'RANKL', 'Q96CS2', 'P53365'})"
"frozenset({'Q8N5H7', 'RANKL', 'Q14511'})"
"frozenset({'P32929', 'RANKL', 'Q15717'})"
"frozenset({'Q92905', 'P48668', 'RANKL'})"
"frozenset({'RANKL', 'Q9UBC2', 'Q06945'})"
"frozenset({'RANKL', 'Q14997', 'O00571'})"
"frozenset({'RANKL', 'Q13233', 'Q96CS7'})"
"frozenset({'RANKL', 'P27635', 'Q00325'})"
"frozenset({'RANKL', 'Q9BRQ0', 'P35240'})"
"frozenset({'RANKL', 'P60660', 'P15336'})"
"frozenset({'RANKL', 'Q13547', 'Q8IYA7'})"
"frozenset({'RANKL', 'P60709', 'P21860'})"
"frozenset({'RANKL', 'P05067', 'Q6ZT98'})"
"frozenset({'RANKL', 'P32881', 'P26992'})"
"frozenset({'RANKL', 'P43403', 'P05067'})"
"frozenset({'Q9H1R2', 'RANKL', 'Q15788'})"
"frozenset({'Q9P2R3', 'RANKL', 'Q9H0R8'})"
"frozenset({'O00330', 'RANKL', 'Q9BXB1'})"
"frozenset({'RANKL', 'Q00987', 'P46934'})"
"frozenset({'P40763', 'RANKL', 'P24522'})"
"frozenset({'Q02878', 'RANKL', 'Q13769'})"
"frozenset({'P23763', 'Q13277', 'RANKL'})"
"frozenset({'Q03014', 'P56915', 'RANKL'})"
"frozenset({'P01023', 'RANKL', 'Q15714'})"
"frozenset({'Q07866', 'RANKL', 'Q9UQF2'})"
"frozenset({'P19438', 'RANKL', 'Q13546'})"
"frozenset({'P41252', 'RANKL', 'Q9UQL6'})"
"frozenset({'Q86VP6', 'RANKL', 'P42285'})"
"frozenset({'P33992', 'Q6IE81', 'RANKL'})"
"frozenset({'P61353', 'RANKL', 'P46779'})"
"frozenset({'RANKL', 'Q9H9Y6', 'P27986'})"
"frozenset({'RANKL', 'Q6ZV73', 'P62993'})"
"frozenset({'RANKL', 'O75886', 'P51668'})"
"frozenset({'Q92769', 'Q16637', 'RANKL'})"
"frozenset({'Q5T0N5', 'RANKL', 'P50570'})"
"frozenset({'Q8N726', 'RANKL', 'P11142'})"
"frozenset({'RANKL', 'Q8TDN6', 'P36578'})"
"frozenset({'Q96EY1', 'RANKL', 'P08621'})"
"frozenset({'Q15024', 'RANKL', 'P31150'})"
"frozenset({'RANKL', 'O14920', 'Q86WI3'})"
"frozenset({'P10074', 'RANKL', 'Q9Y5B8'})"
"frozenset({'Q9Y5Y2', 'RANKL', 'Q9Y266'})"
"frozenset({'P00533', 'RANKL', 'O95630'})"
"frozenset({'Q70Z53', 'RANKL', 'Q9UHR5'})"
"frozenset({'Q674X7', 'RANKL', 'Q9BRK4'})"
"frozenset({'Q13315', 'RANKL', 'Q16630'})"
"frozenset({'P50222', 'RANKL', 'Q15691'})"
"frozenset({'Q14847', 'RANKL', 'Q8N6T3'})"
"frozenset({'P35269', 'RANKL', 'P32780'})"
"frozenset({'RANKL', 'P78386', 'Q01804'})"
"frozenset({'Q96F15', 'RANKL', 'Q86VR2'})"
"frozenset({'Q96CS4', 'RANKL', 'Q9BYG3'})"
"frozenset({'Q9Y2I8', 'RANKL', 'P11142'})"
"frozenset({'O95295', 'RANKL', 'P50570'})"
"frozenset({'P36873', 'RANKL', 'Q15717'})"
"frozenset({'RANKL', 'P50395', 'P49736'})"
"frozenset({'RANKL', 'O60885', 'O76061'})"
"frozenset({'P34998', 'RANKL', 'Q5JWF2'})"
"frozenset({'P27361', 'RANKL', 'Q96JM7'})"
"frozenset({'Q9HC98', 'Q13526', 'RANKL'})"
"frozenset({'Q09028', 'RANKL', 'Q8WVD3'})"
"frozenset({'RANKL', 'Q13901', 'P10827'})"
"frozenset({'RANKL', 'P27986', 'Q07666'})"
"frozenset({'Q13618', 'RANKL', 'Q71U36'})"
"frozenset({'O75947', 'RANKL', 'Q9NZ45'})"
"frozenset({'O15535', 'P78362', 'RANKL'})"
"frozenset({'P21741', 'P31431', 'RANKL'})"
"frozenset({'O95714', 'RANKL', 'Q9BQE3'})"
"frozenset({'RANKL', 'Q9NX58', 'Q13610'})"
"frozenset({'RANKL', 'Q00987', 'Q9BQE3'})"
"frozenset({'RANKL', 'Q96HE9', 'P40429'})"
"frozenset({'Q9UPU3', 'RANKL', 'Q15637'})"
"frozenset({'RANKL', 'P06276', 'Q9Y215'})"
"frozenset({'P30101', 'O00468', 'RANKL'})"
"frozenset({'P01225', 'P29274', 'RANKL'})"
"frozenset({'Q6IQ23', 'RANKL', 'P49006'})"
"frozenset({'Q8NGE7', 'RANKL', 'P25098'})"
"frozenset({'Q5U5Q3', 'Q7L2E3', 'RANKL'})"
"frozenset({'RANKL', 'Q8TF50', 'P36508'})"
"frozenset({'RANKL', 'Q00987', 'Q9UGP8'})"
