negatives
"frozenset({'P62995', 'Alpha6Beta4Integrin', 'O75531'})"
"frozenset({'Q16531', 'Alpha6Beta4Integrin', 'P33992'})"
"frozenset({'Q8N9M1', 'Q9H0W5', 'Alpha6Beta4Integrin'})"
"frozenset({'A1L188', 'Q9Y6H1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99618', 'Q0VGL1', 'Alpha6Beta4Integrin'})"
"frozenset({'P05556', 'Alpha6Beta4Integrin', 'P02458'})"
"frozenset({'Q9UM82', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q68CZ1', 'Alpha6Beta4Integrin', 'Q9UPN4'})"
"frozenset({'Alpha6Beta4Integrin', 'Q969F0', 'Q16543'})"
"frozenset({'P29597', 'Alpha6Beta4Integrin', 'Q01344'})"
"frozenset({'Q03252', 'P10144', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IY17', 'Alpha6Beta4Integrin', 'P34947'})"
"frozenset({'Q9UKT9', 'O15287', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00587', 'Q9BPZ7', 'Alpha6Beta4Integrin'})"
"frozenset({'P55786', 'Q9H8W3', 'Alpha6Beta4Integrin'})"
"frozenset({'P62888', 'Alpha6Beta4Integrin', 'P49736'})"
"frozenset({'Q9UJU2', 'Q9NQR1', 'Alpha6Beta4Integrin'})"
"frozenset({'P07333', 'Q92914', 'Alpha6Beta4Integrin'})"
"frozenset({'P36542', 'O75208', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P086', 'Alpha6Beta4Integrin', 'O60244'})"
"frozenset({'Q96CW1', 'Alpha6Beta4Integrin', 'O14929'})"
"frozenset({'P05412', 'O75475', 'Alpha6Beta4Integrin'})"
"frozenset({'P20020', 'Q9P035', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14161', 'Alpha6Beta4Integrin', 'Q96PE2'})"
"frozenset({'Q8N543', 'Alpha6Beta4Integrin', 'P11216'})"
"frozenset({'P60409', 'Q9ULM2', 'Alpha6Beta4Integrin'})"
"frozenset({'P11308', 'Alpha6Beta4Integrin', 'O60884'})"
"frozenset({'P26368', 'Alpha6Beta4Integrin', 'P0DP23'})"
"frozenset({'Q8TEW0', 'P17980', 'Alpha6Beta4Integrin'})"
"frozenset({'Q02548', 'P52294', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13630', 'Q9NZL9', 'Alpha6Beta4Integrin'})"
"frozenset({'A4UGR9', 'Alpha6Beta4Integrin', 'Q14315'})"
"frozenset({'Q6PD62', 'Alpha6Beta4Integrin', 'P02751'})"
"frozenset({'P55786', 'Alpha6Beta4Integrin', 'Q9H8V3'})"
"frozenset({'P61254', 'P62993', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99584', 'Q9HCY8', 'Alpha6Beta4Integrin'})"
"frozenset({'P14770', 'P50222', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96KB5', 'P05412', 'Alpha6Beta4Integrin'})"
"frozenset({'P49760', 'Q96IK5', 'Alpha6Beta4Integrin'})"
"frozenset({'P45984', 'O95561', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99607', 'Alpha6Beta4Integrin', 'Q9UHD2'})"
"frozenset({'P61326', 'Q9P013', 'Alpha6Beta4Integrin'})"
"frozenset({'P35240', 'Q13098', 'Alpha6Beta4Integrin'})"
"frozenset({'O15539', 'P09471', 'Alpha6Beta4Integrin'})"
"frozenset({'O75534', 'P21281', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13432', 'Alpha6Beta4Integrin', 'P19087'})"
"frozenset({'Q96BY7', 'Alpha6Beta4Integrin', 'Q96DB2'})"
"frozenset({'A8MQ03', 'Alpha6Beta4Integrin', 'O14633'})"
"frozenset({'P10074', 'Alpha6Beta4Integrin', 'P60370'})"
"frozenset({'P49682', 'P10145', 'Alpha6Beta4Integrin'})"
"frozenset({'P67870', 'P42575', 'Alpha6Beta4Integrin'})"
"frozenset({'O14782', 'Alpha6Beta4Integrin', 'Q9H4B6'})"
"frozenset({'Q09472', 'Q16665', 'Alpha6Beta4Integrin'})"
"frozenset({'P49682', 'Alpha6Beta4Integrin', 'Q9Y258'})"
"frozenset({'Q86VP6', 'Q9NQ55', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16666', 'Alpha6Beta4Integrin', 'O14862'})"
"frozenset({'Q9BQE3', 'P46108', 'Alpha6Beta4Integrin'})"
"frozenset({'P46783', 'P30050', 'Alpha6Beta4Integrin'})"
"frozenset({'P05386', 'Alpha6Beta4Integrin', 'P82673'})"
"frozenset({'Q99986', 'O76064', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q05048', 'P31350'})"
"frozenset({'P63279', 'Q14789', 'Alpha6Beta4Integrin'})"
"frozenset({'P00533', 'O00213', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96CV9', 'Alpha6Beta4Integrin', 'Q13077'})"
"frozenset({'Q6IQ22', 'Q96CV9', 'Alpha6Beta4Integrin'})"
"frozenset({'P22612', 'Q9GZM6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H0D6', 'P19525', 'Alpha6Beta4Integrin'})"
"frozenset({'P08670', 'Q15149', 'Alpha6Beta4Integrin'})"
"frozenset({'P05412', 'Q13572', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2W6', 'Alpha6Beta4Integrin', 'Q96A35'})"
"frozenset({'P19784', 'P16455', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IYI6', 'Alpha6Beta4Integrin', 'Q9BYU1'})"
"frozenset({'Q8TF09', 'Alpha6Beta4Integrin', 'Q6P1K8'})"
"frozenset({'Q92731', 'Alpha6Beta4Integrin', 'Q14315'})"
"frozenset({'P15313', 'Alpha6Beta4Integrin', 'P36543'})"
"frozenset({'Q9UI26', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'P49757', 'Q9UM47', 'Alpha6Beta4Integrin'})"
"frozenset({'P82933', 'Q9BQ04', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UQ35', 'P62081', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01196', 'Q15723', 'Alpha6Beta4Integrin'})"
"frozenset({'O15145', 'Alpha6Beta4Integrin', 'P48552'})"
"frozenset({'P62316', 'Alpha6Beta4Integrin', 'O00459'})"
"frozenset({'O00418', 'Alpha6Beta4Integrin', 'Q9NWX6'})"
"frozenset({'Q02363', 'Q9Y574', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14533', 'Alpha6Beta4Integrin', 'P49639'})"
"frozenset({'P40222', 'P23508', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y5B8', 'P15407', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13315', 'Alpha6Beta4Integrin', 'Q8NDD1'})"
"frozenset({'P63104', 'Alpha6Beta4Integrin', 'Q9P0L2'})"
"frozenset({'Q9UL17', 'P35225', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96T58', 'Alpha6Beta4Integrin', 'Q9HD15'})"
"frozenset({'P30044', 'Alpha6Beta4Integrin', 'P20962'})"
"frozenset({'P15880', 'Q9NRC8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96GM8', 'P09661', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H204', 'Alpha6Beta4Integrin', 'Q8NA61'})"
"frozenset({'Q9Y3C7', 'P25963', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96T76', 'Alpha6Beta4Integrin', 'P10276'})"
"frozenset({'P42338', 'Alpha6Beta4Integrin', 'Q05655'})"
"frozenset({'Q8IXZ2', 'Q96HN2', 'Alpha6Beta4Integrin'})"
"frozenset({'P61421', 'Alpha6Beta4Integrin', 'P42166'})"
"frozenset({'P12110', 'Alpha6Beta4Integrin', 'P26012'})"
"frozenset({'P35613', 'Alpha6Beta4Integrin', 'Q96A26'})"
"frozenset({'Q9BVK6', 'Q9H2A9', 'Alpha6Beta4Integrin'})"
"frozenset({'O14964', 'P01589', 'Alpha6Beta4Integrin'})"
"frozenset({'P21359', 'Alpha6Beta4Integrin', 'Q9P244'})"
"frozenset({'P14618', 'P63104', 'Alpha6Beta4Integrin'})"
"frozenset({'P30837', 'P04179', 'Alpha6Beta4Integrin'})"
"frozenset({'P07550', 'P06576', 'Alpha6Beta4Integrin'})"
"frozenset({'Q03518', 'Q9H0W5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16531', 'Alpha6Beta4Integrin', 'P61962'})"
"frozenset({'O14964', 'Q06710', 'Alpha6Beta4Integrin'})"
"frozenset({'P09382', 'Q13291', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UKT4', 'Q9UM13', 'Alpha6Beta4Integrin'})"
"frozenset({'Q06418', 'P27986', 'Alpha6Beta4Integrin'})"
"frozenset({'P14859', 'Alpha6Beta4Integrin', 'P51610'})"
"frozenset({'Q9C000', 'Q00610', 'Alpha6Beta4Integrin'})"
"frozenset({'P41182', 'Q99750', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96TA1', 'Alpha6Beta4Integrin', 'Q9ULV4'})"
"frozenset({'Q8NE01', 'Q8N6Y0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WWK9', 'Q9H081', 'Alpha6Beta4Integrin'})"
"frozenset({'P49815', 'Q15796', 'Alpha6Beta4Integrin'})"
"frozenset({'P54274', 'Alpha6Beta4Integrin', 'P00338'})"
"frozenset({'O95405', 'Q15075', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z6L0', 'Q9NZT1', 'Alpha6Beta4Integrin'})"
"frozenset({'P08754', 'Q9Y672', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UKE5', 'Alpha6Beta4Integrin', 'O43295'})"
"frozenset({'P61421', 'Q9UI42', 'Alpha6Beta4Integrin'})"
"frozenset({'P32881', 'Alpha6Beta4Integrin', 'Q13651'})"
"frozenset({'P53708', 'Alpha6Beta4Integrin', 'Q13683'})"
"frozenset({'Q9UQL6', 'Q8WVV9', 'Alpha6Beta4Integrin'})"
"frozenset({'P27448', 'Q13131', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NFG4', 'Alpha6Beta4Integrin', 'Q9NQL2'})"
"frozenset({'P05412', 'Alpha6Beta4Integrin', 'Q96TA2'})"
"frozenset({'P32969', 'Q52MB2', 'Alpha6Beta4Integrin'})"
"frozenset({'O60739', 'P12004', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N0Z3', 'Alpha6Beta4Integrin', 'Q13011'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H2P0', 'P51532'})"
"frozenset({'O60684', 'Q15274', 'Alpha6Beta4Integrin'})"
"frozenset({'P05067', 'Alpha6Beta4Integrin', 'P20393'})"
"frozenset({'Q15382', 'P51151', 'Alpha6Beta4Integrin'})"
"frozenset({'O95865', 'Alpha6Beta4Integrin', 'Q13526'})"
"frozenset({'Q9UPV0', 'P07384', 'Alpha6Beta4Integrin'})"
"frozenset({'P07954', 'Alpha6Beta4Integrin', 'P31939'})"
"frozenset({'O75376', 'O76083', 'Alpha6Beta4Integrin'})"
"frozenset({'P63167', 'P78352', 'Alpha6Beta4Integrin'})"
"frozenset({'P54840', 'Q16821', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9C0J9', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96I15', 'Q8N448', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TAT5', 'Q9NZM4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q969T4', 'O15111', 'Alpha6Beta4Integrin'})"
"frozenset({'P61586', 'P60709', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P19320', 'P40227'})"
"frozenset({'Q9BY42', 'Alpha6Beta4Integrin', 'O43597'})"
"frozenset({'Q9NRE2', 'Q6NUQ1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q04206', 'P18146', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92530', 'Q9NR12', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3C4', 'Q9UJU6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5MJ10', 'Q86UB2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q05519', 'Q9BSE5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3Z3', 'Alpha6Beta4Integrin', 'P68104'})"
"frozenset({'O14732', 'Alpha6Beta4Integrin', 'Q8TBC4'})"
"frozenset({'Q13017', 'Alpha6Beta4Integrin', 'Q9HBH0'})"
"frozenset({'P17661', 'P04278', 'Alpha6Beta4Integrin'})"
"frozenset({'P12235', 'O75503', 'Alpha6Beta4Integrin'})"
"frozenset({'P05129', 'Q01970', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5T686', 'Alpha6Beta4Integrin', 'A6NEM1'})"
"frozenset({'P04637', 'Q12834', 'Alpha6Beta4Integrin'})"
"frozenset({'O95294', 'P01112', 'Alpha6Beta4Integrin'})"
"frozenset({'P08708', 'P62273', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BQB6', 'Alpha6Beta4Integrin', 'P55056'})"
"frozenset({'O43542', 'Q8N302', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16539', 'Alpha6Beta4Integrin', 'Q92574'})"
"frozenset({'P04075', 'Alpha6Beta4Integrin', 'P00558'})"
"frozenset({'P46109', 'Alpha6Beta4Integrin', 'Q12796'})"
"frozenset({'Q7Z3S9', 'A8MQ03', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13618', 'Alpha6Beta4Integrin', 'Q13547'})"
"frozenset({'P02675', 'P14543', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14626', 'P60568', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BQE3', 'Alpha6Beta4Integrin', 'P60981'})"
"frozenset({'P33076', 'P61018', 'Alpha6Beta4Integrin'})"
"frozenset({'P09871', 'P06681', 'Alpha6Beta4Integrin'})"
"frozenset({'Q07955', 'O75530', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P03956', 'P17676'})"
"frozenset({'Q5VW32', 'Q9H444', 'Alpha6Beta4Integrin'})"
"frozenset({'P49759', 'Q96T37', 'Alpha6Beta4Integrin'})"
"frozenset({'P62873', 'Alpha6Beta4Integrin', 'P01111'})"
"frozenset({'Q14657', 'Alpha6Beta4Integrin', 'P01889'})"
"frozenset({'O75530', 'Alpha6Beta4Integrin', 'Q92841'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9HB71', 'O75426'})"
"frozenset({'P15407', 'Q9NR55', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBU9', 'Q8TBP0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5T3J3', 'Q8N2W9', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O15258', 'P56385'})"
"frozenset({'P10636', 'Alpha6Beta4Integrin', 'P51817'})"
"frozenset({'O75071', 'P68400', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15796', 'Alpha6Beta4Integrin', 'Q92688'})"
"frozenset({'O75386', 'Q5PSV4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NZ94', 'Q9Y613', 'Alpha6Beta4Integrin'})"
"frozenset({'O75351', 'Alpha6Beta4Integrin', 'Q9NRR5'})"
"frozenset({'P23634', 'Q92796', 'Alpha6Beta4Integrin'})"
"frozenset({'P60484', 'Q9UHB6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P2P5', 'Q8NDT2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15691', 'P55854', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BPX3', 'Alpha6Beta4Integrin', 'Q6ZW49'})"
"frozenset({'Q15365', 'Alpha6Beta4Integrin', 'P63244'})"
"frozenset({'Q00987', 'Alpha6Beta4Integrin', 'Q8IZ83'})"
"frozenset({'P33527', 'Q9UI12', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96PZ0', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'P35670', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'P49327', 'Alpha6Beta4Integrin', 'Q9NZL4'})"
"frozenset({'P46531', 'Alpha6Beta4Integrin', 'Q9Y2L9'})"
"frozenset({'Q6NT76', 'Q9ULK4', 'Alpha6Beta4Integrin'})"
"frozenset({'P62258', 'Alpha6Beta4Integrin', 'Q9NRI5'})"
"frozenset({'Q9Y606', 'O14974', 'Alpha6Beta4Integrin'})"
"frozenset({'P32322', 'P98082', 'Alpha6Beta4Integrin'})"
"frozenset({'O75676', 'Alpha6Beta4Integrin', 'Q8TEY5'})"
"frozenset({'Q13619', 'Alpha6Beta4Integrin', 'P62879'})"
"frozenset({'Q13424', 'P53778', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IXZ2', 'Q9BQ48', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14966', 'Q9Y597', 'Alpha6Beta4Integrin'})"
"frozenset({'P05412', 'O95251', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P68371', 'Q8NCM8'})"
"frozenset({'Q8N6R1', 'A2A2Y4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P1U0', 'Alpha6Beta4Integrin', 'P01011'})"
"frozenset({'P03372', 'Alpha6Beta4Integrin', 'Q8N1N4'})"
"frozenset({'Q07955', 'Q9Y6M5', 'Alpha6Beta4Integrin'})"
"frozenset({'P51116', 'Alpha6Beta4Integrin', 'Q15022'})"
"frozenset({'P67870', 'P43681', 'Alpha6Beta4Integrin'})"
"frozenset({'P14543', 'P98160', 'Alpha6Beta4Integrin'})"
"frozenset({'P55786', 'Alpha6Beta4Integrin', 'P62330'})"
"frozenset({'Q14677', 'Q92614', 'Alpha6Beta4Integrin'})"
"frozenset({'P40933', 'Alpha6Beta4Integrin', 'P15509'})"
"frozenset({'Q5TAX3', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IV13', 'Alpha6Beta4Integrin', 'Q04864'})"
"frozenset({'P05062', 'Q99757', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86UA6', 'Q8IVM0', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99496', 'Q9H0A0'})"
"frozenset({'P52434', 'Alpha6Beta4Integrin', 'Q9Y2S0'})"
"frozenset({'O00189', 'Alpha6Beta4Integrin', 'Q9UQ88'})"
"frozenset({'P17931', 'P07384', 'Alpha6Beta4Integrin'})"
"frozenset({'P10398', 'Alpha6Beta4Integrin', 'Q9UNS2'})"
"frozenset({'P31749', 'P55211', 'Alpha6Beta4Integrin'})"
"frozenset({'P48039', 'Q9Y6G1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16576', 'Q92560', 'Alpha6Beta4Integrin'})"
"frozenset({'Q05516', 'Alpha6Beta4Integrin', 'P10721'})"
"frozenset({'P03372', 'P10599', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P15173', 'P02792'})"
"frozenset({'P18124', 'Q6P1J9', 'Alpha6Beta4Integrin'})"
"frozenset({'P62316', 'Alpha6Beta4Integrin', 'Q9Y3F4'})"
"frozenset({'O75376', 'Q92828', 'Alpha6Beta4Integrin'})"
"frozenset({'Q07889', 'Q13017', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96JG8', 'Alpha6Beta4Integrin', 'P24386'})"
"frozenset({'P01106', 'Alpha6Beta4Integrin', 'Q00534'})"
"frozenset({'Q96NG3', 'Q99750', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9HAW4', 'P18146', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WWK9', 'Alpha6Beta4Integrin', 'Q86VQ0'})"
"frozenset({'Q9HCE7', 'Alpha6Beta4Integrin', 'Q9Y466'})"
"frozenset({'O00303', 'P04629', 'Alpha6Beta4Integrin'})"
"frozenset({'O14807', 'P05129', 'Alpha6Beta4Integrin'})"
"frozenset({'O14543', 'Q6PKC3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01113', 'Alpha6Beta4Integrin', 'P01567'})"
"frozenset({'O75438', 'P03897', 'Alpha6Beta4Integrin'})"
"frozenset({'P78385', 'P60411', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9C000', 'P56537', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99683', 'Q96PU5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IU85', 'O43889', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4K3', 'Q8WYP3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9HC38', 'Alpha6Beta4Integrin', 'P10809'})"
"frozenset({'P23634', 'O95274', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16513', 'Alpha6Beta4Integrin', 'Q96N66'})"
"frozenset({'P18827', 'Alpha6Beta4Integrin', 'P21246'})"
"frozenset({'P60329', 'Alpha6Beta4Integrin', 'P49901'})"
"frozenset({'P98179', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q63HR2', 'P46109', 'Alpha6Beta4Integrin'})"
"frozenset({'Q68CZ1', 'Alpha6Beta4Integrin', 'O75694'})"
"frozenset({'O14763', 'Q12906', 'Alpha6Beta4Integrin'})"
"frozenset({'P52735', 'Alpha6Beta4Integrin', 'Q8WZ42'})"
"frozenset({'P24928', 'Alpha6Beta4Integrin', 'P24941'})"
"frozenset({'Q9UPE1', 'Q14498', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H668', 'Alpha6Beta4Integrin', 'Q9Y4E8'})"
"frozenset({'P78410', 'Q92968', 'Alpha6Beta4Integrin'})"
"frozenset({'P51692', 'P49588', 'Alpha6Beta4Integrin'})"
"frozenset({'O43542', 'Alpha6Beta4Integrin', 'Q15649'})"
"frozenset({'Q9HAU4', 'Alpha6Beta4Integrin', 'Q13761'})"
"frozenset({'P06753', 'Alpha6Beta4Integrin', 'Q9UKI8'})"
"frozenset({'P56192', 'P14625', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99426', 'Q96FW1', 'Alpha6Beta4Integrin'})"
"frozenset({'P13725', 'Alpha6Beta4Integrin', 'Q01344'})"
"frozenset({'Q02297', 'Alpha6Beta4Integrin', 'Q9NY97'})"
"frozenset({'P10253', 'Q9BWS9', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P12236', 'P61244'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13748', 'P60510'})"
"frozenset({'Q53EL6', 'Alpha6Beta4Integrin', 'P50402'})"
"frozenset({'Q8NER1', 'Alpha6Beta4Integrin', 'O95295'})"
"frozenset({'Alpha6Beta4Integrin', 'P63208', 'Q99436'})"
"frozenset({'Q9BUL8', 'Q8IY42', 'Alpha6Beta4Integrin'})"
"frozenset({'P60484', 'P62753', 'Alpha6Beta4Integrin'})"
"frozenset({'P46940', 'Q53TN4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14197', 'Alpha6Beta4Integrin', 'P49406'})"
"frozenset({'Q99755', 'Alpha6Beta4Integrin', 'Q9Y4C0'})"
"frozenset({'P62495', 'Alpha6Beta4Integrin', 'O75436'})"
"frozenset({'Q9NYQ7', 'P00519', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BQE3', 'Q3ZCQ8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6P158', 'Q96SQ5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H6S1', 'Alpha6Beta4Integrin', 'Q14164'})"
"frozenset({'P25398', 'Alpha6Beta4Integrin', 'P46778'})"
"frozenset({'P61586', 'P85298', 'Alpha6Beta4Integrin'})"
"frozenset({'P38117', 'Q16836', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y3F4', 'Q6ZW49'})"
"frozenset({'Q3LI73', 'Q9Y4H4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13363', 'Alpha6Beta4Integrin', 'Q76N32'})"
"frozenset({'P51813', 'Alpha6Beta4Integrin', 'P42229'})"
"frozenset({'Q6XUX3', 'P42331', 'Alpha6Beta4Integrin'})"
"frozenset({'P14625', 'Alpha6Beta4Integrin', 'Q96GF1'})"
"frozenset({'Q9NQX5', 'A8MQ03', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92858', 'Alpha6Beta4Integrin', 'Q13685'})"
"frozenset({'P04141', 'Q99062', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13451', 'Alpha6Beta4Integrin', 'P18505'})"
"frozenset({'O60260', 'P53667', 'Alpha6Beta4Integrin'})"
"frozenset({'P51991', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15365', 'Q96SB4', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P28072', 'P49720'})"
"frozenset({'O15027', 'Alpha6Beta4Integrin', 'Q9NWS0'})"
"frozenset({'Q86VP6', 'Q16629', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13618', 'Alpha6Beta4Integrin', 'Q14204'})"
"frozenset({'P01023', 'Alpha6Beta4Integrin', 'Q9Y6Q5'})"
"frozenset({'P46108', 'Q9UPX8', 'Alpha6Beta4Integrin'})"
"frozenset({'P35680', 'Q6PEX3', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3I0', 'Q99459', 'Alpha6Beta4Integrin'})"
"frozenset({'O75807', 'Alpha6Beta4Integrin', 'P61218'})"
"frozenset({'Q15388', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'O00148', 'Q8TCT1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q08945', 'Alpha6Beta4Integrin', 'P62820'})"
"frozenset({'Q6NZI2', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q99584', 'P78318', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P46459', 'P20963'})"
"frozenset({'P78527', 'P08670', 'Alpha6Beta4Integrin'})"
"frozenset({'P30419', 'P49770', 'Alpha6Beta4Integrin'})"
"frozenset({'P32969', 'P62847', 'Alpha6Beta4Integrin'})"
"frozenset({'Q07955', 'Alpha6Beta4Integrin', 'Q8IX12'})"
"frozenset({'Q6GQQ9', 'Alpha6Beta4Integrin', 'Q8IUH5'})"
"frozenset({'P05556', 'Alpha6Beta4Integrin', 'Q08722'})"
"frozenset({'Q96S38', 'P40425', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UQL6', 'Alpha6Beta4Integrin', 'P33992'})"
"frozenset({'P50222', 'Alpha6Beta4Integrin', 'Q9HB63'})"
"frozenset({'Q99459', 'Q9H9A5', 'Alpha6Beta4Integrin'})"
"frozenset({'P62736', 'Alpha6Beta4Integrin', 'O43300'})"
"frozenset({'Q15154', 'Alpha6Beta4Integrin', 'Q504Q3'})"
"frozenset({'Q9BT67', 'Q7Z434', 'Alpha6Beta4Integrin'})"
"frozenset({'P01137', 'P50222', 'Alpha6Beta4Integrin'})"
"frozenset({'P31749', 'P36952', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P0R6', 'P40855', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O15265', 'O00468'})"
"frozenset({'Q96F46', 'Q8NFM7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q969G2', 'Q7L576', 'Alpha6Beta4Integrin'})"
"frozenset({'P11142', 'Alpha6Beta4Integrin', 'P36873'})"
"frozenset({'P62873', 'Q9NR12', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BXP5', 'Alpha6Beta4Integrin', 'Q96A26'})"
"frozenset({'Q9BZD4', 'O00233', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IVS2', 'Q01844', 'Alpha6Beta4Integrin'})"
