negatives
"('P38646', 'Q9Y4K3')"
"('P13569', 'P09496')"
"('P55209', 'P36957')"
"('Q9NRR5', 'O76054')"
"('P18031', 'P62993')"
"('P10301', 'P19174')"
"('P11836', 'Q15306')"
"('P51587', 'P04637')"
"('P27037', 'O15162')"
"('Q12965', 'O75886')"
"('P05112', 'Q8IU57')"
"('P24588', 'Q9HBX9')"
"('Q92990', 'Q86WV6')"
"('Q99683', 'Q06124')"
"('P01889', 'P61077')"
"('P26010', 'P12931')"
"('O15151', 'P0CG48')"
"('Q01892', 'Q01094')"
"('P22736', 'Q9Y5K6')"
"('P21802', 'Q6S5L8')"
"('O96019', 'Q6STE5')"
"('P05014', 'P17181')"
"('P01106', 'O60343')"
"('Q9UQM7', 'Q02641')"
"('P21796', 'Q14197')"
"('Q9H6E5', 'P62258')"
"('P22612', 'Q13370')"
"('P53779', 'O95644')"
"('P43403', 'Q92529')"
"('P23470', 'P27361')"
"('P67870', 'Q9Y261')"
"('Q15370', 'O14543')"
"('Q16778', 'P04908')"
"('P62158', 'Q04864')"
"('Q14CB8', 'Q9H4E5')"
"('Q9HB96', 'Q0VG06')"
"('Q9NZC3', 'P24385')"
"('P63151', 'Q9NWZ3')"
"('Q96JQ0', 'O15519')"
"('P14317', 'Q96PU8')"
"('Q9BUJ2', 'Q08211')"
"('Q15714', 'P01023')"
"('Q15654', 'Q12923')"
"('Q96L34', 'P27816')"
"('Q9UKW4', 'Q16695')"
"('Q66LE6', 'Q13522')"
"('P62633', 'P84090')"
"('P08651', 'P14672')"
"('P10398', 'P45983')"
"('Q52LW3', 'P60953')"
"('P35626', 'Q6IF42')"
"('Q9Y2Y4', 'P54253')"
"('P50995', 'P06703')"
"('Q04206', 'O15553')"
"('O43561', 'Q13588')"
"('P58876', 'Q9BTM1')"
"('O75943', 'Q99638')"
"('Q14653', 'P04406')"
"('Q7L5N1', 'Q99624')"
"('P22894', 'P08123')"
"('P67870', 'P01106')"
"('P43155', 'O60684')"
"('P01889', 'Q9UL25')"
"('P41273', 'Q07011')"
"('P67775', 'Q9UPR3')"
"('Q9UKV0', 'P20671')"
"('Q9BYQ4', 'Q12834')"
"('P12757', 'Q86Z02')"
"('Q9NYF0', 'P67870')"
"('Q05513', 'Q13501')"
"('Q71DI3', 'P83916')"
"('Q13315', 'Q14738')"
"('O00238', 'Q8N653')"
"('O14763', 'Q14790')"
"('P25440', 'Q9UBU8')"
"('Q9UET6', 'Q99873')"
"('Q07890', 'Q14247')"
"('Q92574', 'Q96N67')"
"('O43927', 'P51686')"
"('P61328', 'P09619')"
"('P22694', 'Q70SY1')"
"('Q9NWN3', 'P63208')"
"('P13010', 'Q92466')"
"('Q6WCQ1', 'P11142')"
"('O75116', 'P16157')"
"('P36894', 'O15264')"
"('P01566', 'Q13261')"
"('P42345', 'Q8TB45')"
"('Q00005', 'Q7Z417')"
"('Q92934', 'P60903')"
"('Q13526', 'Q9GZT6')"
"('O43741', 'Q05469')"
"('Q13257', 'O15479')"
"('P62081', 'P67870')"
"('P14416', 'P67775')"
"('P28074', 'Q9Y244')"
"('Q04917', 'Q9Y6X8')"
"('Q14197', 'Q9Y606')"
"('Q8WTQ7', 'P49238')"
"('P52597', 'Q13247')"
"('Q9Y4A5', 'O15265')"
"('P0C0S5', 'Q96RL1')"
"('P02768', 'Q92616')"
"('Q05519', 'P07910')"
"('P85298', 'P60763')"
"('P05019', 'P24593')"
"('P62310', 'P68104')"
"('Q14498', 'Q8N5F7')"
"('Q15459', 'Q9UBN6')"
"('P10916', 'P68032')"
"('O00716', 'Q14680')"
"('P27694', 'Q86U06')"
"('Q9H0H5', 'P61587')"
"('P60709', 'P14649')"
"('P32121', 'Q03167')"
"('P78423', 'O00574')"
"('Q8N392', 'P15153')"
"('O43639', 'O96013')"
"('O60232', 'P49368')"
"('P61619', 'Q9Y478')"
"('Q9UN73', 'P46108')"
"('Q92889', 'O15287')"
"('P40337', 'Q01105')"
"('Q14CB8', 'P61586')"
"('Q9UHD2', 'P50991')"
"('Q9UQB8', 'P40425')"
"('P28062', 'P10914')"
"('P22694', 'Q9NZT1')"
"('P14770', 'P48736')"
"('P40763', 'P41221')"
"('P10144', 'P34932')"
"('P03973', 'O15162')"
"('Q71DI3', 'P42226')"
"('P20226', 'O60671')"
"('Q96EB6', 'P05412')"
"('Q96N67', 'P84095')"
"('P51817', 'P15336')"
"('Q8WZ42', 'Q969Q1')"
"('Q12789', 'Q15910')"
"('P26992', 'P42702')"
"('Q15759', 'P99999')"
"('Q96LM6', 'Q93062')"
"('P22694', 'P13569')"
"('P37173', 'Q9Y4K3')"
"('P16333', 'Q92918')"
"('O43172', 'O75554')"
"('Q9H0R8', 'Q8WXU2')"
"('Q9NRR5', 'Q09470')"
"('P19438', 'P42574')"
"('Q9UNM6', 'Q9UKE5')"
"('407021', 'Q00534')"
"('P46379', 'O95405')"
"('Q9BQY4', 'Q9Y2Y4')"
"('Q86UW9', 'P31947')"
"('P19086', 'P21918')"
"('Q8IYB3', 'Q14103')"
"('P22087', 'O15519')"
"('Q9H2X3', 'P61812')"
"('B1A4H9', 'P42702')"
"('Q8TCC7', 'Q05513')"
"('Q9GZS1', 'Q9HC36')"
"('Q08945', 'Q9NR30')"
"('Q7Z333', 'P02647')"
"('P29350', 'P52735')"
"('Q15788', 'Q9Y2H0')"
"('P47914', 'Q07020')"
"('Q8WY91', 'Q9Y3A3')"
"('P30153', 'O75815')"
"('P60709', 'P19105')"
"('P15248', 'Q6UXL0')"
"('Q13547', 'P06400')"
"('O14508', 'Q8N6P7')"
"('P01106', 'Q93096')"
"('Q9P2H0', 'P21673')"
"('Q99880', 'Q8WUI4')"
"('Q9BUF5', 'Q13748')"
"('Q16548', 'Q14457')"
"('P51532', 'P08700')"
"('Q13137', 'Q96GM5')"
"('P42680', 'P07948')"
"('Q9P2R3', 'O95166')"
"('P43403', 'P98077')"
"('Q02750', 'Q16539')"
"('P16520', 'P08754')"
"('Q01094', 'Q13490')"
"('P49913', 'P16220')"
"('P20701', 'P46109')"
"('Q9NQ66', 'P49716')"
"('Q01844', 'Q01851')"
"('P35555', 'P05121')"
"('Q14596', 'Q9GZQ8')"
"('P07942', 'Q9UKX5')"
"('P32121', 'A6NH00')"
"('Q8NFH3', 'Q9BW27')"
"('P49711', 'O60216')"
"('P46940', 'Q9H0W8')"
"('Q13114', 'O00206')"
"('O95999', 'Q9UDY8')"
"('P62140', 'Q05397')"
"('P61981', 'Q9Y2W1')"
"('O00295', 'Q01844')"
"('O00221', 'P34931')"
"('O75381', 'Q96G25')"
"('P23467', 'P22681')"
"('O15269', 'Q9BUV8')"
"('O00411', 'Q9H5Q4')"
"('P21583', 'P11362')"
"('P12931', 'P14921')"
"('P23458', 'Q99683')"
"('Q13509', 'Q9Y6G9')"
"('Q9H3Q1', 'P60953')"
"('P31751', 'O95685')"
"('Q6R327', 'P62753')"
"('Q96PU8', 'Q99873')"
"('P39023', 'P35268')"
"('Q70UQ0', 'O14920')"
"('P09669', 'P21246')"
"('Q9UMX0', 'O00206')"
"('P01106', 'Q99729')"
"('O43187', 'P49768')"
"('Q9H0B6', 'P27348')"
"('Q09028', 'P38936')"
"('Q14164', 'P60983')"
"('O15027', 'Q99759')"
"('Q15834', 'P38936')"
"('P19387', 'P23193')"
"('P01889', 'Q06210')"
"('Q16600', 'O14965')"
"('P62891', 'Q07020')"
"('P31947', 'Q14103')"
"('P08700', 'P31785')"
"('Q13243', 'P55795')"
"('P27540', 'P06400')"
"('Q9H4L4', 'P62280')"
"('Q04724', 'Q03014')"
"('P16220', 'P10275')"
"('P19838', 'P50750')"
"('Q8TDB6', 'P62805')"
"('O94776', 'Q99459')"
"('P51610', 'P68431')"
"('P42330', 'Q96B02')"
"('Q969T4', 'P36897')"
"('P20333', 'O43592')"
"('P12931', 'P14317')"
"('P05067', 'P98170')"
"('P05014', 'P48357')"
"('P83881', 'P47914')"
"('P53794', 'Q8IY92')"
"('Q15149', 'Q9BZW7')"
"('Q9NYS7', 'Q15910')"
"('P04183', 'P56537')"
"('P84243', 'Q12888')"
"('Q6ZU52', 'P12956')"
"('O00487', 'P35609')"
"('Q9H7D0', 'P63000')"
"('O95619', 'Q9Y230')"
"('Q92841', 'P26651')"
"('Q9H832', 'Q75QN2')"
"('Q3ZCQ8', 'Q13239')"
"('Q13315', 'Q96BZ8')"
"('P12931', 'P61978')"
"('P55854', 'O14715')"
"('P78396', 'P63244')"
"('O75197', 'Q14332')"
"('Q01955', 'P13612')"
"('Q9UPS6', 'Q6DN03')"
"('P62314', 'P62308')"
"('Q13972', 'P01112')"
"('P42345', 'Q6PHR2')"
"('P01857', 'P35368')"
"('Q96LR5', 'Q9Y508')"
"('P16220', 'Q96T25')"
"('P45983', 'P16104')"
"('Q9UL18', 'Q15116')"
"('Q13547', 'Q9UBG7')"
"('Q8IWX8', 'Q70Z53')"
"('Q9Y250', 'Q9NW08')"
"('Q13469', 'P32519')"
"('P04049', 'P06400')"
"('Q71UM5', 'P20333')"
"('Q99828', 'Q99683')"
"('Q8N3R9', 'Q9BUF7')"
"('P63151', 'P19429')"
"('P08195', 'P00533')"
"('Q12905', 'Q09472')"
"('P14780', 'P18146')"
"('P06493', 'P98082')"
"('Q13084', 'P04350')"
"('P78537', 'Q8IYH5')"
"('P55345', 'P10276')"
"('O43167', 'Q9Y6E0')"
"('Q13547', 'Q8N108')"
"('P62158', 'Q9H1R3')"
"('O43353', 'P30049')"
"('O43164', 'O14933')"
"('Q14197', 'Q4U2R6')"
"('Q16584', 'O14920')"
"('Q96BK5', 'P62280')"
"('P10809', 'P63104')"
"('Q9UBY5', 'P63211')"
"('O43318', 'P61964')"
"('P28702', 'O75448')"
"('P24278', 'O60504')"
"('Q9UQ84', 'P40692')"
"('Q8WVC0', 'P02679')"
"('Q07020', 'P83881')"
"('P01241', 'Q9UM00')"
"('P18846', 'P78426')"
"('P01282', 'Q9NRR5')"
"('Q86Y39', 'O95178')"
"('P62266', 'P08865')"
"('P52735', 'Q8NB14')"
"('Q9NRR5', 'Q49A88')"
"('P11171', 'Q99623')"
"('P28907', 'P06239')"
"('P03891', 'O95182')"
"('P62993', 'O14492')"
"('P51681', 'Q93045')"
"('P04198', 'P33992')"
"('O95182', 'O95169')"
"('P39656', 'Q86WV6')"
"('P62424', 'P62829')"
"('Q9NP31', 'P16885')"
"('O95484', 'P57739')"
"('P25774', 'P23511')"
"('Q9Y3C7', 'P20073')"
"('Q8WYB5', 'O95696')"
"('Q9Y4A5', 'P01106')"
"('Q96GX9', 'Q6ZVK8')"
"('Q9NPD3', 'Q8TAE8')"
"('P26641', 'Q8WYK2')"
"('Q16873', 'P09917')"
"('O00401', 'Q15811')"
"('P01563', 'P19235')"
"('P11217', 'Q9UKS6')"
"('Q9UM13', 'Q9H1A4')"
"('P41159', 'P01589')"
"('P21462', 'O95467')"
"('O60262', 'P28482')"
"('O15379', 'Q9NWT6')"
"('Q8IZP0', 'Q9UQB8')"
"('P14923', 'P10586')"
"('Q15910', 'O43189')"
"('P40259', 'P43405')"
"('Q96Q07', 'Q9P0U4')"
"('P21802', 'Q01970')"
"('P18124', 'P62826')"
"('Q14164', 'P05455')"
"('O95359', 'Q92831')"
"('Q04771', 'Q53GS9')"
"('P02768', 'Q8ND99')"
"('O00422', 'P61981')"
"('P01106', 'Q9UQ84')"
"('P13747', 'P10966')"
"('P30050', 'P62910')"
"('Q99460', 'Q15008')"
"('Q02535', 'P19419')"
"('Q04912', 'P62136')"
"('P19878', 'O15264')"
"('Q6SJ96', 'P17947')"
"('O75530', 'P26010')"
"('P63104', 'P07195')"
"('Q29RF7', 'P01106')"
"('P01106', 'P15924')"
"('P42229', 'P11309')"
"('P0C0S5', 'Q9Y265')"
"('Q02878', 'P62913')"
"('Q92988', 'P00519')"
"('Q9Y2Q3', 'O95347')"
"('O15105', 'Q09472')"
"('Q08043', 'P68032')"
"('Q5D1E8', 'Q13155')"
"('Q13315', 'P08047')"
"('P55157', 'P78524')"
"('P05362', 'P26038')"
"('Q9UD71', '5512')"
"('P52756', 'Q01081')"
"('P61626', 'P40337')"
"('P21246', 'P42224')"
"('P10071', 'Q2M1P5')"
"('P67870', 'P04049')"
"('Q13233', 'P62241')"
"('P00751', 'P02768')"
"('P03372', 'P29474')"
"('Q969Q6', 'Q9BXT2')"
"('Q05519', 'Q13573')"
"('P45880', 'P99999')"
"('P40763', 'Q13163')"
"('O15379', 'O60675')"
"('O95619', 'P68133')"
"('P42773', 'Q9GZT6')"
"('Q9H9E3', 'Q8WTW3')"
"('Q03014', 'P06730')"
"('Q99759', 'Q13480')"
"('O60641', 'Q00653')"
"('P42224', 'Q06413')"
"('P05186', 'Q12933')"
"('Q99731', 'P51686')"
"('Q99590', 'Q07955')"
"('Q03060', 'P01375')"
"('P61586', 'P68032')"
"('P01889', 'P11940')"
"('Q15116', 'Q06124')"
"('P32455', 'P14316')"
"('Q13330', 'Q9H334')"
"('P18146', 'Q9BZE4')"
"('O75674', 'P49448')"
"('Q92597', 'Q969Y2')"
"('Q9NRM2', 'P26196')"
"('P61981', 'Q9HC77')"
"('Q13555', 'O95644')"
"('P18146', 'O95863')"
"('Q9UKE5', 'P25786')"
"('Q99496', 'P51668')"
"('Q15843', 'Q9BY44')"
"('Q8N6F1', 'Q96AP7')"
"('Q6PD62', 'P62875')"
"('Q9BQD3', 'O75558')"
"('P62829', 'Q07020')"
"('Q09028', 'P49450')"
"('Q02556', 'O95711')"
"('P22612', 'Q9BXT2')"
"('Q13315', 'P40938')"
"('Q92793', 'P06454')"
"('O43318', 'Q92918')"
"('Q9GZX7', 'Q02556')"
"('Q9Y3T9', 'P01106')"
"('P40225', 'Q99650')"
"('P38936', 'O15350')"
"('Q99873', 'O60232')"
"('Q8NG31', 'O43683')"
"('O76081', 'O95433')"
"('Q15834', 'Q8IYI6')"
"('P12980', 'Q6ZUT1')"
"('P01106', 'Q01650')"
"('P61964', 'P58876')"
"('Q8NF50', 'P84095')"
"('Q8N257', 'O15379')"
"('P62899', 'O43586')"
"('Q13487', 'P20226')"
"('Q14164', 'Q9H9B4')"
"('Q13233', 'P62837')"
"('Q04917', 'Q8TEW0')"
"('Q92905', 'Q99759')"
"('P63104', 'Q9UKX2')"
"('P34981', 'P50148')"
"('P10070', 'Q15915')"
"('Q9HCP0', 'P08151')"
"('Q15750', 'Q96AC6')"
"('O95484', 'O95832')"
"('P54257', 'Q8N8D1')"
"('Q01844', 'Q13418')"
"('Q9Y4K3', 'P25205')"
"('Q9NYQ7', 'P10914')"
"('O60437', 'Q9P2S5')"
"('Q8N2I9', 'Q7L5N1')"
"('Q96NZ8', 'P12645')"
"('O15520', 'P17948')"
"('P25774', 'P48382')"
"('Q13315', 'Q76L83')"
"('Q9UI36', 'Q13485')"
"('Q9NPF4', 'Q86YV9')"
"('P28482', 'O75030')"
"('Q9Y6M4', 'O14640')"
"('Q9UKX5', 'P12931')"
"('Q92831', 'P46531')"
"('Q13315', 'P42684')"
"('P27986', 'Q99836')"
"('P08107', 'O15111')"
"('P41220', 'P07858')"
"('Q04917', 'Q92574')"
"('Q05397', 'O15069')"
"('Q9NP77', 'Q8N3U4')"
"('P23508', 'P61247')"
"('P0CG48', 'P17252')"
"('P35626', 'P51677')"
"('P11182', 'Q9HCK5')"
"('O95391', 'Q8TBK6')"
"('Q9Y3C0', 'P21246')"
"('P35968', 'Q13155')"
"('Q9UK08', 'Q13698')"
"('Q9NPJ6', 'O95379')"
"('P12429', 'P04637')"
"('Q9H1H9', 'Q6VMQ6')"
"('Q13956', 'P35913')"
"('Q9H9H4', 'Q53EZ4')"
"('P13473', 'P00441')"
"('Q92538', 'P20333')"
"('Q7L2E3', 'Q9UKV8')"
"('Q9UD71', 'O95685')"
"('P04908', 'P19438')"
"('O95163', 'O95295')"
"('Q06124', 'P35568')"
"('P23258', 'Q99459')"
"('Q99459', 'Q96KP1')"
"('Q96RT1', 'Q9BTT6')"
"('Q13242', 'Q00839')"
"('P23258', 'Q13573')"
"('O94941', 'P68036')"
"('P16520', 'P42336')"
"('O15198', 'Q9H173')"
"('O75448', 'Q9BTT4')"
"('Q15562', 'Q9HCS4')"
"('P15056', 'P46940')"
"('P20273', 'P08575')"
"('P28068', 'P01903')"
"('P15391', 'P60033')"
"('P06241', 'O95886')"
"('P36873', 'P03372')"
"('Q9Y467', 'P08138')"
"('Q09028', 'Q12873')"
"('Q6ZVZ8', 'Q03164')"
"('Q9Y2Q3', 'P28340')"
"('P43364', 'Q96LM6')"
"('P98175', 'Q8IX12')"
"('O95182', 'O75438')"
"('Q92731', 'Q8IZL8')"
"('O00472', 'O95402')"
"('Q9UQM7', 'O00305')"
"('P23511', 'P25208')"
"('Q6GPH4', 'Q13489')"
"('P51617', 'Q99836')"
"('P19440', 'P43490')"
"('O15524', 'P62993')"
"('P46379', 'P33240')"
"('P04141', 'P01100')"
"('P01024', 'P48740')"
"('P45880', 'Q9H0C2')"
"('P51553', 'P50213')"
"('Q9H9L3', 'O00423')"
"('P09486', 'P37173')"
"('Q96ST3', 'Q92769')"
"('O00743', 'P60510')"
"('Q16531', 'Q16594')"
"('P22492', 'P83916')"
"('P78414', 'P16220')"
"('Q86UL8', 'Q08043')"
"('P55212', 'Q13077')"
"('P31749', 'O14558')"
"('P23142', 'Q9Y3A3')"
"('407042', 'P01106')"
"('O43399', 'Q969L2')"
"('P30101', 'P17301')"
"('P28827', 'P06239')"
"('Q13247', 'Q07021')"
"('P18054', 'P15144')"
"('P19838', 'P08107')"
"('O95433', 'O60885')"
"('P49716', 'Q9Y6K1')"
"('P49286', 'P50148')"
"('P31947', 'Q12788')"
"('Q9UQM7', 'P04049')"
"('P27635', 'Q02543')"
"('P25940', 'P26010')"
"('P21781', 'P06213')"
"('Q12933', 'Q7Z3B3')"
"('P04439', 'Q13241')"
"('P62829', 'Q13546')"
"('Q9UBD3', 'P32302')"
"('P68104', 'O60828')"
"('Q6PGQ7', 'Q99689')"
"('Q99704', 'P26010')"
"('Q12772', 'P27361')"
"('P28331', 'O75489')"
"('P49674', 'Q9GZV5')"
"('Q13619', 'P68431')"
"('P41182', 'O14497')"
"('P78545', 'P26639')"
"('Q13555', 'P27482')"
"('P61626', 'P50053')"
"('Q08170', 'Q13242')"
"('P62906', 'Q02878')"
"('Q4G0J3', 'Q8IY92')"
"('Q13616', 'P56645')"
"('Q13625', 'P68104')"
"('Q15306', 'P01584')"
"('Q16665', 'Q07820')"
"('Q8IUQ4', 'Q15819')"
"('O75376', 'Q86Y13')"
"('Q15813', 'P68366')"
"('Q15257', 'O43521')"
"('Q8IUD2', 'P61981')"
"('Q13347', 'P01243')"
"('Q9HCM4', 'Q9H8Y8')"
"('Q08752', 'Q9UM73')"
"('Q9NRD5', 'P31645')"
"('P15374', 'Q9H078')"
"('Q99665', 'P52333')"
"('Q96RT1', 'Q9H2G2')"
"('P21462', 'P50148')"
"('Q00005', 'P15924')"
"('P14678', 'P67870')"
"('Q9UEF7', 'P41221')"
"('P08254', 'P01033')"
"('Q13794', 'Q96IK5')"
"('P42345', 'P31749')"
"('P35372', 'O60262')"
"('P78545', 'Q15323')"
"('P46459', 'Q969Q5')"
"('P31946', 'P55916')"
"('Q96PU5', 'P51168')"
"('P62987', 'P62829')"
"('P23258', 'Q9NY65')"
"('P40225', 'P16871')"
"('Q15013', 'P51681')"
"('Q13315', 'Q9H825')"
"('P27348', 'Q9H0B6')"
"('P50570', 'Q8IVF5')"
"('P61254', 'O43390')"
"('Q9UMR2', 'O96024')"
"('Q9Y297', 'Q13127')"
"('P14635', 'P30304')"
"('P20073', 'P55084')"
"('O60264', 'Q9UBC5')"
"('Q00577', 'P67809')"
"('P14784', 'P61586')"
"('P18074', 'Q6ZYL4')"
"('P20138', 'P19174')"
"('O75369', 'P16144')"
"('Q92905', 'Q96JQ0')"
"('Q8TDR0', 'Q96KQ4')"
"('Q9H0B6', 'P38432')"
"('P62140', 'P16220')"
"('P07947', 'O14745')"
"('P38646', 'P05230')"
"('Q401N2', 'Q92973')"
"('Q12834', 'Q9UJX4')"
"('P03915', 'O43678')"
"('P35225', 'Q99665')"
"('Q9UGI8', 'Q9Y615')"
"('Q6UXH1', 'Q9UBS4')"
"('P12830', 'O43707')"
"('O96019', 'Q8NFD5')"
"('P28340', 'P06241')"
"('O95257', 'Q12824')"
"('Q9HB71', 'P19532')"
"('Q9P2S5', 'P58107')"
"('Q99570', 'P42772')"
"('Q12959', 'Q15334')"
"('P26599', 'A0JLT2')"
"('Q92985', 'Q13568')"
"('Q13177', 'Q13233')"
"('P08047', 'P13501')"
"('P56556', 'O43677')"
"('Q96ST3', 'O75376')"
"('Q9BTA9', 'Q8TDR0')"
"('P01566', 'P42701')"
"('P40225', 'P24394')"
"('P68400', 'Q08945')"
"('Q14571', 'Q13555')"
"('Q14164', 'P04350')"
"('Q13285', 'P06241')"
"('Q92793', 'P98177')"
"('Q99708', 'Q13526')"
"('Q9BVC4', 'P49815')"
"('O75528', 'Q86TJ2')"
"('P62877', 'Q13620')"
"('P18146', 'P11802')"
"('Q6DKJ4', 'O14640')"
"('P51610', 'P78537')"
"('Q13485', 'Q13569')"
"('O00463', 'Q92956')"
"('O15198', 'Q8NAM6')"
"('Q9NSE2', 'P00533')"
"('P06400', 'Q13574')"
"('Q9NQR1', 'Q15672')"
"('Q9NWZ3', 'Q9NYJ8')"
"('Q05397', 'Q13546')"
"('P35368', 'Q96SB3')"
"('O96013', 'P04049')"
"('P51532', 'P04637')"
"('Q13191', 'P43405')"
"('P35609', 'Q99700')"
"('Q9UHX1', 'Q16851')"
"('O43900', 'P12931')"
"('P20073', 'O15123')"
"('P40818', 'P31947')"
"('P31947', 'Q5EBL8')"
"('P14373', 'P51668')"
"('P14678', 'O95400')"
"('Q13153', 'Q99592')"
"('P01588', 'P16333')"
"('O15264', 'P29966')"
"('P08069', 'P63092')"
"('P41279', 'O15111')"
"('Q8NFH5', 'Q9BW27')"
"('P50454', 'Q6UXH1')"
"('P06756', 'Q14315')"
"('P78527', 'P49736')"
"('Q13123', 'Q70Z53')"
"('Q9GZR7', 'Q9P2S2')"
"('Q92793', 'P04839')"
"('P18124', 'P05388')"
"('P55957', 'Q04724')"
"('P12956', 'P01106')"
"('P55055', 'Q15596')"
"('P03886', 'O95299')"
"('P62714', 'Q9NY47')"
"('Q6NZ67', 'P23258')"
"('O15127', 'O00161')"
"('Q00005', 'P14923')"
"('Q13330', 'Q16665')"
"('O14640', 'Q9Y608')"
"('P05019', 'P04626')"
"('O43182', 'Q7L0Q8')"
"('Q9Y244', 'P60900')"
"('Q12789', 'Q9Y5Q8')"
"('Q96B02', 'Q6PCD5')"
"('P10966', 'P30450')"
"('P16104', 'O15379')"
"('P52566', 'P08138')"
"('Q9ULV8', 'Q8IU57')"
"('Q01780', 'Q9NPD3')"
"('Q14689', 'P12643')"
"('Q9Y576', 'Q9UBF6')"
"('O43255', 'Q9ULW0')"
"('Q9UBQ7', 'O15116')"
"('Q15796', 'Q9GZV5')"
"('P04406', 'P08238')"
"('Q14696', 'P36543')"
"('Q6ZSY5', 'P13807')"
"('P46777', 'Q9Y3U8')"
"('Q9BQA1', 'O43670')"
"('P63092', 'P61952')"
"('O14920', 'P32121')"
"('Q13554', 'P62158')"
"('P02792', 'Q12852')"
"('P35226', 'P0CG48')"
"('Q9NRH1', 'O15069')"
"('Q96B02', 'Q9UBS8')"
"('Q99879', 'Q9P0M6')"
"('O15392', 'Q53HL2')"
"('Q14627', 'P23458')"
"('Q16512', 'Q13164')"
"('P49407', 'P25101')"
"('Q9P2N4', 'Q01094')"
"('Q03188', 'Q9UER7')"
"('Q9UL18', 'P05141')"
"('P78396', 'Q9UJZ1')"
"('P24071', 'O75015')"
"('P07202', 'Q13261')"
"('P56279', 'Q9Y243')"
"('P49759', 'Q9BZL1')"
"('Q9H3N8', 'Q92831')"
"('P62714', 'Q4G163')"
"('P13569', 'Q14444')"
"('Q12972', 'Q9UKR5')"
"('P62837', 'Q9Y4L5')"
"('Q86YP4', 'P01137')"
"('P36897', 'Q8TAX0')"
"('P63104', 'Q04912')"
"('Q13573', 'O75821')"
"('Q04206', 'P50990')"
"('P13569', 'Q7Z2H8')"
"('Q99523', 'Q9UJY5')"
"('Q9UJX2', 'P42771')"
"('Q5UIP0', 'Q9Y2M5')"
"('Q9H2G2', 'Q13023')"
"('P52294', 'Q13573')"
"('P30153', 'Q96Q15')"
"('Q14240', 'Q7L2H7')"
"('P31151', 'Q01469')"
"('Q9Y619', 'P33992')"
"('P16871', 'Q13509')"
"('O00487', 'Q8NDT2')"
"('Q9NV70', 'Q9BZD4')"
"('Q12986', 'Q00839')"
"('P54259', 'Q01844')"
"('Q96HS1', 'O00429')"
"('P10828', 'Q86YW9')"
"('P16144', 'P18054')"
"('Q9H2G2', 'Q96RT1')"
"('P49459', 'Q00987')"
"('P45983', 'P49918')"
"('P28074', 'Q9HC24')"
"('Q8NEM2', 'P31947')"
"('P26006', 'Q13797')"
"('O75843', 'P56377')"
"('Q9HCE7', 'Q9GZS3')"
"('P40429', 'P62424')"
"('O75344', 'P07900')"
"('Q13535', 'Q9Y2X9')"
"('Q16539', 'Q6IN85')"
"('P62633', 'P61254')"
"('Q8IZI9', 'Q9HBE5')"
"('Q9UJZ1', 'Q14197')"
"('P45973', 'P46100')"
"('Q13202', 'Q15759')"
"('O43741', 'O95822')"
"('Q99459', 'O15297')"
"('407040', 'Q04721')"
"('P50395', 'Q9GZN1')"
"('P55854', 'Q5T5X7')"
"('Q99570', 'Q92622')"
"('P22681', 'Q96J02')"
"('Q8TD86', 'Q01064')"
"('P18146', 'Q9UIF9')"
"('Q9NVD7', 'P08514')"
"('Q9BUZ4', 'O14744')"
"('Q15369', 'Q96S21')"
"('Q13823', 'Q9NR30')"
"('Q9UL26', 'Q8NEU8')"
"('Q99759', 'Q9UDY4')"
"('P07949', 'Q9Y371')"
"('Q9Y6K9', 'Q96Q05')"
"('P27348', 'P16403')"
"('P06239', 'Q9NP31')"
"('Q9Y5I7', 'Q07157')"
"('Q15759', 'P05412')"
"('O14776', 'P18146')"
"('P62917', 'P61254')"
"('Q9BVP2', 'Q9UL18')"
"('P46952', 'P52565')"
"('P24941', 'Q53HC9')"
"('Q02241', 'P31946')"
"('Q9H8Y8', 'Q9H0F5')"
"('Q04446', 'P52209')"
"('A4D0S4', 'Q9UKX5')"
"('Q04637', 'P38919')"
"('Q9Y4E8', 'O15379')"
"('Q13573', 'O75400')"
"('Q9HD43', 'P06239')"
"('P0CG48', 'Q9UK41')"
"('P09651', 'P31942')"
"('P03915', 'P03905')"
"('Q96AX2', 'P20339')"
"('Q96Q15', 'Q14240')"
"('P21333', 'P60709')"
"('P63104', 'Q7Z401')"
"('O75528', 'P17097')"
"('Q13315', 'Q9ULV3')"
"('P06702', 'P15153')"
"('Q8NHZ8', 'Q9UM11')"
"('O00182', 'P04114')"
"('P04350', 'P19838')"
"('Q96AW1', 'P35372')"
"('P62877', 'P46527')"
"('P15090', 'P08670')"
"('Q99873', 'P04637')"
"('Q12933', 'P54652')"
"('P06734', 'P20702')"
"('P05771', 'Q9H0R8')"
"('Q9UBX3', 'Q9HCK5')"
"('O00327', 'P19793')"
"('Q8IZJ0', 'Q8IU57')"
"('P00519', 'Q6S5L8')"
"('Q13573', 'Q9UBP9')"
"('P40429', 'P49207')"
"('Q92609', 'Q86T03')"
"('P08473', 'Q92597')"
"('O95163', 'Q9Y6M9')"
"('Q13573', 'Q14008')"
"('Q8WUD1', 'Q13485')"
"('Q9UKE5', 'Q9HB71')"
"('Q14525', 'O95999')"
"('Q14653', 'P05014')"
"('P07602', 'P63104')"
"('P05013', 'Q8IU57')"
"('P22694', 'P48549')"
