negatives
"('Q8NAT1', 'P05067')"
"('Q53EZ4', 'Q49A88')"
"('O43240', 'A6NIJ9')"
"('P49848', 'O95402')"
"('P17612', 'Q92837')"
"('P51116', 'Q15041')"
"('Q9UMS4', 'Q04323')"
"('P48995', 'P20591')"
"('Q12996', 'P09651')"
"('P46783', 'P62241')"
"('P29323', 'P10301')"
"('Q8IZT6', 'P06899')"
"('P23229', 'Q13635')"
"('P15880', 'O95817')"
"('Q13620', 'Q9BQE3')"
"('Q96DV4', 'P82933')"
"('Q13148', 'Q8IZH2')"
"('Q8IYI6', 'Q14147')"
"('Q8N474', 'O00744')"
"('P49407', 'Q9BQA1')"
"('Q7Z6Z7', 'P04181')"
"('Q96SB4', 'Q9NQ29')"
"('Q03135', 'P35968')"
"('P43626', 'P30504')"
"('Q86VR2', 'Q9BSR8')"
"('P42771', 'P30480')"
"('O95219', 'Q5VWJ9')"
"('O95983', 'P19012')"
"('P26599', 'Q9Y5L4')"
"('Q8IWL3', 'O43181')"
"('Q9H497', 'P11021')"
"('Q9UGJ1', 'Q8NA61')"
"('Q9BPU9', 'O14558')"
"('Q9UER7', 'Q9UM63')"
"('P22736', 'Q12774')"
"('Q9H9D4', 'Q3KQV3')"
"('P04637', 'O14641')"
"('Q7L5N1', 'O95678')"
"('O75145', 'P23468')"
"('P45974', 'Q8WZ73')"
"('Q5BJF6', 'Q8WWI1')"
"('Q15744', 'P15976')"
"('Q6PI77', 'O43741')"
"('Q9BRK4', 'Q9UQ90')"
"('Q9UBS0', 'P68133')"
"('Q9NZ01', 'Q96G23')"
"('Q8WUW1', 'Q8N1N4')"
"('Q12906', 'P55795')"
"('Q9NQS7', 'Q5FBB7')"
"('P62263', 'P84098')"
"('P36871', 'P07195')"
"('Q96IY1', 'O95229')"
"('P06454', 'P08243')"
"('Q9BYN8', 'Q9HCE1')"
"('P60763', 'Q9NQU5')"
"('Q6P1J9', 'P08670')"
"('P30039', 'Q5JST6')"
"('P62714', 'P03372')"
"('O14925', 'Q3ZCQ8')"
"('Q14653', 'Q9UII4')"
"('P35244', 'O60930')"
"('P62491', 'P50395')"
"('P05165', 'Q96PC2')"
"('A5A3E0', 'O00602')"
"('P15090', 'Q92882')"
"('P51149', 'P01889')"
"('Q92692', 'Q16659')"
"('P31749', 'P62987')"
"('Q86WT6', 'P43358')"
"('P27635', 'P52298')"
"('P46821', 'O75530')"
"('Q13526', 'Q15131')"
"('P18545', 'P12931')"
"('Q9Y573', 'Q9Y2M5')"
"('Q01105', 'P26639')"
"('P07237', 'P10636')"
"('Q12774', 'Q96EW2')"
"('Q53H12', 'O95219')"
"('Q9BUH8', 'Q8IYX7')"
"('Q8N137', 'Q9BY89')"
"('O75832', 'P62333')"
"('Q9UPE1', 'Q8TDN6')"
"('Q9BXM7', 'Q6R327')"
"('P22607', 'Q99963')"
"('Q6PCE3', 'P54368')"
"('P19544', 'P13501')"
"('O60739', 'P24534')"
"('P43360', 'Q04637')"
"('P13612', 'P24666')"
"('P17066', 'Q7L8A9')"
"('P07306', 'P15822')"
"('P61218', 'Q15025')"
"('Q02878', 'P27694')"
"('Q8IW50', 'Q14181')"
"('P04004', 'P55040')"
"('Q9BY32', 'P35237')"
"('O00483', 'Q96CU9')"
"('Q02246', 'O43318')"
"('P04141', 'P17096')"
"('O00499', 'Q8TB24')"
"('P68431', 'O75376')"
"('P60033', 'P35268')"
"('P53041', 'P27708')"
"('Q9NZD8', 'O60504')"
"('Q12840', 'Q92731')"
"('Q5SWW7', 'Q96K80')"
"('O94830', 'P53618')"
"('Q16778', 'Q96DB2')"
"('Q16891', 'Q9H169')"
"('P04637', 'Q99848')"
"('Q9Y3B8', 'P60660')"
"('O14976', 'O00443')"
"('Q9NQS1', 'O14727')"
"('Q8N163', 'O75935')"
"('Q9H1D9', 'Q9NW13')"
"('O75947', 'Q96D53')"
"('Q92734', 'P60520')"
"('Q9P2E9', 'P42166')"
"('O75964', 'Q5S007')"
"('Q9H8W5', 'Q9Y2X8')"
"('Q9Y618', 'P25963')"
"('Q9P2P5', 'Q9NW13')"
"('P62877', 'Q96LR5')"
"('Q6PJQ5', 'P28066')"
"('O75533', 'P62316')"
"('P20719', 'P04637')"
"('P43405', 'Q9ULZ3')"
"('Q9UPN4', 'Q8IYE1')"
"('P52907', 'Q9Y608')"
"('Q07020', 'Q15185')"
"('Q5UIP0', 'Q02363')"
"('Q14627', 'P31749')"
"('Q15084', 'P04843')"
"('Q38SD2', 'Q9P013')"
"('Q8WV44', 'O75290')"
"('Q9C002', 'P56385')"
"('O75478', 'Q8WWY3')"
"('Q9Y3S2', 'Q9UMX1')"
"('P10275', 'P24864')"
"('Q9NV66', 'Q96T76')"
"('P60520', 'Q99880')"
"('P16403', 'Q96DX5')"
"('Q6UWR7', 'Q8IUI8')"
"('O14944', 'P09382')"
"('P08238', 'Q9HC78')"
"('Q96B97', 'Q8TBC3')"
"('O60232', 'P51946')"
"('P31749', 'P51617')"
"('P19338', 'Q14676')"
"('Q9BQ70', 'Q9BYD3')"
"('Q08752', 'P57723')"
"('Q03933', 'Q86X45')"
"('P30566', 'Q13107')"
"('Q15393', 'P11308')"
"('Q9UJX5', 'P01210')"
"('Q9BXC9', 'Q99750')"
"('Q15223', 'P11362')"
"('Q9NZS9', 'P51668')"
"('Q13618', 'O43390')"
"('Q8N137', 'Q13011')"
"('P46778', 'Q6NUN9')"
"('Q9NR12', 'P49910')"
"('Q8WUK0', 'P23786')"
"('P08574', 'Q9BYD3')"
"('Q8N4U5', 'Q71U36')"
"('O43542', 'Q5T4S7')"
"('Q7Z434', 'Q9BQ95')"
"('P33527', 'Q13114')"
"('O00267', 'Q7Z713')"
"('P49959', 'P42167')"
"('Q92854', 'P46108')"
"('P26885', 'P09104')"
"('P34897', 'Q9H8W4')"
"('Q15427', 'Q96MX3')"
"('P62906', 'Q99496')"
"('Q96EL3', 'Q9H0E7')"
"('O43823', 'Q5S007')"
"('P05412', 'P15336')"
"('O00255', 'Q9NQW6')"
"('P12830', 'Q9UI95')"
"('Q13099', 'Q96G04')"
"('Q9NVX0', 'P46777')"
"('Q14181', 'Q99612')"
"('Q9HC98', 'Q8IYA8')"
"('P62820', 'Q86Y82')"
"('O76096', 'P07711')"
"('P18146', 'Q93096')"
"('P02042', 'P15941')"
"('Q9BTT4', 'Q6P2C8')"
"('Q9BUL9', 'Q99575')"
"('P15502', 'O95967')"
"('Q96MN2', 'P07900')"
"('Q07666', 'Q13546')"
"('O95685', 'Q16821')"
"('Q9Y4K3', 'Q14164')"
"('Q08426', 'Q99816')"
"('P19012', 'Q8N3L3')"
"('Q9H0R8', 'P15880')"
"('Q8IXI1', 'Q9P286')"
"('Q7L5N1', 'Q9H4M3')"
"('P48061', 'P27487')"
"('Q96ST3', 'Q8N5A5')"
"('P30153', 'Q6PJG9')"
"('Q16594', 'P62805')"
"('Q9P2D3', 'O14965')"
"('P02452', 'Q9NPY3')"
"('Q14CS0', 'Q96JH7')"
"('P01857', 'Q8IZC4')"
"('P13611', 'P10915')"
"('Q13867', 'P49736')"
"('Q86X19', 'Q92609')"
"('O43439', 'O75376')"
"('Q15293', 'Q9H009')"
"('P06733', 'O95793')"
"('P59990', 'Q13087')"
"('Q8TEY7', 'Q14457')"
"('Q9NZZ3', 'Q05481')"
"('A8MT69', 'O15360')"
"('Q5T753', 'P60329')"
"('P13569', 'P55060')"
"('Q52LG2', 'Q9BYR8')"
"('Q9BSC4', 'Q9Y4C8')"
"('Q9HCE1', 'Q15034')"
"('P60033', 'Q05707')"
"('O15105', 'Q96RT1')"
"('O43167', 'P32320')"
"('O43896', 'Q9Y6N6')"
"('Q92624', 'Q8TEB7')"
"('Q13643', 'Q5JZY3')"
"('P28062', 'P62195')"
"('Q13616', 'P26639')"
"('Q92979', 'Q9P2P5')"
"('Q04206', 'P01584')"
"('P11441', 'P84090')"
"('P43897', 'O96019')"
"('Q93034', 'O14512')"
"('O95751', 'Q96GM5')"
"('Q9BZE1', 'Q9H9J2')"
"('Q9UM11', 'Q9H467')"
"('O00175', 'P49682')"
"('Q9HAU5', 'P14174')"
"('P12814', 'P50552')"
"('P0DMV9', 'O00635')"
"('Q8N9W4', 'Q01850')"
"('Q9H172', 'Q96EQ0')"
"('Q9BZW7', 'P08670')"
"('Q13148', 'P40337')"
"('P61081', 'P46934')"
"('P49247', 'Q9NQA5')"
"('Q9H0F6', 'Q9HC29')"
"('Q15262', 'Q16787')"
"('Q9Y2D5', 'Q92905')"
"('P83916', 'P04792')"
"('P27348', 'Q15843')"
"('Q9BVP2', 'P36578')"
"('O14745', 'Q6ZVD8')"
"('P10321', 'Q99706')"
"('Q96CX3', 'Q9UNX3')"
"('P24534', 'P01889')"
"('Q9NPQ8', 'O00560')"
"('Q16637', 'Q99496')"
"('Q96JC9', 'Q9BVG3')"
"('Q15008', 'P78545')"
"('O75771', 'Q7Z6Z7')"
"('Q14145', 'Q8N573')"
"('P60900', 'P13612')"
"('P24539', 'O60779')"
"('Q13885', 'Q9NPQ8')"
"('P17612', 'Q08828')"
"('Q99853', 'Q4U2R6')"
"('O14980', 'P02751')"
"('P60891', 'Q96S44')"
"('Q8N9N5', 'Q9NYB0')"
"('P48729', 'P30304')"
"('Q13137', 'Q9Y4E5')"
"('Q9BVT8', 'P23258')"
"('O43837', 'Q9Y5J5')"
"('O00232', 'Q13616')"
"('Q96IK5', 'P17900')"
"('Q9P2N7', 'Q14134')"
"('P15313', 'O94832')"
"('Q8N1N5', 'Q9H8V3')"
"('P22612', 'Q9NQN1')"
"('Q9HAT2', 'O60462')"
"('P30039', 'Q9UGI0')"
"('Q9Y2I6', 'Q9UM11')"
"('Q13976', 'P05023')"
"('Q16186', 'P00533')"
"('Q9H5F2', 'Q52LG2')"
"('Q6UVJ0', 'O43303')"
"('Q9UHV9', 'P23508')"
"('P02776', 'P25025')"
"('Q9BTW9', 'P52655')"
"('P13569', 'Q9BWM7')"
"('Q13465', 'Q92831')"
"('Q09472', 'Q9Y2D1')"
"('Q9ULX6', 'Q08211')"
"('Q96HD1', 'P22314')"
"('Q9BQY4', 'O75553')"
"('Q8TF42', 'Q5XKE5')"
"('P07195', 'P00966')"
"('P62487', 'Q15648')"
"('Q9UHV7', 'P19793')"
"('P43119', 'O43924')"
"('Q69YU3', 'Q13009')"
"('Q9P2R7', 'Q9UBQ7')"
"('Q8IWL3', 'P28340')"
"('P05114', 'Q02539')"
"('Q96EP5', 'P68036')"
"('Q8TF65', 'P21246')"
"('Q86V81', 'Q13485')"
"('O95831', 'Q92905')"
"('P07358', 'P07360')"
"('Q15717', 'A6NDU8')"
"('O15156', 'Q99496')"
"('Q9BQS8', 'Q7L1V2')"
"('Q9Y5Y3', 'P00519')"
"('P63167', 'Q8TB52')"
"('P12956', 'P15498')"
"('Q15910', 'O75367')"
"('P18124', 'P55769')"
"('Q9H0E2', 'Q86Y13')"
"('P35579', 'P34947')"
"('O15162', 'P60411')"
"('Q92466', 'P61201')"
"('O75382', 'P19474')"
"('P57078', 'Q9BZQ6')"
"('P50991', 'Q96DB2')"
"('P55157', 'Q9BYB0')"
"('P35443', 'P08514')"
"('P19875', 'P61073')"
"('P39687', 'P48431')"
"('O14980', 'P50991')"
"('P57735', 'Q8N465')"
"('P01567', 'Q01113')"
"('O14654', 'P62258')"
"('P06733', 'P15311')"
"('P35222', 'Q16531')"
"('Q9UNH7', 'O60346')"
"('Q13618', 'P17812')"
"('Q13588', 'Q93062')"
"('P61224', 'P01023')"
"('P82664', 'P09651')"
"('P30480', 'P20340')"
"('O95347', 'Q99459')"
"('O94817', 'Q9BUJ2')"
"('Q01844', 'Q9HAH7')"
"('Q9BQE3', 'Q9Y5M8')"
"('P22314', 'Q9BXS5')"
"('P22694', 'P63096')"
"('Q9UBD5', 'Q13415')"
"('Q9BU61', 'Q16633')"
"('P98170', 'P62979')"
"('O43615', 'Q9NX40')"
"('Q6P1W5', 'Q5TA81')"
"('Q13043', 'Q969H4')"
"('P04629', 'Q7L7X3')"
"('Q9Y508', 'Q14657')"
"('Q16819', 'P01282')"
"('P12830', 'Q15149')"
"('P35244', 'Q86WJ1')"
"('Q12874', 'Q14203')"
"('Q9UGU5', 'Q6P3W2')"
"('P69905', 'P13612')"
"('Q7Z589', 'P51587')"
"('P43628', 'Q29960')"
"('O15400', 'Q5SQN1')"
"('Q96RL1', 'Q9BS26')"
"('P78406', 'Q13618')"
"('Q9P0T4', 'O76011')"
"('P04075', 'Q9UQL6')"
"('Q15418', 'Q9UQK1')"
"('Q9NTM9', 'Q9NZD8')"
"('P26599', 'P05067')"
"('O95714', 'P55884')"
"('Q15029', 'Q9BZL1')"
"('O60716', 'P06239')"
"('Q9H009', 'Q13765')"
"('Q16635', 'P06756')"
"('P35914', 'Q05932')"
"('Q15717', 'Q9UGV2')"
"('Q6PD62', 'Q562R1')"
"('Q13573', 'Q7Z5K2')"
"('Q96EB6', 'Q12873')"
"('O14818', 'Q9Y5K5')"
"('Q9GZM8', 'Q6ZU80')"
"('Q9Y6Q5', 'Q92597')"
"('P04637', 'O75376')"
"('O60568', 'O60504')"
"('P61326', 'Q8N1I0')"
"('P67775', 'Q9H7D0')"
"('O15226', 'Q9H0D6')"
"('P07947', 'P06241')"
"('P02751', 'O60506')"
"('Q96NL6', 'Q9BW83')"
"('P45973', 'P67775')"
"('Q13347', 'Q5RKV6')"
"('P06400', 'Q9UKV8')"
"('Q8TF46', 'P42285')"
"('O75143', 'P05067')"
"('Q9HB40', 'Q71U36')"
"('P02545', 'Q9Y5P6')"
"('O43143', 'O60832')"
"('O60508', 'Q13573')"
"('Q96KB5', 'Q9UBU9')"
"('Q9NQW7', 'Q9H773')"
"('Q96DI7', 'O75533')"
"('Q86UC2', 'Q9C005')"
"('P05387', 'Q6NUN9')"
"('Q10567', 'P56377')"
"('P01009', 'P17538')"
"('Q15543', 'O14980')"
"('P05362', 'P62277')"
"('P00519', 'O94875')"
"('P05141', 'P62266')"
"('Q13555', 'Q8IZS8')"
"('Q3T8J9', 'P18084')"
"('Q9UHX1', 'Q01167')"
"('P11171', 'O14818')"
"('Q99459', 'Q9UHB9')"
"('A0MZ66', 'Q9NPJ6')"
"('P12277', 'Q9P2G9')"
"('P0DP25', 'O60739')"
"('Q02218', 'Q99714')"
"('Q13748', 'Q8NCD3')"
"('Q8IXM6', 'A2A2Y4')"
"('Q9H9S0', 'Q9C005')"
"('P0DP25', 'O15078')"
"('P05388', 'Q9Y3A4')"
"('Q49AH0', 'Q9HD34')"
"('Q96K31', 'Q9UM47')"
"('Q96JK9', 'Q12986')"
"('P40855', 'P60981')"
"('Q9H5J8', 'Q969Q0')"
"('P26927', 'Q8WWW0')"
"('Q8TBB1', 'O43182')"
"('Q96SQ5', 'O15198')"
"('Q16543', 'Q92900')"
"('Q7L5N1', 'Q96MP8')"
"('P05198', 'O75821')"
"('P22612', 'P03372')"
"('P61978', 'P15927')"
"('Q6KF10', 'P36894')"
"('Q8N148', 'Q9P2W3')"
"('Q86VP6', 'Q5JNZ5')"
"('P40337', 'Q9Y3C8')"
"('Q9NRD5', 'P05129')"
"('Q504Q3', 'Q8NDV7')"
"('P05067', 'Q7L592')"
"('P62318', 'Q71UM5')"
"('P34932', 'P31689')"
"('Q9NWS6', 'Q96BJ3')"
"('Q5TA79', 'Q9BYR7')"
"('P55011', 'O60266')"
"('P51617', 'O15111')"
"('O00165', 'Q12860')"
"('P04350', 'Q92731')"
"('Q00610', 'P41279')"
"('Q14204', 'Q8WUM0')"
"('Q9C0C9', 'Q14181')"
"('Q9HC38', 'P22736')"
"('P29966', 'P24941')"
"('Q9UI10', 'Q9NR50')"
"('Q6P1J9', 'P80303')"
"('Q9BXB1', 'P41252')"
"('Q8NBT0', 'Q9P270')"
"('Q9P032', 'O75251')"
"('Q8TDR0', 'O95347')"
"('O60832', 'Q9BVP2')"
"('Q92734', 'Q8NDC0')"
"('P27348', 'O95793')"
"('P14923', 'Q9Y6N8')"
"('Q9NZ42', 'O43889')"
"('P55036', 'Q9UMX0')"
"('O95299', 'O95178')"
"('P33908', 'Q03405')"
"('P04406', 'Q86U42')"
"('P20036', 'P48645')"
"('Q16666', 'P38432')"
"('Q71DI3', 'O95347')"
"('Q6XZF7', 'P51911')"
"('P51571', 'P22695')"
"('Q96EL3', 'P01106')"
"('P35579', 'P05161')"
"('Q96FV9', 'Q13573')"
"('P11488', 'Q13432')"
"('Q8NEC5', 'Q9UPG8')"
"('Q12816', 'Q13895')"
"('O14818', 'Q16401')"
"('Q460N5', 'P06734')"
"('O15519', 'Q09472')"
"('P35998', 'P61289')"
"('P20839', 'Q5MJ09')"
"('Q16186', 'Q06830')"
"('Q9UPI3', 'P34897')"
"('Q8NHY2', 'P51668')"
"('Q9P1Z9', 'P35221')"
"('Q96LJ8', 'Q9BW83')"
"('O00241', 'Q5TFQ8')"
"('Q9HA38', 'Q5H9S7')"
"('O95433', 'Q9HB07')"
"('Q13617', 'Q8NFD5')"
"('P56524', 'Q9NRR6')"
"('Q99496', 'O76031')"
"('P29590', 'Q9H0N5')"
"('Q9UHR4', 'Q5JU85')"
"('Q8N0Z6', 'Q3SY69')"
"('P10275', 'P24385')"
"('Q9Y265', 'Q9BVK6')"
"('P06239', 'O60496')"
"('O60684', 'Q14974')"
"('O75360', 'Q86V21')"
"('Q9P2P5', 'P49815')"
"('Q9BRJ7', 'Q13618')"
"('Q9UBG0', 'Q8TDY2')"
"('Q13573', 'Q14683')"
"('P12004', 'Q9NPF5')"
"('Q15750', 'P62877')"
"('P51687', 'Q9H609')"
"('Q9NR28', 'P25942')"
"('P10275', 'Q8IZW8')"
"('O94988', 'Q9NZ71')"
"('Q9BSW7', 'P50222')"
"('P24941', 'Q9BXR0')"
"('Q13286', 'P51617')"
"('Q9UII4', 'P27635')"
"('Q8TD26', 'P10398')"
"('Q15750', 'P12277')"
"('Q9BYE3', 'Q9BYR8')"
"('Q00987', 'P55884')"
"('P31943', 'O95400')"
"('Q9BVA1', 'Q8NCE0')"
"('P42568', 'P14625')"
"('Q13043', 'Q9NRM7')"
"('Q92754', 'Q08397')"
"('Q9Y5M8', 'Q6P1L8')"
"('P27797', 'Q15293')"
"('Q7Z6Z7', 'P13010')"
"('Q9UPE1', 'P09234')"
"('P0DP23', 'O15537')"
"('Q03013', 'P21266')"
"('Q00005', 'P06702')"
"('Q13296', 'P33241')"
"('Q96GE6', 'P11216')"
"('P36957', 'Q8TDM6')"
"('Q9BXB1', 'Q5H8A4')"
"('Q9UKK9', 'Q96BD8')"
"('Q9UKB1', 'Q96S82')"
"('Q13163', 'Q16659')"
"('Q92538', 'Q3YEC7')"
"('P00533', 'O15455')"
"('P39023', 'Q5S007')"
"('P04637', 'P54725')"
"('P20339', 'O75376')"
"('O75832', 'Q9BW60')"
"('Q8N5I2', 'Q8IX03')"
"('Q9NZC7', 'Q9Y314')"
"('P10275', 'Q13772')"
"('Q9P2D0', 'P33981')"
"('Q9Y5J6', 'Q96DH6')"
"('O60610', 'Q9H3S7')"
"('Q13950', 'P13010')"
"('P57740', 'O75530')"
"('P06732', 'Q9ULV8')"
"('P12694', 'Q9HD34')"
"('P49638', 'Q9BYR9')"
"('Q4KMQ2', 'P80370')"
"('Q9BWH6', 'Q9NUX5')"
"('O95835', 'Q96J84')"
"('P62993', 'P16144')"
"('P01008', 'P03951')"
"('Q9H5J0', 'O60841')"
"('Q8IZL8', 'Q9UQ88')"
"('P62241', 'Q9H2C0')"
"('Q9NWZ8', 'Q9UHI6')"
"('Q8WUK0', 'P20674')"
"('P04183', 'P07199')"
"('Q9UBU9', 'Q8WUU5')"
"('Q8IYA8', 'Q9HAQ2')"
"('P36969', 'Q86YB8')"
"('P12110', 'P05106')"
"('P62244', 'P62854')"
"('Q14195', 'Q9NVR5')"
"('O14640', 'P49674')"
"('O95999', 'Q14032')"
"('P25786', 'O43242')"
"('Q14157', 'P62256')"
"('Q9HBU9', 'Q9BXP2')"
"('Q13315', 'Q8IU60')"
"('P49721', 'O00193')"
"('Q9UQM7', 'P55055')"
"('Q99714', 'P07237')"
"('P61927', 'P62945')"
"('O15123', 'P16234')"
"('P16871', 'O60674')"
"('Q9HCE1', 'Q9UBX3')"
"('P12004', 'P40692')"
"('P11388', 'O43918')"
"('Q7Z4H7', 'Q9Y580')"
"('P17844', 'P40337')"
"('P01911', 'P55072')"
"('Q6GPH4', 'Q13490')"
"('Q6WCQ1', 'P31947')"
"('Q05519', 'Q14103')"
"('Q6I9Y2', 'Q9UI30')"
"('Q3B820', 'Q9UJC3')"
"('Q9H0I2', 'O15544')"
"('O60675', 'P04637')"
"('P07814', 'Q9UBU9')"
"('P25067', 'Q05707')"
"('Q9GZP0', 'P22607')"
"('P62249', 'P62917')"
"('O43247', 'Q5S007')"
"('Q9P2S5', 'P78371')"
"('P31943', 'P60520')"
"('Q6NUS6', 'P04035')"
"('O14980', 'Q96CN4')"
"('P60033', 'Q92945')"
"('O15078', 'Q15691')"
"('P35637', 'Q3MIX3')"
"('Q99570', 'O14980')"
"('P15248', 'P15509')"
"('P38606', 'P39656')"
"('P22061', 'P01889')"
"('Q16543', 'O94810')"
"('P0DMV8', 'P68366')"
"('O00716', 'Q9HD15')"
"('Q96Q27', 'Q93034')"
"('Q969G2', 'Q8IW35')"
"('P26641', 'P31749')"
"('P25054', 'P35658')"
"('Q9Y328', 'O43678')"
"('Q9HB75', 'P42575')"
"('Q9HCL2', 'O00716')"
"('Q9H8Y8', 'P49755')"
"('P15018', 'Q969J5')"
"('Q9NYY3', 'Q9Y2H0')"
"('P60331', 'P50222')"
"('O60506', 'Q9BZF9')"
"('P51531', 'O75396')"
"('Q8TAA3', 'P35998')"
"('Q8IUI8', 'Q96II8')"
"('Q9BY44', 'P12830')"
"('O75925', 'P52952')"
"('Q9H0P0', 'Q6ICB0')"
"('P45983', 'Q13873')"
"('P05814', 'P51955')"
"('Q8TEM1', 'Q16719')"
"('Q69YU3', 'Q14680')"
"('Q13084', 'O43734')"
"('P46777', 'Q92901')"
"('Q9UJV9', 'Q15365')"
"('Q6ZUT1', 'Q9UQ35')"
"('Q9BQ89', 'P55196')"
"('Q86Y39', 'P03901')"
"('P62829', 'P82675')"
"('Q9HCE1', 'O60331')"
"('P31327', 'Q9BQE3')"
"('Q96R06', 'Q9Y2J4')"
"('Q99895', 'Q3LI66')"
"('Q5VTR2', 'Q96IX9')"
"('Q9UM00', 'P40337')"
"('P05412', 'P07195')"
"('Q8WXR4', 'P15313')"
"('P04626', 'P36542')"
"('Q96EP5', 'P63000')"
"('O14980', 'Q96QD5')"
"('O00429', 'Q9BXM7')"
"('Q9BYQ4', 'P29972')"
"('Q9UQC2', 'P19174')"
"('P62993', 'Q9UNH6')"
"('Q8NBZ0', 'Q9UJX2')"
"('Q9H0W5', 'O14654')"
"('P49674', 'Q9P2X7')"
"('Q1A5X7', 'Q8IYI6')"
"('Q04206', 'P62318')"
"('P08670', 'P02751')"
"('Q9BTA9', 'P49459')"
"('Q15528', 'Q15648')"
"('Q9Y5Q3', 'Q15291')"
"('P31751', 'P49841')"
"('Q53ET0', 'P05108')"
"('P25098', 'Q8NH53')"
"('Q96D09', 'O43395')"
"('P17612', 'P54253')"
"('Q9Y6K9', 'Q6WCQ1')"
"('P57078', 'Q9BUF5')"
"('Q9NSA3', 'Q8N6Y0')"
"('O60641', 'Q13936')"
"('Q99490', 'P63000')"
"('O43678', 'Q9NTK5')"
"('Q13485', 'Q13309')"
"('O15439', 'Q96RT1')"
"('P06733', 'P37837')"
"('Q8N350', 'Q9UKB1')"
"('Q15836', 'P08195')"
"('Q13797', 'P21333')"
"('Q02297', 'Q75T13')"
"('Q8WZ19', 'Q9H8Y8')"
"('Q8IYT4', 'P68366')"
"('Q9UNF0', 'O00469')"
"('Q86T65', 'Q00987')"
"('Q9BZ95', 'Q12830')"
"('Q9BZ95', 'O60885')"
"('Q9BRP8', 'Q99986')"
"('Q00688', 'O60506')"
"('P26599', 'P02751')"
"('Q9NZN9', 'O15205')"
"('P06241', 'Q01628')"
"('Q92734', 'Q13835')"
"('Q9UBU9', 'P49023')"
"('Q15973', 'P15884')"
"('Q04864', 'Q9UBY9')"
"('P63172', 'Q9UKX7')"
"('Q6PJ61', 'Q13616')"
"('B2RUZ4', 'Q16623')"
"('P22612', 'Q8NGH5')"
"('Q99558', 'O14920')"
"('P55854', 'Q9H2X6')"
"('P60033', 'Q16512')"
"('P60468', 'P61619')"
"('Q7Z4W1', 'O00625')"
"('Q9BZV1', 'Q15038')"
"('O76082', 'Q7Z3Y8')"
"('P12814', 'P08574')"
"('Q96NL6', 'Q9UH65')"
"('Q15118', 'P12956')"
"('Q16666', 'Q06787')"
"('Q9H6L2', 'Q7Z4F1')"
"('P27986', 'Q9P1A6')"
"('O14757', 'Q86WR7')"
"('Q9UKD2', 'P35226')"
"('Q7RTS7', 'Q92764')"
"('O43889', 'P0DMU9')"
"('P78357', 'Q12860')"
"('Q92544', 'P06703')"
"('Q9Y5V3', 'Q6UB35')"
"('Q6IQ26', 'Q9H0D6')"
"('O95870', 'O75783')"
"('Q16666', 'Q8N8A6')"
"('Q14141', 'Q9NVA2')"
"('Q9UL15', 'P48431')"
"('Q9NPL8', 'Q8IUX1')"
"('Q9H9J2', 'P04629')"
"('P06401', 'P43364')"
"('Q7L2J0', 'Q53GS9')"
"('Q9NRD1', 'P38646')"
"('Q3MHD2', 'P05412')"
"('O95407', 'O95150')"
"('Q9H9D4', 'Q9NRD5')"
"('Q15293', 'P04844')"
"('Q9Y3I1', 'P28065')"
"('P12277', 'Q9BS26')"
"('Q6IQ23', 'P09110')"
"('P26599', 'P27824')"
"('Q15599', 'P12830')"
"('P48556', 'Q5VYK3')"
"('Q8TB45', 'Q8WV44')"
"('P23258', 'P49841')"
"('Q15750', 'Q8TDZ2')"
"('Q9NU53', 'P36894')"
"('O15083', 'Q9C0E4')"
"('Q16512', 'Q9ULK5')"
"('Q9HBE4', 'Q8TCJ0')"
"('O00626', 'O00574')"
"('P13010', 'P61956')"
"('P07477', 'Q8TEW0')"
"('Q6P444', 'P43365')"
"('Q92530', 'O14818')"
"('Q9Y240', 'O43823')"
"('P30154', 'P25205')"
"('P19838', 'P12235')"
"('P62081', 'P62847')"
"('O14965', 'Q8IX03')"
"('Q9UQ35', 'Q86VP6')"
"('O00750', 'Q15637')"
"('Q9H492', 'P19474')"
"('Q9BRK4', 'Q96T37')"
"('P83916', 'Q13112')"
"('O43242', 'P67775')"
"('P62330', 'Q00341')"
"('O43597', 'Q9Y2K6')"
"('O95619', 'Q9Y265')"
"('P53602', 'P43490')"
"('P60228', 'P61201')"
"('Q9NQT8', 'Q8TEH3')"
"('Q5TA81', 'P60370')"
"('P49137', 'Q13151')"
"('Q99417', 'P23528')"
"('Q86X19', 'Q9Y6W5')"
"('O95602', 'Q15572')"
"('O00482', 'O14874')"
"('P51116', 'Q96CW1')"
"('O95147', 'Q8NA61')"
"('Q8TAP6', 'P01763')"
"('P01591', 'Q96Q45')"
"('P26368', 'P78362')"
"('Q15139', 'Q8WYL5')"
"('Q9UBS4', 'O75116')"
"('P12882', 'P35609')"
"('Q16543', 'Q15785')"
"('Q5SQN1', 'Q9NTX5')"
"('Q15365', 'Q9BWD1')"
"('P01106', 'O15269')"
"('Q05707', 'Q9NQS3')"
"('P02768', 'P02751')"
"('Q9Y2Q3', 'Q96A33')"
"('Q8N6K0', 'Q9Y3D7')"
"('Q8NCE2', 'Q86YD7')"
"('Q16513', 'Q96LK0')"
"('P62745', 'P18031')"
"('P00533', 'Q9H201')"
"('O00487', 'Q5VYK3')"
"('Q96KQ7', 'Q6IN85')"
"('Q9BUL9', 'O75818')"
"('Q9NSC5', 'Q86XI6')"
