negatives
"('P18850', 'Q68CJ9')"
"('Q9Y6K9', 'Q00610')"
"('P17948', 'Q99962')"
"('P01106', 'Q13085')"
"('O75569', 'O60506')"
"('406893', 'Q07820')"
"('P0CG47', 'P29353')"
"('P41002', 'O95067')"
"('P29353', 'Q9BPY3')"
"('P18146', 'Q9NQ25')"
"('O60880', 'O15117')"
"('Q09161', 'Q53F19')"
"('P61006', 'P50395')"
"('O95989', 'Q6RFH5')"
"('P46782', 'P62993')"
"('Q06124', 'Q16620')"
"('Q13573', 'O14733')"
"('Q99996', 'Q9UHX1')"
"('P26010', 'P35609')"
"('O43741', 'P01303')"
"('Q7Z5L9', 'P04637')"
"('Q13315', 'Q7Z6J9')"
"('Q33E94', 'P48380')"
"('Q16520', 'P01100')"
"('P34995', 'P29992')"
"('P42858', 'Q02779')"
"('Q92922', 'P51532')"
"('P08238', 'Q12933')"
"('Q9NSE2', 'P42229')"
"('Q14790', 'P10275')"
"('Q15642', 'P42768')"
"('P42224', 'P14784')"
"('P51149', 'Q9H4B7')"
"('Q9H2S9', 'Q14192')"
"('Q14512', 'P09038')"
"('Q9P212', 'P05129')"
"('P50613', 'P11473')"
"('Q9NSK0', 'P38432')"
"('P18084', 'P12931')"
"('P32881', 'P10912')"
"('Q13315', 'Q9NUA8')"
"('P35226', 'Q92993')"
"('P01562', 'P42701')"
"('Q9BSJ2', 'Q9BQE3')"
"('Q13573', 'Q8IZL8')"
"('P31749', 'Q9NPC1')"
"('Q92574', 'P53350')"
"('P67870', 'Q16236')"
"('Q9UQL6', 'O75376')"
"('P30153', 'Q9Y5P8')"
"('P35228', 'P27482')"
"('Q9NZT1', 'P63098')"
"('Q13619', 'Q01831')"
"('Q86U42', 'Q01130')"
"('P04637', 'P84022')"
"('P17947', 'P09603')"
"('P04899', 'Q08462')"
"('P33993', 'P49736')"
"('P19105', 'P35580')"
"('P12004', 'Q9NZJ0')"
"('P21359', 'Q02556')"
"('P51817', 'P09471')"
"('P62328', 'Q13418')"
"('O15530', 'Q04759')"
"('O14576', 'Q16637')"
"('Q9H9Q2', 'Q92905')"
"('P30480', 'Q13347')"
"('P25116', 'Q9P2W3')"
"('P54646', 'Q15717')"
"('Q92945', 'P31751')"
"('P62993', 'P68431')"
"('Q9NX58', 'Q9H0A0')"
"('Q08209', 'Q8TD86')"
"('Q9NY47', 'P01876')"
"('P45985', 'P46108')"
"('O95049', 'A6NM45')"
"('P43657', 'P61952')"
"('Q16254', 'O75496')"
"('Q96SB4', 'P78362')"
"('P54253', 'Q03989')"
"('O00238', 'O15264')"
"('P61981', 'O95685')"
"('Q8WWM7', 'P13569')"
"('P04141', 'Q8IU57')"
"('P49841', 'Q68CJ9')"
"('Q86YT6', 'Q96B02')"
"('Q02763', 'Q15262')"
"('Q07021', '440264')"
"('Q9BYG4', 'P41743')"
"('P05141', 'Q96HA7')"
"('P16220', 'Q12797')"
"('P38936', 'O00311')"
"('P62829', 'P20333')"
"('P06239', 'Q13761')"
"('Q9UPN9', 'Q86U70')"
"('P61964', 'Q96A08')"
"('P08047', 'P49585')"
"('P35268', 'P62913')"
"('P16333', 'P78329')"
"('P26012', 'P53708')"
"('P55795', 'Q8WWY3')"
"('Q00839', 'Q08170')"
"('Q92793', 'Q12778')"
"('P36873', 'P62955')"
"('Q9UKE5', 'Q6P1L8')"
"('Q14525', 'Q05084')"
"('P40337', 'Q9Y547')"
"('Q03135', 'P51636')"
"('P43115', 'P50148')"
"('P40189', 'P26992')"
"('P15170', 'Q9UBN6')"
"('Q7KZ85', 'P63104')"
"('P52657', 'P20226')"
"('P14314', 'P27824')"
"('Q8IWZ3', '145781')"
"('O95239', 'O43663')"
"('Q7Z3B3', 'P61289')"
"('P80075', 'P51679')"
"('P62140', 'O96017')"
"('Q6P5Z2', 'Q13393')"
"('P30050', 'P62888')"
"('Q9BY43', 'Q9UN37')"
"('P63092', 'O43306')"
"('Q9Y2X0', 'Q92731')"
"('P18146', 'P10145')"
"('P15336', 'Q13485')"
"('P06239', 'P06729')"
"('Q9UNF1', 'Q2TAZ0')"
"('P56880', 'O95832')"
"('P54725', 'P0CG48')"
"('P46459', 'O95721')"
"('P50991', 'Q9Y2T4')"
"('Q9NY93', 'P22087')"
"('Q9P2W3', 'P53779')"
"('Q12846', 'P62491')"
"('P36873', 'O95685')"
"('O14512', 'Q14627')"
"('Q14103', 'P61981')"
"('O15259', 'P98161')"
"('Q04912', 'O15031')"
"('Q13191', 'O43150')"
"('Q16543', 'O95201')"
"('O43502', 'Q8IZS8')"
"('Q13478', 'Q9NZH6')"
"('P13569', 'P11021')"
"('Q9Y4G8', 'P61224')"
"('Q14831', 'O14610')"
"('Q9UNN5', 'P19838')"
"('Q07157', 'P60709')"
"('P33993', 'Q9UNS1')"
"('P36894', 'Q13873')"
"('P10276', 'P53779')"
"('P09038', 'P62195')"
"('Q9UGI9', 'O00763')"
"('Q9H1I8', 'Q9BWH2')"
"('P07359', 'Q8WYR1')"
"('Q15744', 'P08246')"
"('Q9UBN7', 'P0C5Y9')"
"('P63104', 'Q13698')"
"('P22626', 'Q86V81')"
"('P68104', 'Q16363')"
"('Q15906', 'Q9GZN1')"
"('Q13416', 'Q12905')"
"('O60814', 'Q9UBL3')"
"('Q9H0E2', 'Q15038')"
"('P14780', 'Q09472')"
"('Q15052', 'P36897')"
"('O60739', 'Q99436')"
"('Q9Y3I1', 'P46527')"
"('P50458', 'P26367')"
"('Q7L2E3', 'O15379')"
"('P11940', 'Q9BWF3')"
"('Q9NRH3', 'Q96JB5')"
"('P62140', 'Q13557')"
"('P00813', 'P29274')"
"('Q13555', 'Q06432')"
"('P32121', 'O60412')"
"('Q8IUQ4', 'Q9Y6H5')"
"('P17948', 'Q6S5L8')"
"('P55795', 'Q96PU8')"
"('P13637', 'Q01415')"
"('Q9BUB5', 'Q99615')"
"('P10827', 'Q9NX70')"
"('P04626', 'P23470')"
"('O14599', 'Q05086')"
"('A1A4S6', 'P60953')"
"('P17612', 'O14610')"
"('P19878', 'P47712')"
"('Q5JQF8', 'Q9H074')"
"('O14640', 'Q8TAA9')"
"('P01106', 'Q9NQH7')"
"('407018', 'P25054')"
"('P30084', 'P01889')"
"('P68402', 'Q07352')"
"('Q9UNS2', 'Q9UBW8')"
"('P00533', 'Q14974')"
"('P21583', 'P06213')"
"('Q16236', 'P48506')"
"('Q8N3U4', 'Q9UQE7')"
"('Q9UM22', 'Q9NRR5')"
"('P36873', 'P54289')"
"('P52272', 'Q08211')"
"('O00257', 'P52952')"
"('P01889', 'P13797')"
"('P23528', 'Q13387')"
"('Q16663', 'P01100')"
"('P08631', 'Q07666')"
"('Q08379', 'Q7Z3C6')"
"('P62487', 'P24928')"
"('O00144', 'Q9NQ66')"
"('P55036', 'P35998')"
"('Q07889', 'Q13480')"
"('P26992', 'O15162')"
"('P60568', 'O60674')"
"('Q9BXJ9', 'Q9BSU3')"
"('P49643', 'P09884')"
"('Q99459', 'O94776')"
"('P52630', 'P42226')"
"('P00533', 'Q12929')"
"('Q8IXM3', 'P26641')"
"('P62993', 'P60953')"
"('O43491', 'O14936')"
"('P24941', 'O96020')"
"('Q14457', 'Q8NEB9')"
"('Q9ULF5', 'Q8WZA2')"
"('Q9ULZ3', 'O95786')"
"('Q8WUI4', 'P55210')"
"('P52735', 'P15498')"
"('P05412', 'P56645')"
"('P16104', 'P00558')"
"('P62316', 'P53680')"
"('Q13705', 'Q12841')"
"('Q15628', 'O43318')"
"('P18146', 'P36776')"
"('P35638', 'Q15744')"
"('Q9GZT8', 'P08670')"
"('P46821', 'Q9H2C0')"
"('P22392', 'Q16576')"
"('P51812', 'P18859')"
"('Q9Y6E0', 'P30153')"
"('O15533', 'P30101')"
"('A8TX70', 'P26012')"
"('P25205', 'P30480')"
"('Q13625', 'P07942')"
"('P62714', 'Q00005')"
"('O95751', 'Q8TBB1')"
"('P17947', 'Q6UXB4')"
"('Q9Y239', 'Q9UNS2')"
"('Q99873', 'Q15788')"
"('O15379', 'P0C0S8')"
"('Q92793', 'Q92830')"
"('Q99608', 'P01583')"
"('P30450', 'P26717')"
"('Q99962', 'Q99961')"
"('O14744', 'P08621')"
"('P10145', 'P35222')"
"('P13010', 'P11388')"
"('Q14566', 'Q12905')"
"('Q9NUQ8', 'O96033')"
"('Q15149', 'P05783')"
"('A4D0S4', 'P26012')"
"('P18146', 'Q09472')"
"('Q15306', 'Q01201')"
"('P63167', 'O76070')"
"('Q9HB75', 'P78527')"
"('P58876', 'P16104')"
"('Q9BYP7', 'P42574')"
"('Q16695', 'P24385')"
"('Q01658', 'Q9ULM3')"
"('Q9Y2Q3', 'O43264')"
"('A6ND48', 'P38405')"
"('Q13573', 'Q13547')"
"('Q9UKM9', 'P63104')"
"('P24522', 'P48740')"
"('P08575', 'P17931')"
"('P62140', 'Q6UN15')"
"('Q9GZT8', 'Q8N5Z5')"
"('Q5SRE5', 'Q8NFH5')"
"('P10398', 'Q07890')"
"('Q92831', 'Q8WXI9')"
"('Q8IXL6', 'O60925')"
"('P40855', 'P56589')"
"('P13693', 'P05023')"
"('Q15257', 'P67775')"
"('Q96F10', 'P21673')"
"('P14866', 'P22626')"
"('P42830', 'P41597')"
"('Q15819', 'P50876')"
"('P15172', 'Q02363')"
"('P22674', 'P18887')"
"('Q07889', 'P01111')"
"('O15117', 'O60880')"
"('Q9GZY6', 'P19174')"
"('O15085', 'P27986')"
"('P27695', 'Q13177')"
"('Q9NR50', 'P00533')"
"('P31749', 'Q9UKG1')"
"('Q8N715', 'P19012')"
"('P12956', 'Q9NX76')"
"('P04908', 'Q9HCK5')"
"('P35998', 'Q9BRP4')"
"('P47897', 'P20073')"
"('Q92889', 'O15287')"
"('O15031', 'P15153')"
"('P04439', 'P43626')"
"('P49407', 'Q7Z4V5')"
"('P46109', 'Q14289')"
"('O75293', 'Q9Y6R4')"
"('Q9NZM3', 'Q9P287')"
"('Q15181', 'P04792')"
"('Q9UK53', 'P15559')"
"('P62987', 'P62906')"
"('Q8IY92', 'Q96D46')"
"('P61513', 'Q9UL18')"
"('P20226', 'Q04864')"
"('Q9H1C0', 'P16520')"
"('P42331', 'Q07889')"
"('P06400', 'P21675')"
"('Q14203', 'O14593')"
"('Q9UNE7', 'P25685')"
"('Q9Y383', 'P46459')"
"('P01106', 'Q6ICH7')"
"('P08729', 'P53680')"
"('Q9ULX6', 'O76071')"
"('P49842', 'Q99808')"
"('P46094', 'P32121')"
"('Q9BYC9', 'Q15811')"
"('P25963', 'P33992')"
"('P18146', 'P08651')"
"('P14373', 'Q96B02')"
"('Q15365', 'O75937')"
"('Q13765', 'P20226')"
"('O15371', 'O75822')"
"('Q16288', 'Q9NRF2')"
"('Q9H993', 'P43360')"
"('P62495', 'Q9BZI7')"
"('P24821', 'O75578')"
"('Q15349', 'P15056')"
"('P22612', 'P49841')"
"('Q9UI95', 'P30260')"
"('O14744', 'P85299')"
"('Q8N6Y0', 'Q969F0')"
"('P61978', 'Q14103')"
"('Q9BQ65', 'Q13485')"
"('P61224', 'P05107')"
"('P41231', 'O14745')"
"('Q9NRP7', 'P10070')"
"('O14641', 'Q12933')"
"('P05106', 'Q9BSU1')"
"('Q96DX4', 'P62837')"
"('P10636', 'P23443')"
"('P62280', 'P62854')"
"('P30968', 'P84996')"
"('P20226', 'Q16548')"
"('O43561', 'P01730')"
"('Q8IU54', 'P10912')"
"('Q9GZR7', 'P58401')"
"('Q9NRF9', 'Q14919')"
"('Q9Y4W6', 'P15153')"
"('P20963', 'P62993')"
"('P05556', 'Q9HBI0')"
"('Q6NUP7', 'Q9UGN5')"
"('Q9H6E5', 'Q9P2I0')"
"('P08138', 'P02766')"
"('Q9NSC5', 'Q14517')"
"('P24522', 'O95257')"
"('Q15287', 'Q9BTD8')"
"('P20333', 'Q3ZCQ8')"
"('A4D0S4', 'P18564')"
"('Q9Y4A5', 'P49336')"
"('P07333', 'P62993')"
"('Q9Y230', 'Q9Y4K3')"
"('P15018', 'Q8IU57')"
"('P54259', 'Q04724')"
"('Q08050', 'O96017')"
"('P54727', 'Q13569')"
"('Q9Y572', 'P11021')"
"('P31947', 'Q08AE8')"
"('P12814', 'P68133')"
"('P17612', 'Q9NZT1')"
"('O95999', 'Q9Y6K9')"
"('Q92793', 'P28360')"
"('P18031', 'Q9Y4H2')"
"('O43318', 'P21333')"
"('Q15078', 'Q96EP1')"
"('Q8IXR5', 'Q6UWE0')"
"('P01871', 'Q8NGV6')"
"('Q8IYW5', 'Q13571')"
"('O14807', 'O43157')"
"('Q9NWF9', 'P13727')"
"('Q9UNM6', 'P48556')"
"('Q969S8', 'P33778')"
"('O43426', 'Q9Y5X1')"
"('Q9UL03', 'P06730')"
"('P62837', 'Q12899')"
"('P55210', 'P55212')"
"('P15813', 'P07602')"
"('Q8WX92', 'P18615')"
"('Q13242', 'P67809')"
"('P08107', 'Q99759')"
"('P46783', 'P62979')"
"('P07355', 'Q00005')"
"('Q9NT62', 'Q9C0C7')"
"('Q9NP95', 'P35968')"
"('O14744', 'Q9BQA1')"
"('Q9NRR5', 'Q09470')"
"('P84022', 'O15530')"
"('Q9H160', 'P84243')"
"('Q15619', 'P38405')"
"('P38936', 'Q7L590')"
"('P01106', 'Q9Y5M8')"
"('O75159', 'Q01113')"
"('Q9P2F6', 'Q07890')"
"('Q9BZL6', 'P62834')"
"('P37837', 'O95777')"
"('Q15375', 'P55196')"
"('O14497', 'Q12824')"
"('P04070', 'P35237')"
"('Q9BQI0', 'Q9Y572')"
"('P0C5Y9', 'Q9UQL6')"
"('P78317', 'Q96LR5')"
"('P23229', 'P50552')"
"('Q16659', 'Q8N122')"
"('P63104', 'P23258')"
"('Q53EL6', 'P56182')"
"('Q96N67', 'P63000')"
"('P46531', 'P06239')"
"('P25940', 'P18564')"
"('P46108', 'Q9P1A6')"
"('O60739', 'P61160')"
"('Q99683', 'Q16539')"
"('Q13263', 'P40763')"
"('Q9NWA0', 'P49336')"
"('Q9NQS3', 'P12931')"
"('Q13547', 'P35222')"
"('Q13451', 'Q9Y572')"
"('Q92793', 'P01570')"
"('Q13573', 'P54132')"
"('Q9UKG9', 'P49642')"
"('P00519', 'Q9Y5Y3')"
"('Q96IZ0', 'P62993')"
"('Q9P0W0', 'P48551')"
"('P53779', 'O15264')"
"('Q15438', 'P05107')"
"('P35613', 'O14593')"
"('Q9NV56', 'Q9Y265')"
"('Q9Y5V3', 'Q92988')"
"('O14641', 'P45974')"
"('P54750', 'P42858')"
"('Q969G3', 'O00716')"
"('P04899', 'Q15759')"
"('Q8N163', 'P58317')"
"('P40763', 'P62136')"
"('Q13393', 'Q9NRA0')"
"('P02458', 'P08514')"
"('O00560', 'P35222')"
"('O75943', 'P35249')"
"('P01112', 'P42771')"
"('O75821', 'O15371')"
"('Q99729', 'Q08117')"
"('P08107', 'O15111')"
"('P10275', 'P30305')"
"('P43686', 'P62333')"
"('P22612', 'Q14957')"
"('P23396', 'P62269')"
"('Q13435', 'Q13573')"
"('O43586', 'P62910')"
"('Q9Y6I3', 'Q13571')"
"('Q9Y6V7', 'P54257')"
"('Q13202', 'O15264')"
"('Q15750', 'P07814')"
"('Q14254', 'O77932')"
"('Q8WYR1', 'P01111')"
"('P01100', 'P32519')"
"('Q6ZU52', 'P43364')"
"('Q13547', 'Q06455')"
"('P62847', 'P43146')"
"('Q6W2J9', 'Q99829')"
"('Q9NYL9', 'Q99459')"
"('Q8IX03', 'P35240')"
"('Q93062', 'Q9UJX2')"
"('P30084', 'Q969Q1')"
"('P63279', 'Q5T6S3')"
"('Q15545', 'P67870')"
"('P08670', 'P35900')"
"('Q13573', 'P62136')"
"('P06756', 'P26012')"
"('P07202', 'P08887')"
"('P09429', 'Q14457')"
"('P67775', 'Q9UF02')"
"('A6NKT7', 'P46060')"
"('Q9NRI5', 'Q969G3')"
"('Q12986', 'O75800')"
"('Q96EB6', 'P05412')"
"('P55773', 'P41597')"
"('P04156', 'Q07812')"
"('P50453', 'Q9GZT6')"
"('P08311', 'Q96RT1')"
"('Q6R327', 'Q9BUJ2')"
"('Q9H4B6', 'P31947')"
"('Q9Y6E0', 'O43167')"
"('P35225', 'P19235')"
"('P61769', 'P14316')"
"('Q8IUC4', 'Q9UBN6')"
"('P61981', '404734')"
"('B5ME19', 'O14602')"
"('P50613', 'P20248')"
"('P45983', 'P15407')"
"('Q92841', 'Q00987')"
"('P11229', 'P48736')"
"('Q9BRP4', 'P17980')"
"('P23508', 'P99999')"
"('Q9BT92', 'Q15834')"
"('P61224', 'Q9BRK5')"
"('Q9HCK5', 'Q03393')"
"('Q6ZNA4', 'Q9Y2X8')"
"('Q09472', 'P84022')"
"('Q9NPD3', 'Q9NQT4')"
"('Q92878', 'Q99708')"
"('O75208', 'Q9HCE9')"
"('Q96FZ7', 'Q9BRG1')"
"('Q96LR5', 'Q6ZNA4')"
"('Q969V6', 'P16220')"
"('P26441', 'Q01113')"
"('Q9UHC6', 'Q6PD62')"
"('O43464', 'P98170')"
"('Q9Y6K1', 'Q15910')"
"('P41143', 'P63096')"
"('Q4L180', 'O76071')"
"('Q96A08', 'Q9NPI1')"
"('P12980', 'P48378')"
"('P41182', 'Q9NR96')"
"('Q09472', 'Q92878')"
"('P49454', 'P57740')"
"('Q96MF7', 'Q9BSI4')"
"('P27361', 'P01112')"
"('Q9Y2X8', 'Q6Q0C0')"
"('P12271', 'Q92781')"
"('Q13227', 'Q9UJU6')"
"('O95400', 'Q92530')"
"('Q9H6R7', 'Q9Y3C7')"
"('P60033', 'P30480')"
"('P67809', 'P62195')"
"('Q13418', 'P55211')"
"('Q9Y561', 'O95295')"
"('P81605', 'Q2M3C7')"
"('Q99836', 'P27986')"
"('P50222', 'P23760')"
"('Q96GG9', 'Q9Y3C5')"
"('Q02556', 'Q96C10')"
"('P56537', 'P62249')"
"('Q9HCE7', 'P08581')"
"('Q9P2W3', 'P08172')"
"('P17181', 'P23458')"
"('P20807', 'Q8WZ42')"
"('Q9UBB4', 'Q9Y5V3')"
"('P36894', 'P28482')"
"('Q9H0M0', 'Q9HAU4')"
"('P57739', 'P56747')"
"('Q01814', 'P01258')"
"('P82932', 'Q5UIP0')"
"('P10275', 'P07288')"
"('Q13315', 'Q9UBC3')"
"('P84098', 'Q02543')"
"('Q9BQ70', 'P46783')"
"('O00329', 'O14939')"
"('Q13185', 'Q13472')"
"('Q13905', 'P22681')"
"('Q8NGT9', 'P38405')"
"('O15264', 'Q12906')"
"('P53355', 'Q16659')"
"('Q7Z434', 'Q04206')"
"('Q14152', 'P60842')"
"('O00187', 'P06681')"
"('P46937', 'Q07812')"
"('Q16539', 'P67775')"
"('P43487', 'Q9UKE5')"
"('Q02153', 'Q02108')"
"('Q15149', 'Q9H0H5')"
"('P67775', 'P40227')"
"('O75477', 'P30086')"
"('P10275', 'P37088')"
"('P12931', 'P48960')"
"('P15941', 'Q9Y6K9')"
"('Q93062', 'Q5T5S1')"
"('P30519', 'P26641')"
"('Q13469', 'P05412')"
"('Q9Y2T4', 'Q08289')"
"('Q16401', 'Q16186')"
"('O60675', 'O15379')"
"('Q00536', 'P62258')"
"('P07602', 'P10912')"
"('P0C0L4', 'P25054')"
"('Q14512', 'P98160')"
"('Q9NTJ3', 'Q9BPX3')"
"('P04083', 'Q9UKR5')"
"('P35658', 'P12270')"
"('Q01995', 'O14908')"
"('Q99592', 'Q13153')"
"('Q15714', 'O95433')"
"('P53680', 'P63010')"
"('P53708', 'P63261')"
"('Q9UPT5', 'Q8N6Y0')"
"('P62424', 'Q92901')"
"('P22626', 'Q08170')"
"('P01106', 'P30279')"
"('P22736', 'Q9HC38')"
"('P05014', 'P78552')"
"('Q99613', 'P05198')"
"('Q9Y4K3', 'P01112')"
"('P05107', 'Q7Z6G8')"
"('O60506', 'Q9H3D4')"
"('Q15424', 'Q8TDY2')"
"('P49336', 'P18146')"
"('Q8NFH5', 'Q5SRE5')"
"('O15264', 'P49368')"
"('Q13485', 'Q09472')"
"('Q13153', 'P53350')"
"('Q9Y5Q3', 'Q92793')"
"('O75995', 'Q9HCE7')"
"('P15336', 'P35638')"
"('Q96E40', 'P49903')"
"('P13196', 'Q9H7E9')"
"('Q9NQC3', 'Q9Y5P4')"
"('P62854', 'O60739')"
"('P10276', 'P19793')"
"('P56747', 'P57739')"
"('P35568', 'P31947')"
"('Q13145', 'P36897')"
"('P19525', 'Q99848')"
"('Q92765', 'Q9Y6F9')"
"('P51693', 'O00213')"
"('Q96EP1', 'Q96LR5')"
"('P19438', 'P50591')"
"('P35626', 'Q8NGU2')"
"('Q96DE5', 'O60566')"
"('P51398', 'Q15788')"
"('Q9UBC3', 'P23381')"
"('P22392', 'P63173')"
"('Q13616', 'Q8NFZ0')"
"('P53618', 'Q92538')"
"('Q9BXA6', 'P08238')"
"('Q8NHZ8', 'Q9UJX2')"
"('Q9P2S5', 'P31948')"
"('O14827', 'P01111')"
"('Q9NRR5', 'Q9UHD9')"
"('P49768', 'P18850')"
"('Q9Y3Q8', 'Q8WVY7')"
"('O95405', 'Q04637')"
"('Q01970', 'P00533')"
"('Q07869', 'Q3L8U1')"
"('Q9UBT7', 'O14920')"
"('P05129', 'P61981')"
"('P56706', 'O75581')"
"('P21796', 'P60520')"
"('Q01344', 'P07948')"
"('Q13315', 'Q12789')"
"('O75937', 'Q8IWZ8')"
"('P51636', 'Q14789')"
"('P60568', 'Q8N6P7')"
"('P13987', 'P21926')"
"('P78545', 'Q9NXV2')"
"('O00470', 'Q6UUV9')"
"('Q9HCZ1', 'O95273')"
"('Q9NW08', 'P61218')"
"('P54253', 'P15170')"
"('Q14164', 'Q16630')"
"('P35637', 'Q04206')"
"('P11172', 'Q9UKI2')"
"('P32121', 'Q8NHB1')"
"('O75694', 'P23508')"
"('Q15777', 'P10589')"
"('P13942', 'P18564')"
"('P42773', 'Q5RL73')"
"('P42229', 'P14784')"
"('P18146', 'Q92527')"
"('P40225', 'P14784')"
"('Q00013', 'P55055')"
"('Q99460', 'P30480')"
"('P08134', 'Q9NQU5')"
"('P04264', 'P12830')"
"('Q13202', 'P28482')"
"('P84243', 'Q8IZL8')"
"('Q92466', 'P68431')"
"('Q92997', 'Q9Y4D1')"
"('P05129', 'P05106')"
"('Q9ULK4', 'Q9BWU1')"
"('Q9BZ23', 'P27348')"
"('Q5VTD9', 'O15379')"
"('P62979', 'P08865')"
"('P16333', 'P09619')"
"('Q9HAV0', 'Q9HBW0')"
"('O14744', 'Q8NEV4')"
"('P67870', 'Q99698')"
"('Q96CF2', 'Q9H444')"
"('Q02156', 'O75689')"
"('Q99836', 'P68363')"
"('Q15797', 'P46531')"
"('Q9H257', 'P68400')"
"('Q9BXM7', 'P62979')"
"('Q92841', 'Q9NQT4')"
"('Q5JTC6', 'P18146')"
"('P50542', 'Q96CN9')"
"('P41161', 'P10275')"
"('P80098', 'P32248')"
"('Q9Y3C7', 'O00267')"
"('Q92769', 'Q9C0K0')"
"('P46379', 'O60337')"
"('Q16659', 'Q8NAF0')"
"('Q86UD3', 'P62837')"
"('P05106', 'Q9HBI0')"
"('724027', 'P11717')"
"('Q8IZ69', 'Q92569')"
"('O00522', 'Q9BSQ5')"
"('P51690', 'Q07912')"
"('P23508', 'P55786')"
"('Q9UI09', 'P03891')"
"('P42766', 'Q9HCK5')"
"('Q16629', 'O95400')"
"('P62829', 'P05386')"
"('Q9UBP9', 'P05106')"
"('Q53G59', 'O14777')"
"('O95201', 'Q5EB52')"
"('Q9Y4K3', 'P30153')"
"('P02511', 'P63208')"
"('Q01780', 'Q8TF46')"
"('Q6V0I7', 'P26038')"
"('O15162', 'P26992')"
"('C9J798', 'P10301')"
"('Q13557', 'Q92793')"
"('P27361', 'Q3MJ16')"
"('28938', 'P52292')"
"('Q9UQE7', 'Q96F24')"
"('Q9NR09', 'P53350')"
"('P46779', 'P42766')"
"('P98170', 'Q15843')"
"('Q99459', 'P33176')"
"('P62888', 'Q02878')"
"('P08138', 'P62993')"
"('P35250', 'P12004')"
"('P35462', 'P59768')"
"('Q99608', 'Q9Y679')"
"('Q15691', 'P30504')"
"('P56747', 'P56856')"
"('Q15428', 'Q15287')"
"('Q5VT52', 'Q92900')"
"('O15524', 'Q99062')"
"('P56524', 'P17676')"
"('407018', 'Q12778')"
"('Q9NW38', 'O15287')"
"('P09622', 'O00330')"
"('Q16543', 'Q14203')"
"('406984', 'P37275')"
"('Q96EN9', 'Q9Y6X2')"
"('P21781', 'Q02763')"
"('Q15796', 'Q92985')"
"('P25942', 'Q9BS26')"
"('P13688', 'P31997')"
"('Q86UA6', 'Q3ZCQ8')"
"('P51610', 'Q9UBL3')"
"('P17676', 'P10914')"
"('Q15369', 'Q8N668')"
"('P34981', 'P50148')"
"('Q9BT09', 'P18146')"
"('P21730', 'P04899')"
"('P60953', 'Q9Y6R4')"
"('Q9Y478', 'P00505')"
"('P04626', 'Q9Y490')"
"('Q9H0U9', 'P54257')"
"('P46778', 'Q9Y3U8')"
"('P04637', 'Q8NFD5')"
"('P42566', 'P00533')"
"('P14316', 'Q08209')"
"('Q15811', 'Q13387')"
"('Q16795', 'O76071')"
"('P18206', 'Q8NHR9')"
"('Q15672', 'Q53EL6')"
"('Q02750', 'Q9NR09')"
"('Q01196', 'P08700')"
"('Q14790', 'Q9H3D4')"
"('Q8IWZ8', 'P22626')"
"('P07948', 'Q8WYR1')"
"('P19012', 'Q8TCX5')"
"('P35398', 'Q15648')"
"('Q8IZL2', 'Q92793')"
"('Q92738', 'Q12929')"
"('Q7LFL8', 'O14640')"
"('Q14147', 'Q9UK32')"
"('P12830', 'Q15475')"
"('P04637', 'Q9NY72')"
"('P40145', 'P22694')"
"('Q13155', 'P04637')"
"('Q07021', 'P46783')"
"('Q02543', 'P50914')"
"('P18754', 'Q9H6Z4')"
"('Q13838', 'P04350')"
"('Q9BSM1', 'Q06587')"
"('Q13769', 'Q03518')"
"('Q8WZA2', 'P45984')"
"('Q15848', 'Q96A54')"
"('Q99459', 'Q9ULW0')"
"('O76039', 'P63000')"
"('P40692', 'Q96NE9')"
"('O15123', 'P07333')"
"('P26441', 'O75716')"
"('Q9UM11', 'P06493')"
"('Q9NRR5', 'O14764')"
"('P48039', 'P63215')"
"('Q15173', 'Q06432')"
"('Q92620', 'Q13242')"
"('O14640', 'P31431')"
"('Q15796', 'Q9Y6N5')"
"('P19174', 'Q96EV8')"
"('P04155', 'Q9NYJ8')"
"('Q9P0W2', 'O95359')"
"('Q08170', 'Q00839')"
"('Q9HCE7', 'Q9H9T3')"
"('Q9HCK8', 'P35222')"
"('Q07157', 'P56747')"
"('Q9H1C0', 'P50150')"
"('O15264', 'P06733')"
"('P20142', 'P18146')"
"('Q5VTD9', 'Q76N89')"
"('Q13555', 'P30307')"
"('O15335', 'Q9UKX5')"
"('P00533', 'O96018')"
"('Q9Y5Q3', 'P01574')"
"('Q12791', 'O95180')"
"('Q32MK0', 'P27986')"
"('P40763', 'P02679')"
"('P49674', 'Q9H4H8')"
"('Q8TF74', 'Q9NZC7')"
"('Q969T4', 'O43567')"
"('406908', 'P49715')"
"('P14923', 'P04626')"
"('P61769', 'P30685')"
"('Q92832', 'Q6IN85')"
"('Q9BYG5', 'Q05513')"
"('O15530', 'O15105')"
"('Q9HCS7', 'Q12906')"
"('P04350', 'P41279')"
"('P38919', 'P27348')"
"('Q14192', 'Q9NQX6')"
"('Q9Y6Q6', 'Q15750')"
"('P61077', 'Q9C040')"
"('P62857', 'P25398')"
"('P05187', 'P21281')"
"('P01106', 'O14654')"
"('P12110', 'P23229')"
"('Q9UMN6', 'P06241')"
"('O60237', 'P14649')"
"('P05062', 'Q8NFJ9')"
"('Q13573', 'Q9UMR2')"
"('P43250', 'P07550')"
"('Q99759', 'Q04917')"
