negatives
"('Q9GZW8', 'P35914')"
"('P05067', 'Q05193')"
"('O00327', 'Q92831')"
"('P22090', 'P62249')"
"('Q9UL03', 'P41220')"
"('P42229', 'P24385')"
"('Q9Y2D8', 'P35609')"
"('Q96RT1', 'Q99569')"
"('P51610', 'Q92560')"
"('Q93034', 'P62875')"
"('P32248', 'P63096')"
"('P25685', 'P54652')"
"('P35626', 'Q8NHC5')"
"('P43405', 'P20273')"
"('P18847', 'P22607')"
"('Q9HC29', 'Q9P0J0')"
"('Q9GZP0', 'P08581')"
"('P00533', 'Q96B97')"
"('Q9H1A4', 'P06493')"
"('Q13555', 'Q08462')"
"('P0CAP2', 'Q9BQ04')"
"('Q9UHV7', 'O75448')"
"('P61964', 'O75528')"
"('P20290', 'P40337')"
"('P62899', 'O43586')"
"('P49715', 'P09919')"
"('P04049', 'P55211')"
"('O15444', 'P25025')"
"('P61106', 'P51149')"
"('Q14164', 'P49736')"
"('P13232', 'P40238')"
"('P53355', 'Q13526')"
"('P15516', 'Q8TAX7')"
"('P0C5Z0', 'Q13547')"
"('O94972', 'Q7L590')"
"('406882', 'Q2Q1W2')"
"('Q9NPF4', 'Q99569')"
"('Q9NR80', 'Q14397')"
"('Q16637', 'Q8TF32')"
"('O60674', 'P42680')"
"('P51587', 'Q9NXR7')"
"('O43684', 'Q8NHZ8')"
"('Q9P219', 'O14640')"
"('Q9UBC1', 'Q8WUQ7')"
"('P68104', 'P40937')"
"('Q9GZX6', 'P17181')"
"('P16104', 'Q96HE7')"
"('Q13087', 'Q15654')"
"('P36897', 'P16520')"
"('P05455', 'Q9NX58')"
"('Q6UWE0', 'Q8IXR5')"
"('P06241', 'P26951')"
"('Q9Y4Z0', 'Q13137')"
"('Q9Y2X0', 'Q9Y4A5')"
"('P24941', 'Q9UIV1')"
"('Q96ES7', 'P61964')"
"('Q9UBU3', 'P28221')"
"('Q93077', 'P33778')"
"('P35555', 'P98160')"
"('Q13315', 'O14497')"
"('O95816', 'Q04206')"
"('Q13432', 'P49888')"
"('Q13185', 'O60610')"
"('P31152', 'P04637')"
"('P48736', 'P54710')"
"('P30049', 'Q15008')"
"('Q15291', 'Q6P1J9')"
"('P0CG48', 'Q13351')"
"('O14576', 'Q9BQE3')"
"('P98175', 'P17844')"
"('P10809', 'Q9UKV8')"
"('Q9NQX3', 'P28472')"
"('Q93079', 'Q96KK5')"
"('P08246', 'P61962')"
"('Q17RP2', 'P18146')"
"('P35250', 'Q9UJX2')"
"('P35222', 'P49023')"
"('P16220', 'Q8WTV0')"
"('Q13485', 'Q13501')"
"('P28482', 'P28324')"
"('Q16827', 'P19022')"
"('P28074', 'O95163')"
"('P63220', 'P62081')"
"('Q9GZR1', 'Q9Y6K9')"
"('Q9UGJ0', 'Q86TI0')"
"('P62906', 'P30050')"
"('P61769', 'P30685')"
"('Q9HCT0', 'P21802')"
"('P23229', 'P05556')"
"('O15525', 'Q16621')"
"('Q92956', 'Q13077')"
"('Q9Y478', 'P61088')"
"('O43586', 'Q99996')"
"('P36578', 'P63173')"
"('Q14164', 'P62750')"
"('P51692', 'P30279')"
"('Q9NYY1', 'Q9UHF4')"
"('P33778', 'Q13547')"
"('P30291', 'O95067')"
"('Q5TH69', 'P04156')"
"('Q13432', 'P50453')"
"('Q96A00', 'P36873')"
"('P46783', 'P62263')"
"('O75150', 'Q9BSJ1')"
"('Q6UXX9', 'P04628')"
"('Q9HB90', 'Q7L523')"
"('Q16539', 'P84022')"
"('O15145', 'P56470')"
"('P53355', 'P63151')"
"('Q96JB5', 'O75940')"
"('P35968', 'O00459')"
"('Q9Y383', 'Q9NRX3')"
"('B5ME19', 'O14602')"
"('P05113', 'P78552')"
"('P00533', 'Q13882')"
"('P00748', 'Q9NPY3')"
"('Q8N4C8', 'P10114')"
"('Q9UHV2', 'Q9P2K6')"
"('Q9BT78', 'O14656')"
"('P27824', 'P13569')"
"('Q04206', 'Q9UNL4')"
"('P04626', 'Q6PKX4')"
"('Q15797', 'Q8WUD1')"
"('Q96EL2', 'Q9NR30')"
"('Q15796', 'Q13219')"
"('Q99490', 'Q8WYR1')"
"('P01889', 'Q13642')"
"('P04222', 'O75347')"
"('Q14203', 'Q8NFJ9')"
"('Q8TEW0', 'Q13009')"
"('P49459', 'Q6ZT12')"
"('Q9BSF8', 'O15230')"
"('Q9NV56', 'P04637')"
"('P01243', 'Q13485')"
"('Q5VTD9', 'P23142')"
"('Q01844', 'P49327')"
"('O43513', 'Q9BTT4')"
"('Q99418', 'P49407')"
"('Q5UIP0', 'P51114')"
"('442898', 'Q99835')"
"('P62913', 'Q15653')"
"('P55072', 'P19532')"
"('Q9UGI9', 'Q15717')"
"('P51398', 'P27986')"
"('Q12913', 'P48357')"
"('Q92914', 'P22455')"
"('P17612', 'P19838')"
"('P51116', 'O00161')"
"('P49916', 'Q7Z2E3')"
"('Q9Y3L3', 'P08631')"
"('P18146', 'Q13126')"
"('Q13363', 'P48552')"
"('Q07960', 'Q07889')"
"('Q13501', 'P63104')"
"('Q9GZM8', 'P49023')"
"('P12270', 'P78406')"
"('P26599', 'Q14103')"
"('Q16637', 'A0JLT2')"
"('Q16649', 'P18146')"
"('Q96IZ0', 'P36542')"
"('Q13526', 'Q13432')"
"('P62244', 'Q9H8Y8')"
"('O00303', 'Q9UBQ5')"
"('P51668', 'Q96EQ8')"
"('Q8NHL6', 'P29350')"
"('P18859', 'P03928')"
"('P17021', 'Q9GZM8')"
"('Q13185', 'P16402')"
"('Q86UR5', 'P16333')"
"('Q8TCG1', 'P30153')"
"('Q9BRP8', 'Q9Y5S9')"
"('Q96EE3', 'Q5SRE5')"
"('Q14152', 'P23508')"
"('P19438', 'P55957')"
"('P04899', 'P53778')"
"('Q9Y2T4', 'P30153')"
"('Q13547', 'Q9H160')"
"('P67870', 'O43257')"
"('Q5T3J3', 'Q8IX03')"
"('P00533', 'P29353')"
"('P35222', 'Q08211')"
"('P04275', 'P08648')"
"('P59768', 'P48051')"
"('P26447', 'Q13432')"
"('P10809', 'P08246')"
"('Q92859', 'O95631')"
"('Q9UBI6', 'Q9NQU5')"
"('P48775', 'O95671')"
"('P53708', 'P18084')"
"('Q9UI10', 'P41091')"
"('P51513', 'Q8TAQ2')"
"('P42771', 'P01889')"
"('P06756', 'Q14315')"
"('Q15637', 'Q9BRX9')"
"('P07947', 'P00533')"
"('P49888', 'Q96ID5')"
"('P13747', 'Q99706')"
"('Q9NVI1', 'P62979')"
"('P03886', 'P03905')"
"('Q9Y283', 'P62158')"
"('P04278', 'P0C869')"
"('P51784', 'Q15170')"
"('Q01844', 'Q86SE5')"
"('Q16082', 'Q9Y3C7')"
"('P01106', 'Q9UIL8')"
"('P15311', 'P60709')"
"('O00267', 'P24928')"
"('P35240', 'P13637')"
"('O75419', 'O43913')"
"('P05388', 'P47914')"
"('Q15078', 'Q00535')"
"('Q13237', 'O60840')"
"('O00329', 'Q9UQC2')"
"('P29590', 'Q16254')"
"('Q5JY77', 'Q9BTY7')"
"('P28328', 'Q9UKR5')"
"('Q969S8', 'Q5QNW6')"
"('Q14315', 'P46108')"
"('Q13237', 'Q9UKL4')"
"('P01567', 'P01589')"
"('P16220', 'Q9BYW1')"
"('Q9BVA1', 'Q04206')"
"('P16220', 'P42568')"
"('P49674', 'P49841')"
"('O43187', 'P31749')"
"('P63261', 'O15145')"
"('P42262', 'Q12879')"
"('P35626', 'Q9GZK4')"
"('P06241', 'Q9BZJ6')"
"('Q13554', 'Q8TEY5')"
"('Q99570', 'Q9Y6G3')"
"('P55854', 'A6NKT7')"
"('P61457', 'Q96HA8')"
"('Q9NUP1', 'O95295')"
"('Q9NPF5', 'Q99459')"
"('Q01094', 'Q9NPJ4')"
"('P17612', 'P19429')"
"('P02794', 'Q14194')"
"('P49642', 'P62979')"
"('Q9ULZ3', 'O14920')"
"('P23396', 'P62241')"
"('Q13309', 'Q9Y619')"
"('P32969', 'Q9Y3U8')"
"('Q9UQM7', 'Q13469')"
"('P01241', 'O43242')"
"('Q96FA3', 'Q9Y4K3')"
"('Q6MZQ0', 'Q9BVC4')"
"('O15350', 'P0CG48')"
"('Q5SZQ8', 'P20073')"
"('O75159', 'Q969J5')"
"('Q15654', 'Q9NXV2')"
"('O75365', 'Q8WUM4')"
"('P21453', 'P08754')"
"('Q4LE39', 'Q9HCU9')"
"('Q14318', 'P62158')"
"('P49790', 'Q8N1F7')"
"('Q9Y478', 'Q16875')"
"('Q9ULV3', 'Q9P0V3')"
"('Q13546', 'Q05513')"
"('P63104', 'P32929')"
"('P51946', 'P20248')"
"('P49406', 'Q9HAU4')"
"('P18146', 'Q9NVF9')"
"('Q9UGN5', 'Q9UL18')"
"('Q5SY16', 'P01106')"
"('Q09161', 'P52298')"
"('Q13573', 'Q14247')"
"('P49407', 'Q99558')"
"('P08567', 'P00488')"
"('P29460', 'P19235')"
"('Q92830', 'Q9H0E3')"
"('Q9NX05', 'P63165')"
"('P10275', 'Q8WUI4')"
"('Q52LJ0', 'O14874')"
"('Q8NF50', 'P08134')"
"('Q05513', 'O60551')"
"('Q12933', 'Q9Y297')"
"('Q13619', 'Q8NHY2')"
"('Q15464', 'P14784')"
"('Q92569', 'P15153')"
"('Q8N5A5', 'O43143')"
"('Q14653', 'P52747')"
"('P30837', 'Q14197')"
"('P51571', 'Q92956')"
"('Q9Y266', 'Q99459')"
"('O95551', 'O00463')"
"('P63000', 'O14559')"
"('Q86UR1', 'Q7L0Q8')"
"('Q96P09', 'Q96B02')"
"('Q16576', 'Q14839')"
"('Q07820', 'Q93008')"
"('Q8WVY7', 'Q9Y3Q8')"
"('O43809', 'P23508')"
"('P62258', 'Q9UKI8')"
"('P01889', 'P28072')"
"('P04150', 'P20226')"
"('Q9Y6F6', 'Q14643')"
"('P00533', 'P05023')"
"('P39019', 'P63220')"
"('Q8WY54', 'Q9NRI5')"
"('P43405', 'O43914')"
"('Q96B02', 'Q9Y4L5')"
"('Q7Z2V1', 'Q96S99')"
"('P05787', 'P04083')"
"('Q09028', 'Q16576')"
"('Q04637', 'Q9BZI7')"
"('P39023', 'P62750')"
"('Q9BTT4', 'Q13148')"
"('Q04206', 'P61073')"
"('Q13415', 'P49736')"
"('P04629', 'P18031')"
"('Q15714', 'O76031')"
"('P20936', 'P01116')"
"('Q92979', 'Q06323')"
"('Q99728', 'Q9NPI1')"
"('O60934', 'P04637')"
"('Q3ZCQ8', 'Q13239')"
"('Q16576', 'Q99459')"
"('Q93074', 'O95402')"
"('Q9UKV8', 'P62701')"
"('P61586', 'P60763')"
"('P11362', 'P16885')"
"('Q92888', 'P61586')"
"('Q13625', 'Q9BYC9')"
"('Q9UNK0', 'Q15836')"
"('Q02543', 'P63173')"
"('P61254', 'P62945')"
"('O75529', 'P16104')"
"('P10619', 'Q99519')"
"('O75365', 'O60313')"
"('P29590', 'Q04206')"
"('P49411', 'Q14197')"
"('P22681', 'Q6UXL0')"
"('P27708', 'P20333')"
"('Q15393', 'O15519')"
"('Q02880', 'P04637')"
"('Q9UBF6', 'P42574')"
"('Q9H2G2', 'P54253')"
"('Q7Z5Q5', 'Q8TDG4')"
"('Q9Y4C0', 'Q8N0W4')"
"('Q9BVJ6', 'P47224')"
"('Q14683', 'P01106')"
"('P61073', 'P18846')"
"('P07550', 'P84996')"
"('Q00653', 'P05015')"
"('Q9Y297', 'P56645')"
"('P78527', 'Q9BUB5')"
"('P05412', 'Q9Y259')"
"('Q92956', 'Q13087')"
"('Q8WWY3', 'P55795')"
"('P62633', 'Q13247')"
"('Q7Z569', 'Q8IVT5')"
"('Q68J44', 'Q9Y4K3')"
"('Q96EF6', 'P62877')"
"('Q9Y2U9', 'Q9UMR2')"
"('P01889', 'P43307')"
"('P01871', 'P01834')"
"('P00519', 'Q13233')"
"('Q9Y5U9', 'P67870')"
"('Q9HAU0', 'O43909')"
"('P62906', 'P62910')"
"('P19838', 'Q16663')"
"('Q15286', 'O43837')"
"('Q9GZT6', 'Q15714')"
"('Q13077', 'O15519')"
"('O95198', 'Q53G59')"
"('Q99459', 'Q9BQE3')"
"('P28482', 'Q13444')"
"('Q8IUQ4', 'P43146')"
"('O15144', 'Q9Y4K3')"
"('O43463', 'Q92769')"
"('P22309', 'Q92956')"
"('Q9HCK4', 'O60238')"
"('Q9BQE3', 'Q99459')"
"('P59768', 'P11229')"
"('P01889', 'P12268')"
"('P49841', 'O95863')"
"('P23458', 'Q8WYR1')"
"('P50395', 'P35609')"
"('Q14676', 'Q99728')"
"('P62140', 'P57088')"
"('P15927', 'Q14191')"
"('P22392', 'P15531')"
"('Q13535', 'P02545')"
"('P41586', 'P62873')"
"('Q8N752', 'P10070')"
"('P68431', 'Q13111')"
"('P55786', 'P56537')"
"('P22314', 'Q9H2C0')"
"('Q9Y4G6', 'P13612')"
"('P16333', 'Q7Z494')"
"('O00571', 'O00422')"
"('P01569', 'P32927')"
"('P18031', 'O43561')"
"('Q15365', 'Q9BTD8')"
"('Q6UVY6', 'P67870')"
"('Q9NQS1', 'Q13315')"
"('P11940', 'P30480')"
"('Q16795', 'O43674')"
"('P53634', 'O76096')"
"('P10321', 'Q99706')"
"('P00451', 'P00734')"
"('Q9UHD2', 'P07437')"
"('Q04206', 'Q8NBJ4')"
"('P27824', 'P78504')"
"('P40337', 'Q8N4S0')"
"('P19784', 'Q16625')"
"('P62318', 'Q13573')"
"('P19438', 'Q13797')"
"('Q13485', 'Q6ZN04')"
"('P46778', 'P40429')"
"('P02452', 'P21781')"
"('P07766', 'P09382')"
"('P01584', 'O75376')"
"('Q9UQL6', 'Q9P0M6')"
"('O95180', 'Q12791')"
"('P35968', 'Q00722')"
"('O00257', 'Q8IXK0')"
"('P49841', 'P61968')"
"('P05231', 'P26951')"
"('Q13546', 'O76080')"
"('O75618', 'Q14790')"
"('P03897', 'Q9UI09')"
"('Q8TF42', 'P43405')"
"('P49796', 'P98172')"
"('P20809', 'P15509')"
"('O60232', 'Q53TS8')"
"('P04004', 'P02679')"
"('P06241', 'Q04759')"
"('P0C5Y9', 'Q9Y5B9')"
"('P35626', 'Q8NHA4')"
"('O75251', 'P56556')"
"('Q9BZK3', 'P01889')"
"('P04626', 'P0CG47')"
"('Q93077', 'Q9UQL6')"
"('O43301', 'Q13573')"
"('Q9NR50', 'P49770')"
"('P0CG47', 'Q9Y6K9')"
"('P32121', 'O95007')"
"('O15143', 'Q07890')"
"('Q13885', 'Q9BTW9')"
"('Q9Y490', 'P13612')"
"('P21980', 'P42574')"
"('P49768', 'Q15011')"
"('P63279', 'Q9UBT2')"
"('P63096', 'Q14980')"
"('Q9BUV8', 'Q9Y5J5')"
"('Q9NPF7', 'P16471')"
"('Q7L1V2', 'Q9P253')"
"('P01889', 'P02786')"
"('Q9NR96', 'Q99836')"
"('P21980', 'O00505')"
"('P08047', 'O43474')"
"('Q13796', 'P12931')"
"('Q9Y6K9', 'O14965')"
"('P51817', 'P14618')"
"('P84996', 'O14610')"
"('Q9Y2J2', 'Q9UPW8')"
"('P32121', 'Q8NGN2')"
"('Q9BSJ2', 'Q6PEY2')"
"('Q08050', 'P24864')"
"('P84022', 'P11802')"
"('P51617', 'Q8IV45')"
"('P62753', 'P08708')"
"('O75474', 'O14641')"
"('Q14240', 'P46100')"
"('Q9UHQ1', 'P61086')"
"('Q9UPV9', 'Q8IXI1')"
"('P05107', 'Q9UNS2')"
"('Q9HD45', 'Q9H1C4')"
"('P35354', 'P56524')"
"('P48736', 'O15530')"
"('Q02156', 'O14654')"
"('P43405', 'Q99836')"
"('Q9UBN6', 'Q15393')"
"('Q9P2R7', 'Q14197')"
"('O14745', 'P41231')"
"('P32121', 'P49407')"
"('P62244', 'P62277')"
"('Q04771', 'P36897')"
"('P01106', 'Q86XI2')"
"('O60880', 'Q15052')"
"('O60885', 'Q9BPX7')"
"('O75674', 'Q86YL7')"
"('P61218', 'P05423')"
"('O15234', 'Q9Y5S9')"
"('O15264', 'P17676')"
"('P56537', 'P39023')"
"('P31040', 'Q14164')"
"('Q9UI14', 'Q96MX0')"
"('P26373', 'Q8IW41')"
"('P78396', 'P27695')"
"('Q9NXR7', 'Q99728')"
"('Q15661', 'P27986')"
"('P40337', 'P04080')"
"('P42224', 'P12314')"
"('P01138', 'P01023')"
"('Q00987', 'P53350')"
"('O00463', 'P45984')"
"('Q15651', 'P62993')"
"('P08648', 'P18084')"
"('Q8N6T7', 'P68431')"
"('Q8IZC6', 'Q13683')"
"('Q13936', 'P54284')"
"('P06127', 'P20936')"
"('O14641', 'Q96EB6')"
"('P42574', 'O00273')"
"('P25054', 'Q9Y297')"
"('Q5RL73', 'O15525')"
"('P78314', 'Q9BZW8')"
"('P27361', 'Q06546')"
"('Q9NPB6', 'P41743')"
"('Q15834', 'Q9GZT8')"
"('O75175', 'P50616')"
"('P00519', 'P12956')"
"('P52597', 'Q9NWB1')"
"('P14317', 'Q13588')"
"('P41567', 'O15371')"
"('O75626', 'Q96D21')"
"('P51948', 'P24385')"
"('Q9Y4P8', 'Q92616')"
"('P16871', 'P15311')"
"('P61088', 'Q13404')"
"('P37023', 'Q03135')"
"('Q9Y5B9', 'Q99879')"
"('Q9UET6', 'P30084')"
"('Q15365', 'Q13427')"
"('Q6DKJ4', 'O14641')"
"('Q16637', 'P46013')"
"('P48200', 'P67809')"
"('P17948', 'P62993')"
"('P21918', 'P19086')"
"('P42574', 'Q15717')"
"('Q05655', 'Q9Y2R2')"
"('Q9Y294', 'P68431')"
"('O43521', 'P11802')"
"('P54252', 'P54727')"
"('P25789', 'O14818')"
"('Q16795', 'Q9Y5V3')"
"('Q15365', 'Q5SZQ8')"
"('P51946', 'P13631')"
"('P51513', 'O95059')"
"('Q53TQ3', 'Q96EZ8')"
"('P16298', 'Q14934')"
"('Q9Y383', 'O95425')"
"('O00716', 'P30281')"
"('P14174', 'P30480')"
"('Q9HAU4', 'O95630')"
"('P09619', 'P22681')"
"('P02766', 'O96006')"
"('P06241', 'P19174')"
"('Q8TBX8', 'Q06187')"
"('Q9Y618', 'P10827')"
"('Q14802', 'P22736')"
"('Q09472', 'P0C0S5')"
"('P62829', 'Q9BRP8')"
"('P01889', 'Q86SQ4')"
"('Q08117', 'Q9Y6H5')"
"('O43251', 'Q93062')"
"('P01889', 'Q96AG4')"
"('Q9NQU5', 'Q15052')"
"('Q6UWZ7', 'P46736')"
"('Q9Y2L1', 'Q15024')"
"('P41235', 'P53999')"
"('Q99832', 'Q15257')"
"('Q14197', 'O75489')"
"('Q8NCM8', 'P07437')"
"('Q9ULV1', 'O14640')"
"('Q01081', 'Q13247')"
"('Q15834', 'Q9H8W4')"
"('406957', 'Q9UBE8')"
"('O60244', 'P35609')"
"('P51956', 'P16471')"
"('P22455', 'Q00722')"
"('P29459', 'Q5VWK5')"
"('P00533', 'P15941')"
"('Q9H3D4', 'O60506')"
"('P24941', 'P24385')"
"('O43374', 'O14807')"
"('O60925', 'Q93063')"
"('P49821', 'P19404')"
"('Q9UJ04', 'Q15834')"
"('Q15208', 'Q9H9G7')"
"('P17655', 'Q9H1Y0')"
"('Q9H173', 'Q9UHI6')"
"('P47901', 'O95837')"
"('Q8N201', 'P16150')"
"('P62745', 'Q8N5V2')"
"('P49721', 'Q9Y4K3')"
"('Q13555', 'Q9NY47')"
"('Q9Y3D3', 'P40337')"
"('P03891', 'Q9Y6M9')"
"('Q96HP0', 'Q07890')"
"('P68366', 'Q99426')"
"('Q9P2W9', 'Q9NRI5')"
"('P23246', 'Q00653')"
"('P78314', 'P06239')"
"('P60709', 'P62701')"
"('Q71F23', 'P53350')"
"('Q92621', 'Q5SRE5')"
"('Q92854', 'Q9ULL4')"
"('Q00005', 'Q02413')"
"('P45974', 'Q92995')"
"('Q15118', 'P78539')"
"('P06454', 'P08107')"
"('P50995', 'P30626')"
"('Q13237', 'Q15759')"
"('P23508', 'P62873')"
"('P60228', 'Q9Y4K3')"
"('Q9UL18', 'Q13601')"
"('P08588', 'Q96AW1')"
"('P37837', 'Q9UKY1')"
"('Q9NPD8', 'Q0VG06')"
"('Q07666', 'O75554')"
"('Q08209', 'P54578')"
"('Q9Y6X2', 'P57678')"
"('P07437', 'Q9UHD2')"
"('P83916', 'Q16695')"
"('P52948', 'P78406')"
"('P00519', 'P42229')"
"('P62495', 'P18146')"
"('O60262', 'P51828')"
"('Q6P3X3', 'Q9HAW0')"
"('P11171', 'Q15691')"
"('Q99961', 'Q92599')"
"('Q02218', 'P55854')"
"('P23508', 'Q14566')"
"('P60568', 'P08887')"
"('P62136', 'P48058')"
"('P36405', 'O43924')"
"('O15492', 'Q14344')"
"('P62750', 'Q9NX58')"
"('P10147', 'Q01196')"
"('Q13243', 'Q16629')"
"('Q16629', 'P09651')"
"('Q53TQ3', 'Q9H981')"
"('P22694', 'Q14524')"
"('P00519', 'Q9HCM9')"
"('P61981', 'P27448')"
"('O00217', 'O95169')"
"('P31689', 'P62258')"
"('O95298', 'O14561')"
"('Q13573', 'P51843')"
"('Q12933', 'Q15382')"
"('406890', 'Q9NZI8')"
"('Q15323', 'Q9NX58')"
"('Q14011', 'P61978')"
"('P01303', 'P30874')"
"('P00533', 'P58876')"
"('Q13315', 'Q9UPS8')"
"('P62158', 'P30480')"
"('Q16629', 'Q9UBU9')"
"('Q13490', 'Q8IUD2')"
"('P12980', 'P20396')"
"('P39019', 'P22090')"
"('Q8IYF3', 'P48552')"
"('P63261', 'P23528')"
"('P78545', 'Q8IUC1')"
"('P42224', 'Q9NR97')"
"('P39023', 'P62917')"
"('Q9Y6X8', 'P08238')"
"('Q16795', 'O75306')"
"('O94776', 'Q96KQ7')"
"('P30530', 'P27986')"
"('P62140', 'P54289')"
"('Q9Y4C0', 'Q8NFZ4')"
"('Q9HCK4', 'Q9Y6N7')"
"('Q9UKF6', 'Q15366')"
"('P09471', 'P30542')"
"('P61966', 'Q9ULC4')"
"('P13994', 'P14923')"
"('Q16659', 'P22532')"
"('Q12933', 'Q9UHH9')"
"('P17948', 'Q99962')"
"('Q9NR28', 'Q13114')"
"('P49901', 'Q9BQ66')"
"('P10600', 'P37023')"
"('Q99683', 'Q03518')"
"('P04629', 'P23467')"
"('O00487', 'Q16401')"
"('O95168', 'P56556')"
"('Q9UGI8', 'Q9Y615')"
"('P04183', 'Q96EW2')"
"('Q10586', 'P43246')"
"('Q13315', 'Q15007')"
"('P15692', 'P07333')"
"('Q9UBW8', 'Q13216')"
"('O15198', 'Q8N3P4')"
"('O95294', 'Q07890')"
"('Q9UHW5', 'O95402')"
"('O95630', 'Q9HD42')"
"('P63279', 'O75928')"
"('Q02156', 'P15924')"
"('Q8N1C3', 'O60296')"
"('O95084', 'Q9H0R3')"
"('P01243', 'P43487')"
"('O15162', 'P03973')"
"('O00755', 'Q13467')"
"('P04183', 'Q9UMN6')"
"('Q8WUI4', 'P0C5Y9')"
"('Q9UKE5', 'P25787')"
"('P26641', 'P61956')"
"('P53355', 'Q9P0L2')"
"('P18124', 'Q9UNX3')"
"('P15036', 'O75376')"
"('Q15428', 'Q12906')"
"('Q13164', 'Q15418')"
"('P19174', 'P62993')"
"('P25054', 'P63010')"
"('Q9UBU8', 'Q9H2F5')"
"('O00716', 'P04183')"
"('Q9BQ67', 'Q8NHY2')"
"('Q30201', 'P02787')"
"('Q7KZF4', 'Q14164')"
"('P27635', 'P07947')"
"('P29350', 'Q13651')"
"('P61956', 'Q8N726')"
"('P17405', 'P20073')"
"('O14775', 'Q8TCU6')"
"('Q08211', 'P35637')"
"('Q13568', 'O60684')"
"('Q8TDY2', 'Q8NEB9')"
"('Q96SN8', 'O60343')"
"('P39019', 'P35544')"
"('P62136', 'Q5T8A7')"
"('Q9UHY7', 'P61956')"
"('Q9UK22', 'P63208')"
"('Q15366', 'Q9BPZ7')"
"('P78345', 'P12931')"
"('Q9NRR5', 'P0CG04')"
"('P12004', 'Q9Y4K3')"
"('O60260', 'Q99719')"
"('P49792', 'Q96HA1')"
"('Q99928', 'P60520')"
"('Q16890', 'Q969L2')"
"('Q15047', 'P17028')"
"('Q96EE3', 'Q99459')"
"('P41134', 'P15172')"
"('O15455', 'P27986')"
"('Q14566', 'Q9BRX5')"
"('P05013', 'Q6UXL0')"
"('Q9Y6B6', 'Q9NQW1')"
"('P50148', 'O60733')"
"('P03901', 'P03897')"
"('P04637', 'P17643')"
"('P52797', 'P22455')"
"('P48552', 'Q92731')"
"('P32121', 'Q9H339')"
"('P27986', 'O75369')"
"('P32121', 'P47881')"
"('Q99700', 'P13796')"
"('P50053', 'P14678')"
"('Q15797', 'Q14671')"
"('P62633', 'Q9UET6')"
"('P22888', 'P30679')"
"('Q92993', 'Q13332')"
"('Q8NG97', 'P38405')"
"('Q96GW7', 'P98095')"
"('O75400', 'Q00005')"
"('P08571', 'P02788')"
"('Q92793', 'P01567')"
"('Q14839', 'Q86YP4')"
"('P13236', 'P46092')"
"('P12004', 'Q9UBZ9')"
"('O43390', 'P51991')"
"('Q8IY81', 'P19525')"
"('Q8WTV0', 'P02647')"
"('Q04206', 'O95071')"
"('Q13077', 'Q9Y6K9')"
"('Q16558', 'Q13936')"
"('P31749', 'Q86TI0')"
"('P41235', 'Q9H6P5')"
"('Q9NYW1', 'A8MTJ3')"
"('P15104', 'O14920')"
"('P19838', 'P33681')"
"('P51955', 'Q8NHZ8')"
"('P62258', 'P46937')"
"('Q96QV1', 'Q14623')"
"('O60729', 'Q9BS18')"
"('Q13418', 'P09486')"
"('O14490', 'Q15788')"
"('P49757', 'P46531')"
"('Q08211', 'Q14191')"
"('P60709', 'P84022')"
"('P27361', 'O76070')"
"('Q6ZW49', 'Q14686')"
"('Q6WCQ1', 'P00533')"
"('O75326', 'O60486')"
"('P20936', 'P07948')"
"('Q9UM73', 'Q9H479')"
"('Q9UK08', 'P63092')"
"('P15173', 'Q02535')"
"('Q9Y577', 'Q96B02')"
"('P61326', 'P61981')"
"('P05231', 'P42701')"
"('P68032', 'Q9Y5U8')"
"('O00267', 'O43781')"
"('Q9UBN6', 'Q8IUC4')"
"('P68036', 'Q8IZP6')"
"('A0JLT2', 'Q9UJX4')"
"('Q5JWF2', 'O60503')"
"('Q8WUM4', 'Q96EY5')"
"('P54253', 'Q9UKJ3')"
"('Q92968', 'O75381')"
"('P62158', 'O00159')"
"('P00533', 'P31151')"
"('P63211', 'Q9H1C0')"
"('P12110', 'P16070')"
"('P55036', 'P41134')"
"('Q05655', 'P02545')"
"('P30542', 'Q13255')"
"('O95298', 'Q16795')"
"('Q99567', 'P35658')"
"('P01584', 'Q15306')"
"('Q93009', 'P98177')"
"('P16220', 'P61018')"
"('O15511', 'Q07889')"
"('P51668', 'Q96BQ3')"
"('Q12965', 'Q05193')"
"('Q96GD4', 'Q99661')"
"('O75365', 'Q9UHI6')"
"('P07947', 'PI3KR2')"
"('Q96EV8', 'Q08209')"
"('Q8N4C6', 'Q8IZP0')"
"('Q13137', 'Q9Y4Z0')"
"('Q9C0D2', 'Q9NV70')"
"('P49207', 'P46776')"
"('Q99973', 'P17252')"
"('P52272', 'Q99459')"
"('P16144', 'P08581')"
"('Q9NRR5', 'Q13432')"
"('P60709', 'Q9H9G7')"
"('Q01081', 'P35637')"
"('Q9NYJ8', 'P45984')"
"('Q9UQC9', 'P02768')"
"('P25054', 'Q8IVL1')"
"('Q9UHQ9', 'Q9NRR5')"
"('P15153', 'Q9H4E7')"
"('P48023', 'O95433')"
"('Q04912', 'P31946')"
"('P01133', 'P62316')"
"('Q9UDY2', 'O43491')"
"('Q9NW38', 'Q9HB96')"
"('Q16666', 'P04637')"
"('Q9BUE0', 'Q9NX70')"
"('Q03113', 'P61586')"
"('Q96F07', 'P63104')"
"('P12004', 'P62987')"
"('O43918', 'P62993')"
"('Q9NYJ8', 'Q9Y6R0')"
